 	ce	puits	d'	eau	est	profond	</S>
a66	0.204675	0.247805	0.246462	0.168329	0.0895305	0.027819	0.0153801
a87	0.443199	0.352764	0.129894	0.0377315	0.0194353	0.0105504	0.00642553
a97	0.431448	0.285687	0.127778	0.0550441	0.0339596	0.0343534	0.0317298
a87	0.383093	0.33518	0.159284	0.057017	0.0243213	0.0201208	0.0209834
a97	0.360805	0.30806	0.169308	0.0790696	0.0371612	0.0247506	0.020845
a99	0.388925	0.310548	0.14044	0.066137	0.0382271	0.0273822	0.0283405
a13	0.420674	0.319453	0.132958	0.0635544	0.034975	0.0156618	0.012724
a88	0.467054	0.285488	0.10971	0.0603791	0.0435841	0.0205446	0.0132405
a62	0.3143	0.25237	0.181231	0.122971	0.0746775	0.0372909	0.0171599
a21	0.259055	0.221751	0.181159	0.147859	0.101001	0.0604216	0.0287533
a5	0.206145	0.208154	0.18719	0.164071	0.131079	0.0716856	0.0316764
a6	0.150613	0.178055	0.193847	0.206777	0.166915	0.0704106	0.0333826
a85	0.0506357	0.0853318	0.150533	0.273454	0.279339	0.100074	0.0606328
a6	0.0489237	0.0767313	0.148325	0.260075	0.253968	0.123285	0.0886919
a36	0.0777425	0.132945	0.226722	0.25114	0.176811	0.0813993	0.0532397
a31	0.041211	0.0769832	0.163791	0.261919	0.236766	0.117472	0.101858
a88	0.0210417	0.0406484	0.0871388	0.183154	0.250004	0.214786	0.203227
a9	0.00982179	0.0178457	0.0388	0.108646	0.221093	0.288479	0.315314
a0	0.00587401	0.00686168	0.0114694	0.0311875	0.101454	0.30928	0.533873
a75	0.00669165	0.00659936	0.00923019	0.0200832	0.0698119	0.23971	0.647873
a37	0.000864013	0.00110702	0.00228524	0.0089806	0.0475951	0.172172	0.766996
a21	0.000676875	0.000679362	0.00130499	0.00429054	0.022701	0.139188	0.83116
a5	0.000912833	0.00124884	0.00275909	0.0103125	0.0484279	0.216569	0.71977
a21	0.000408315	0.000506033	0.00136702	0.00604897	0.0308235	0.158182	0.802664
a12	0.000491964	0.000564602	0.00132642	0.00536362	0.025306	0.16972	0.797227
a18	0.000265146	0.000290689	0.000807612	0.00392247	0.0203638	0.140177	0.834174
a25	0.00114954	0.00106499	0.00201571	0.00670382	0.0275992	0.16305	0.798417
a3	0.0190464	0.0161539	0.0243947	0.0379298	0.076335	0.195618	0.630522
a97	0.166843	0.120639	0.102112	0.0866535	0.0841076	0.122687	0.316958
a87	0.212046	0.168862	0.12994	0.109049	0.108018	0.110676	0.161409
a97	0.16553	0.130627	0.106323	0.10061	0.131025	0.149342	0.216542
a87	0.147581	0.119736	0.104625	0.114305	0.13509	0.139157	0.239505
</S>	0.12651	0.105965	0.100941	0.121727	0.142704	0.153222	0.24893
