 	il	y	a	un	feu	de	brousse	</S>
a23	0.297114	0.204519	0.118437	0.075708	0.0664798	0.0719039	0.079775	0.0860637
a87	0.380608	0.215475	0.118673	0.0833504	0.0661707	0.0497205	0.0423067	0.0436959
a23	0.277309	0.191182	0.13974	0.110833	0.0895515	0.0694122	0.0605345	0.0614376
a10	0.315076	0.2192	0.123135	0.0702982	0.0576701	0.0588081	0.0710475	0.0847656
a87	0.346953	0.267784	0.160698	0.078171	0.0432211	0.0353299	0.0357526	0.0320909
a23	0.223356	0.18951	0.146281	0.103801	0.0802748	0.0764612	0.0856145	0.0947014
a87	0.196449	0.180336	0.151543	0.108131	0.0812811	0.0815802	0.0957433	0.104936
a23	0.18285	0.152569	0.132731	0.113522	0.0964374	0.0918961	0.103752	0.126243
a24	0.171947	0.141128	0.126103	0.101726	0.0831954	0.0924177	0.130545	0.152938
a32	0.281162	0.258805	0.21793	0.13148	0.0553495	0.0276066	0.0167858	0.0108811
a26	0.206962	0.180207	0.182029	0.170462	0.111016	0.0702018	0.0443707	0.0347515
a35	0.196196	0.156526	0.159233	0.161385	0.121552	0.0882691	0.06371	0.0531291
a76	0.176995	0.142409	0.147694	0.156433	0.13104	0.103258	0.07831	0.0638605
a90	0.172839	0.148243	0.158138	0.173351	0.138362	0.0932566	0.0662132	0.049598
a13	0.20157	0.166149	0.167695	0.159535	0.116126	0.0817617	0.0607707	0.0463921
a90	0.151284	0.10974	0.112932	0.122687	0.121221	0.1272	0.129544	0.125392
a94	0.115901	0.0800057	0.0857792	0.100926	0.113483	0.144887	0.175134	0.183885
a35	0.0533493	0.0379181	0.0400671	0.0525005	0.0848542	0.157269	0.255034	0.319007
a26	0.0199561	0.0150255	0.0174588	0.028473	0.0598102	0.142425	0.289123	0.427728
a35	0.0153651	0.0104484	0.0102968	0.0145555	0.0298829	0.0883373	0.270714	0.5604
a30	0.0103385	0.00580333	0.00518133	0.00768694	0.0180255	0.0655544	0.25937	0.62804
a2	0.00760972	0.00418976	0.00393672	0.00653292	0.0180871	0.0719555	0.282407	0.605281
a90	0.0145336	0.00956097	0.0088149	0.0125629	0.0244433	0.0622562	0.248342	0.619486
a76	0.00704628	0.00375799	0.00315781	0.00616831	0.0211644	0.0751728	0.265842	0.61769
a69	0.00461912	0.00273549	0.0029081	0.00635185	0.0215779	0.0788312	0.259021	0.623955
a58	0.00355529	0.0017031	0.00162956	0.00358437	0.0132771	0.056397	0.254789	0.665065
a84	0.0075897	0.00322577	0.00243726	0.00474297	0.0159353	0.0627874	0.252136	0.651146
a87	0.0159114	0.00968486	0.00881665	0.0153785	0.0369727	0.0864209	0.254185	0.57263
a23	0.0277479	0.0212172	0.0229661	0.0344808	0.066119	0.125337	0.293677	0.408455
a87	0.0821335	0.0675592	0.0641503	0.0670911	0.0868461	0.122505	0.213813	0.295901
</S>	0.0264273	0.0175023	0.015309	0.0207721	0.0458758	0.115136	0.290888	0.468089
