 	ma	canne	est	coupée	</S>
a85	0.386406	0.284617	0.174532	0.0963327	0.0581127
a66	0.494985	0.285276	0.128085	0.0602858	0.0313676
a87	0.456258	0.228763	0.11986	0.0919584	0.103161
a97	0.488581	0.259449	0.131944	0.0690389	0.0509867
a3	0.499629	0.270513	0.124003	0.0629795	0.0428759
a99	0.507276	0.274047	0.11745	0.0612472	0.0399796
a30	0.469106	0.293855	0.132683	0.0682661	0.0360899
a90	0.425106	0.310513	0.15535	0.0751536	0.0338775
a69	0.32828	0.271136	0.192329	0.120927	0.0873276
a25	0.241778	0.215585	0.237853	0.173162	0.131623
a79	0.201813	0.178376	0.21416	0.189364	0.216287
a44	0.192513	0.171781	0.213718	0.194429	0.227559
a93	0.188782	0.177717	0.227379	0.194236	0.211885
a44	0.185289	0.17439	0.227198	0.198112	0.215011
a56	0.152829	0.162502	0.227654	0.215545	0.24147
a93	0.139357	0.180133	0.240682	0.217889	0.221939
a4	0.100122	0.146695	0.22655	0.248348	0.278285
a11	0.0867919	0.141826	0.218282	0.258742	0.294357
a21	0.0428709	0.0811385	0.154981	0.254986	0.466024
a12	0.0206817	0.0325167	0.0804924	0.233928	0.632381
a18	0.0181559	0.0295817	0.0671318	0.202655	0.682476
a11	0.0295618	0.0428659	0.0857768	0.205927	0.635869
a62	0.0278986	0.0421735	0.0771134	0.191602	0.661213
a83	0.013273	0.0295293	0.0680032	0.19576	0.693435
a38	0.0093778	0.0242844	0.0574349	0.186997	0.721906
a82	0.0232585	0.0376982	0.0719872	0.20542	0.661636
a3	0.138783	0.111073	0.125537	0.205316	0.419291
a97	0.184585	0.107063	0.102323	0.18132	0.424708
</S>	0.155789	0.11857	0.123358	0.210814	0.39147
