 	l'	inventeur	des	armes	de	guerre	était	un	blanc	</S>
a66	0.272321	0.24452	0.1409	0.114112	0.079259	0.064247	0.0453113	0.0191392	0.0112849	0.00890488
a87	0.187236	0.130147	0.127722	0.12832	0.1133	0.103704	0.0763014	0.0474121	0.0395026	0.0463548
a97	0.157261	0.173987	0.150624	0.166518	0.138797	0.0765042	0.0571444	0.0277101	0.0218418	0.0296118
a53	0.182681	0.274454	0.154314	0.198711	0.104054	0.0353308	0.0223029	0.0104695	0.00816041	0.00952244
a93	0.327402	0.317878	0.155709	0.13065	0.0300463	0.0107375	0.00874686	0.00640784	0.00585884	0.00656396
a34	0.310277	0.348645	0.138828	0.13729	0.0364256	0.0102045	0.00698319	0.00443041	0.00350415	0.00341263
a47	0.280826	0.334462	0.145151	0.149882	0.051898	0.0152574	0.0100022	0.00539149	0.00381824	0.00331137
a31	0.249463	0.314269	0.16363	0.159648	0.0602428	0.0189211	0.0126721	0.00802152	0.00648186	0.00665068
a62	0.235355	0.301546	0.161726	0.156666	0.0765082	0.0274167	0.017042	0.00958169	0.0074083	0.00674938
a96	0.200848	0.261369	0.169834	0.173504	0.0993324	0.0396032	0.0240104	0.0122454	0.00974828	0.00950467
a11	0.133674	0.201735	0.169607	0.188276	0.142203	0.0704914	0.041941	0.0206635	0.0156756	0.0157342
a56	0.0827648	0.150594	0.159147	0.18158	0.165908	0.104865	0.0661338	0.0333607	0.0265374	0.0291098
a47	0.082947	0.146333	0.15203	0.170529	0.172779	0.118964	0.0786282	0.0351067	0.0217296	0.0209537
a75	0.0329467	0.0818714	0.117644	0.154354	0.18226	0.170854	0.124541	0.0575489	0.0385723	0.0394069
a98	0.0195028	0.0469283	0.0730894	0.108487	0.143354	0.177694	0.166197	0.109755	0.0752924	0.0797008
a92	0.00832102	0.0215668	0.0404881	0.0611947	0.0894375	0.154036	0.176757	0.153841	0.133961	0.160396
a37	0.00557417	0.0138405	0.0259264	0.0371094	0.0591954	0.130672	0.17835	0.181776	0.169391	0.198164
a34	0.00471175	0.00964742	0.0165448	0.023105	0.0488176	0.139064	0.192595	0.195671	0.16423	0.205613
a21	0.00662878	0.0125547	0.0198284	0.027178	0.0511274	0.135043	0.189072	0.204335	0.166454	0.187778
a85	0.00500371	0.00847693	0.0121978	0.0172158	0.0301118	0.0864837	0.138995	0.207887	0.234346	0.259282
a6	0.00143047	0.00256487	0.00420018	0.00538761	0.0100519	0.0350083	0.0686909	0.149647	0.293551	0.429468
a36	0.000471076	0.000965363	0.00190433	0.0027211	0.00467018	0.0187836	0.0445766	0.143474	0.327589	0.454845
a47	0.00159335	0.00139936	0.00228976	0.00252254	0.00424976	0.010604	0.0198904	0.0631008	0.26907	0.62528
a85	0.000629251	0.000919535	0.00173558	0.00213186	0.00296226	0.00863824	0.0196147	0.0803877	0.327544	0.555437
a6	0.000238433	0.00036868	0.000843002	0.00114369	0.00178369	0.0055132	0.0143666	0.083861	0.389213	0.502669
a21	0.000128148	0.000206046	0.000427468	0.000576503	0.000889979	0.00276584	0.00709014	0.0446832	0.334349	0.608884
a12	0.000630281	0.000772065	0.00114632	0.00128046	0.00202372	0.00612207	0.0137829	0.0567344	0.316073	0.601435
a98	0.000386174	0.000447651	0.000966784	0.00103546	0.00170672	0.00424821	0.00893601	0.0425859	0.303564	0.636123
a47	0.000196036	0.000225506	0.00049723	0.000567052	0.000830438	0.0023567	0.00601292	0.042179	0.312946	0.634189
a36	0.000171633	0.000180443	0.000390876	0.000476659	0.000717416	0.00253668	0.00743032	0.0554611	0.319855	0.61278
a26	0.0126227	0.00499542	0.0115531	0.00867254	0.0088824	0.0275162	0.046366	0.106628	0.301215	0.471548
a57	0.062674	0.025488	0.0498139	0.045569	0.039475	0.0725128	0.0837899	0.120901	0.211399	0.288378
a87	0.142756	0.0603061	0.0852409	0.0918135	0.0739472	0.0847203	0.0817851	0.0923328	0.128342	0.158756
a23	0.125057	0.063906	0.0697684	0.0731268	0.0832135	0.111108	0.114443	0.117062	0.121524	0.120791
a87	0.02974	0.0154322	0.0239656	0.0253934	0.0540467	0.101002	0.138945	0.188207	0.190629	0.232639
</S>	0.0104788	0.00705551	0.0122306	0.0163316	0.0253023	0.0525635	0.0685109	0.126917	0.218434	0.462175
