 	elle	vide	les	boyaux	</S>
a23	0.564989	0.186187	0.102303	0.0639444	0.0825768
a87	0.611735	0.158176	0.0863691	0.0753645	0.0683553
a23	0.557957	0.228229	0.0986029	0.0622523	0.0529585
a40	0.413668	0.262567	0.140124	0.104156	0.0794851
a30	0.387105	0.203293	0.210093	0.142598	0.0569107
a0	0.602556	0.289688	0.0823521	0.0183905	0.0070125
a11	0.434375	0.321036	0.165582	0.0531939	0.0258131
a54	0.314179	0.303336	0.23424	0.0959123	0.0523331
a35	0.373412	0.286293	0.199384	0.0884228	0.0524893
a43	0.30272	0.252238	0.228801	0.133255	0.0829864
a75	0.134314	0.191748	0.287896	0.232019	0.154024
a76	0.0966666	0.160322	0.288803	0.263941	0.190268
a14	0.0912824	0.149122	0.233103	0.287244	0.239249
a35	0.0531525	0.10052	0.186999	0.324924	0.334405
a30	0.0298602	0.0638747	0.148677	0.313301	0.444287
a35	0.0195375	0.0344617	0.106249	0.326847	0.512904
a41	0.0115968	0.0241812	0.081048	0.290736	0.592438
a35	0.00695529	0.0172028	0.0758752	0.30562	0.594346
a73	0.00885256	0.0193555	0.0758989	0.290977	0.604916
a57	0.0111482	0.0231897	0.0845463	0.2918	0.589316
a87	0.0185246	0.0380904	0.0646998	0.186176	0.692509
a23	0.0116832	0.0415029	0.08841	0.216321	0.642083
a87	0.0500832	0.100019	0.14741	0.226477	0.476011
</S>	0.0264637	0.0761953	0.157286	0.284204	0.45585
