 	il	attire	les	animaux	au	piège	avec	un	remède	</S>
a23	0.327122	0.216277	0.0999122	0.0935294	0.0591501	0.0406221	0.0342495	0.0385867	0.046032	0.0445184
a87	0.249487	0.172582	0.0943948	0.0583462	0.0539011	0.0551123	0.0593357	0.0696281	0.085633	0.10158
a23	0.192207	0.178069	0.110641	0.0563338	0.0549237	0.0667096	0.0767865	0.0851517	0.0838807	0.0952968
a87	0.154825	0.157892	0.084899	0.0476613	0.0420864	0.0488483	0.0682724	0.114267	0.121224	0.160024
a23	0.1078	0.100714	0.0693322	0.0417863	0.0371091	0.0460919	0.0734606	0.13347	0.168346	0.221889
a20	0.0832397	0.0839106	0.0540826	0.0431531	0.0390487	0.046018	0.0776967	0.154615	0.191449	0.226786
a73	0.420847	0.287088	0.103559	0.0592327	0.0314495	0.0224933	0.0182289	0.0206689	0.0186224	0.0178102
a84	0.283112	0.282105	0.191377	0.104479	0.0500184	0.0331488	0.0190965	0.014907	0.0116213	0.0101362
a54	0.163574	0.164149	0.176279	0.157078	0.0968133	0.0696291	0.047278	0.0447201	0.0413332	0.039147
a41	0.154448	0.16592	0.159331	0.13316	0.0926776	0.0792755	0.0531538	0.0523056	0.0544564	0.0552717
a94	0.160313	0.211628	0.219309	0.157163	0.0959625	0.0688116	0.0356494	0.0221092	0.0155772	0.0134769
a41	0.113139	0.180909	0.241513	0.185598	0.112688	0.0707888	0.0335321	0.0229779	0.0197159	0.0191386
a54	0.122495	0.187591	0.241624	0.176358	0.108455	0.0681811	0.0327973	0.0218979	0.0194499	0.0211517
a73	0.0976493	0.14351	0.212591	0.170126	0.120432	0.085346	0.048987	0.0373438	0.0384579	0.0455575
a76	0.0847972	0.126003	0.215811	0.193078	0.123975	0.08449	0.0493651	0.0367763	0.0396462	0.0460584
a94	0.0694123	0.0949279	0.173823	0.192511	0.141366	0.109744	0.0747903	0.0538759	0.044816	0.044735
a32	0.0559534	0.0800239	0.150887	0.194955	0.145919	0.106033	0.0718245	0.0578333	0.0629943	0.0735765
a76	0.045427	0.0576131	0.117394	0.19533	0.177038	0.124272	0.0758614	0.0594548	0.0667102	0.0808996
a56	0.0760648	0.0838883	0.111666	0.168119	0.152832	0.11191	0.0796643	0.066875	0.0667457	0.0822342
a24	0.0568618	0.0657801	0.0866811	0.154063	0.173911	0.147773	0.100862	0.0744697	0.0667347	0.0728633
a75	0.0493822	0.0507435	0.0582266	0.103399	0.149438	0.149209	0.119224	0.0994608	0.0996384	0.121278
a76	0.0640335	0.0600272	0.0644397	0.0928556	0.117835	0.123287	0.108495	0.107083	0.115563	0.146383
a69	0.0442518	0.0467018	0.0522085	0.0759872	0.101715	0.13263	0.128345	0.125996	0.128285	0.163879
a4	0.050851	0.048677	0.0565464	0.0787941	0.097312	0.134659	0.13596	0.132994	0.116656	0.14755
a57	0.0362583	0.036152	0.0464247	0.0802476	0.119489	0.172805	0.159879	0.132821	0.0994003	0.116523
a53	0.0403253	0.0335743	0.0393292	0.0746546	0.126986	0.186447	0.151724	0.120916	0.098027	0.128017
a76	0.0540055	0.0361288	0.0378443	0.0591727	0.0841238	0.12862	0.133145	0.140209	0.138877	0.187874
a41	0.031392	0.0228689	0.0264441	0.0392938	0.0577827	0.0922538	0.127218	0.157097	0.194047	0.251603
a73	0.0178685	0.0176195	0.022079	0.0394676	0.0654775	0.11262	0.154769	0.167205	0.184841	0.218053
a94	0.0225873	0.0207366	0.0249905	0.0410953	0.06586	0.114944	0.163055	0.169562	0.177429	0.19974
a76	0.0174902	0.0162788	0.0204218	0.0369844	0.0593747	0.102441	0.156207	0.178998	0.18234	0.229465
a94	0.0396992	0.0305073	0.0305352	0.0398516	0.0516886	0.0756667	0.11435	0.147885	0.200707	0.269109
a75	0.0100542	0.00914065	0.0101301	0.017695	0.0347022	0.0632261	0.116722	0.178742	0.229636	0.329952
a73	0.0251489	0.0188622	0.02088	0.0308948	0.0438239	0.0676566	0.113547	0.162304	0.226617	0.290266
a94	0.0124216	0.0117286	0.0152984	0.0258278	0.0402401	0.0656438	0.117603	0.173294	0.235076	0.302866
a54	0.0124782	0.0106685	0.0131034	0.0235903	0.0423537	0.0692246	0.110841	0.169365	0.226286	0.322089
a73	0.0150222	0.0113716	0.0137863	0.0217729	0.0333618	0.0545129	0.0966614	0.157013	0.246682	0.349816
a84	0.0104978	0.00961397	0.0129214	0.0215597	0.0331349	0.0540863	0.0956638	0.159089	0.253803	0.349631
a57	0.004844	0.00449201	0.00492006	0.00913588	0.0171706	0.03862	0.0931803	0.169619	0.27242	0.385598
a87	0.00367566	0.00245813	0.00204092	0.0031364	0.00627809	0.0143983	0.0586751	0.147951	0.282223	0.479164
</S>	0.00513081	0.00370338	0.00282014	0.00455452	0.00995674	0.0178801	0.0565546	0.135482	0.252847	0.51107
