 	leur	père	a	acheté	un	pagne	pour	sa	femme	</S>
a66	0.266663	0.172107	0.115052	0.0785608	0.0971492	0.116837	0.0774847	0.0386522	0.0210168	0.0164774
a87	0.17057	0.141193	0.127064	0.102748	0.116829	0.132961	0.0772624	0.0481896	0.0393584	0.0438252
a23	0.343051	0.222239	0.156792	0.0808872	0.0501233	0.0400957	0.0261088	0.0220927	0.0248543	0.033757
a87	0.269365	0.20927	0.181382	0.100092	0.0698828	0.0502383	0.0258037	0.021308	0.0271021	0.0455566
a23	0.255274	0.219317	0.193315	0.104146	0.0708646	0.0540541	0.0283539	0.0223865	0.0228056	0.0294843
a87	0.249976	0.190685	0.166062	0.102776	0.0687908	0.0471496	0.0333108	0.0335458	0.0447703	0.0629334
a23	0.184534	0.171092	0.172481	0.126033	0.0966519	0.0717598	0.0453343	0.0386479	0.0413406	0.0521249
a87	0.206249	0.1704	0.166595	0.130213	0.0911914	0.0589079	0.0402756	0.037348	0.0439955	0.0548235
a23	0.179009	0.166219	0.168434	0.129204	0.0985163	0.0719607	0.0475134	0.0407045	0.0438552	0.0545841
a54	0.19791	0.16102	0.152765	0.129256	0.0941621	0.0605608	0.0451579	0.0443798	0.0531824	0.0616063
a47	0.199799	0.16098	0.149341	0.152456	0.0912483	0.0557757	0.0479605	0.0471661	0.0501116	0.0451622
a15	0.110429	0.12502	0.155287	0.191106	0.111051	0.07009	0.0506343	0.053577	0.0610023	0.0718042
a7	0.110454	0.123663	0.160327	0.205126	0.125281	0.082032	0.0475147	0.041561	0.0442091	0.0598318
a15	0.0863296	0.106979	0.154283	0.209605	0.137314	0.0893094	0.0538633	0.0477682	0.0515473	0.0630019
a47	0.0743181	0.0901812	0.121904	0.162274	0.126235	0.0907489	0.0626728	0.0646854	0.0864942	0.120486
a6	0.057946	0.0774784	0.102332	0.126752	0.110074	0.0892546	0.0631288	0.0716221	0.117557	0.183856
a0	0.0531656	0.0622413	0.0781067	0.10491	0.112085	0.101742	0.0772288	0.0814778	0.129595	0.199448
a56	0.0549117	0.0612798	0.0717453	0.0816705	0.107402	0.127112	0.0881072	0.0843081	0.125102	0.198361
a96	0.0473408	0.0463047	0.0505226	0.0585651	0.111555	0.182606	0.151914	0.102989	0.105861	0.142342
a98	0.0350651	0.0335174	0.0365432	0.0419781	0.0808395	0.157382	0.181046	0.137986	0.129121	0.166522
a85	0.0207462	0.0198967	0.0203723	0.0225401	0.0395051	0.0771326	0.132425	0.171834	0.207711	0.287837
a6	0.0127207	0.011796	0.0118075	0.013858	0.0270782	0.0559216	0.12474	0.18692	0.229678	0.325479
a0	0.00922468	0.00816062	0.00791349	0.0088826	0.019683	0.0463711	0.116584	0.178307	0.242457	0.362416
a56	0.00690987	0.00579152	0.00578611	0.00683686	0.0116148	0.0184938	0.0538151	0.139036	0.278884	0.472832
a61	0.0052389	0.00403838	0.00392042	0.00451382	0.00875951	0.0169221	0.0507326	0.144927	0.295797	0.46515
a11	0.00370455	0.00312329	0.00310115	0.00361969	0.00643744	0.0113197	0.0335506	0.120531	0.306046	0.508566
a93	0.0017347	0.00133577	0.00129035	0.00157147	0.00295613	0.00495482	0.0183452	0.0862779	0.283459	0.598074
a70	0.00146664	0.00117521	0.00116993	0.00137282	0.00246826	0.00386333	0.0132675	0.0710014	0.298281	0.605934
a66	0.000793345	0.000655516	0.000662853	0.000848619	0.00155325	0.00264367	0.00998385	0.061428	0.294853	0.626578
a27	0.00528679	0.00410372	0.00394208	0.00543537	0.00881879	0.0113114	0.0434841	0.139173	0.320162	0.458282
a57	0.0880886	0.0643137	0.0506006	0.0509289	0.0477038	0.046115	0.080941	0.11411	0.180599	0.276599
a87	0.229997	0.155549	0.108452	0.0636918	0.0466868	0.0441741	0.0555023	0.0717751	0.0979877	0.126185
a23	0.210798	0.157044	0.130092	0.0904344	0.0657352	0.0565481	0.0549949	0.0643643	0.0785765	0.0914122
a87	0.118593	0.0669776	0.0415532	0.026827	0.0240963	0.0263135	0.0441922	0.0928038	0.207153	0.35149
</S>	0.0335926	0.0210822	0.013896	0.0105578	0.0101541	0.0144198	0.031459	0.0756686	0.226717	0.562453
