 	sa	folie	s'	est	aggravée	</S>
a66	0.480475	0.283224	0.122771	0.0564569	0.0304572	0.026616
a87	0.30958	0.238816	0.210645	0.139217	0.0655594	0.036182
a23	0.433421	0.338505	0.160155	0.043472	0.0159142	0.00853303
a30	0.454339	0.31202	0.140242	0.0486335	0.0259587	0.0188062
a53	0.49472	0.298266	0.121866	0.0394308	0.0239106	0.0218063
a69	0.324863	0.328301	0.216314	0.0748008	0.0334722	0.022249
a53	0.220696	0.314833	0.290226	0.111876	0.0395678	0.0228019
a15	0.105114	0.186784	0.316909	0.216936	0.116233	0.0580235
a20	0.0495287	0.0913484	0.235287	0.286805	0.23446	0.102571
a73	0.0585269	0.0886013	0.185818	0.265939	0.259169	0.141946
a69	0.0602296	0.0732637	0.138614	0.266011	0.292446	0.169436
a94	0.0769757	0.0745738	0.105743	0.236821	0.307392	0.198495
a43	0.0522251	0.0495959	0.0730285	0.215331	0.355221	0.254598
a25	0.0336431	0.0256847	0.0373718	0.137423	0.357991	0.407887
a20	0.00778059	0.00609105	0.00961125	0.0616782	0.30763	0.607209
a47	0.0119041	0.010705	0.0136835	0.0628072	0.237266	0.663634
a36	0.00441133	0.00412332	0.00697339	0.0466583	0.21985	0.717983
a6	0.014723	0.0189986	0.0245872	0.063794	0.182665	0.695232
a0	0.00687187	0.00847418	0.0169176	0.0694596	0.206034	0.692243
a27	0.0233155	0.0313874	0.0376164	0.0830503	0.214203	0.610427
a57	0.222466	0.140093	0.0897354	0.10176	0.15932	0.286626
a87	0.51152	0.266293	0.0857793	0.049566	0.0423537	0.0444876
a23	0.395963	0.312641	0.154831	0.0707486	0.0384971	0.0273201
a87	0.3177	0.20954	0.123126	0.0842813	0.0915531	0.173798
a23	0.0655284	0.0477774	0.0478705	0.0996839	0.246324	0.492816
</S>	0.103561	0.0957046	0.0969642	0.122866	0.202278	0.378626
