 	le	poisson	est	dans	la	cachette	</S>
a66	0.305961	0.159478	0.105399	0.0932622	0.0943072	0.104991	0.136602
a10	0.362776	0.234506	0.187869	0.115655	0.0462657	0.0325091	0.0204191
a75	0.477342	0.243635	0.112731	0.0563287	0.0377281	0.0412203	0.0310157
a25	0.453706	0.188445	0.111872	0.0680694	0.0428581	0.0632666	0.0717827
a92	0.297125	0.202381	0.149325	0.123095	0.0670236	0.069748	0.0913028
a12	0.214865	0.1869	0.17845	0.167535	0.0941184	0.0881496	0.0699833
a31	0.14802	0.14277	0.146435	0.143416	0.0954503	0.162358	0.161552
a43	0.0819259	0.0865037	0.113659	0.142589	0.135754	0.231501	0.208067
a31	0.0255291	0.0285686	0.0463544	0.0864774	0.141382	0.282051	0.389637
a88	0.0150705	0.0139594	0.0252453	0.0540408	0.124458	0.312017	0.455209
a70	0.0045423	0.00480123	0.0103581	0.0305376	0.10238	0.289333	0.558047
a66	0.00419868	0.00506572	0.01016	0.0277907	0.0943212	0.266507	0.591956
a57	0.00596285	0.00613379	0.00810807	0.0187784	0.080067	0.232903	0.648047
a3	0.0212976	0.0132847	0.013898	0.0267859	0.0753315	0.164131	0.685271
a87	0.114188	0.0613526	0.0489282	0.0538808	0.0896721	0.181291	0.450688
a23	0.181277	0.135422	0.119851	0.10316	0.105887	0.150313	0.204091
a97	0.160786	0.110013	0.0694953	0.0594168	0.0901445	0.174582	0.335562
a99	0.0399632	0.0374168	0.0347632	0.0463801	0.100072	0.225017	0.516388
a97	0.0803975	0.0726364	0.0607347	0.0679753	0.128211	0.217382	0.372663
</S>	0.0841597	0.0669212	0.0612314	0.0765331	0.130046	0.220626	0.360483
