 	ce	safoutier	n'	a	pas	produit	</S>
a87	0.287694	0.171453	0.158502	0.128571	0.104786	0.0769074	0.0720863
a97	0.268503	0.105817	0.102536	0.0965861	0.101753	0.132901	0.191905
a79	0.41058	0.148763	0.109135	0.0687581	0.0566527	0.0761985	0.129913
a15	0.430793	0.130073	0.0780645	0.0582098	0.0571443	0.0834364	0.162279
a92	0.428577	0.232673	0.109975	0.0727113	0.0543374	0.0471157	0.0546105
a11	0.397155	0.292329	0.135257	0.0737753	0.0455328	0.0281662	0.0277844
a75	0.414984	0.310511	0.133371	0.0594787	0.0324033	0.0247051	0.0245473
a47	0.346646	0.239729	0.130013	0.0904888	0.074971	0.0611958	0.056957
a73	0.339587	0.255235	0.150287	0.0893824	0.0618265	0.0501058	0.0535764
a44	0.254236	0.269143	0.208838	0.115881	0.0672186	0.0434344	0.0412498
a53	0.186781	0.220185	0.204218	0.145925	0.102158	0.0720511	0.068681
a75	0.12772	0.169842	0.200686	0.170689	0.135297	0.100445	0.0953218
a56	0.0793743	0.103421	0.134527	0.154988	0.17834	0.183331	0.166019
a13	0.0646592	0.0936905	0.162533	0.214473	0.204564	0.143921	0.11616
a11	0.0437384	0.060849	0.104042	0.173177	0.217735	0.204587	0.195872
a93	0.0264989	0.0411225	0.0754329	0.145399	0.223379	0.249322	0.238846
a11	0.0225322	0.0382387	0.0719742	0.150597	0.247733	0.266292	0.202632
a56	0.00839983	0.0140962	0.0278348	0.0701379	0.159967	0.312677	0.406888
a98	0.0108033	0.0161797	0.0271538	0.0577908	0.131748	0.315644	0.440681
a47	0.00802516	0.0134831	0.0178536	0.0388599	0.0967452	0.300722	0.524311
a7	0.00612642	0.0104565	0.0162753	0.0413894	0.111527	0.323163	0.491063
a57	0.0042247	0.00585666	0.0101787	0.026716	0.0793403	0.27678	0.596904
a40	0.00122607	0.00140158	0.00294376	0.0110557	0.0522483	0.285281	0.645844
a75	0.00126187	0.00181791	0.0032466	0.0100299	0.0389881	0.226269	0.718387
a47	0.00243906	0.00310177	0.00475495	0.0124856	0.0427279	0.226705	0.707786
a36	0.0019683	0.00391874	0.007205	0.0202345	0.0610242	0.260906	0.644743
a57	0.000932648	0.0015934	0.00329013	0.0117255	0.047363	0.262561	0.672535
a87	0.0327581	0.0274567	0.0326497	0.0564085	0.112512	0.267203	0.471012
a23	0.112214	0.0700028	0.0661585	0.0901874	0.146406	0.239758	0.275274
a87	0.0667896	0.0429255	0.0374237	0.0630666	0.11659	0.286871	0.386334
</S>	0.0174258	0.0157553	0.0219244	0.0487536	0.0997563	0.280623	0.515762
