 	il	y	en	a	assez	</S>
a23	0.373774	0.212876	0.11766	0.0995622	0.102483	0.0936456
a87	0.429985	0.297502	0.120149	0.0600428	0.0392008	0.0531208
a23	0.332292	0.29381	0.18625	0.0884916	0.0472766	0.0518803
a24	0.43694	0.267432	0.12793	0.069813	0.0418954	0.0559887
a71	0.469635	0.32718	0.133615	0.0432348	0.0153322	0.0110033
a24	0.296288	0.297329	0.208205	0.104851	0.0533544	0.0399726
a26	0.24466	0.28015	0.228365	0.127624	0.0699598	0.0492408
a35	0.195022	0.235598	0.232711	0.156747	0.100656	0.0792663
a76	0.20675	0.253899	0.237921	0.159025	0.0843716	0.0580337
a90	0.254583	0.273314	0.217159	0.13001	0.0727251	0.0522086
a4	0.226899	0.236424	0.206154	0.152135	0.100632	0.0777564
a58	0.176653	0.201763	0.180362	0.164578	0.144451	0.132192
a57	0.104502	0.122469	0.142721	0.177899	0.210404	0.242007
a53	0.0520041	0.0616976	0.0884042	0.135949	0.250311	0.411634
a90	0.036933	0.0428397	0.0584446	0.126013	0.268675	0.467095
a69	0.0209559	0.027161	0.0437255	0.113663	0.271569	0.522925
a76	0.0227924	0.0267002	0.035629	0.0934986	0.263961	0.557419
a73	0.0152589	0.0150456	0.0225357	0.0731695	0.265422	0.608568
a84	0.0145878	0.0128461	0.0217044	0.0761124	0.258103	0.616647
a57	0.00871082	0.00748194	0.0104649	0.036291	0.195332	0.741719
a87	0.0288214	0.0247926	0.0256731	0.0597953	0.251665	0.609252
</S>	0.0305813	0.0248972	0.0422792	0.106873	0.26569	0.529679
