 	son	neveu	l'	a	enrichit	</S>
a87	0.453313	0.230947	0.147271	0.0715408	0.0754801	0.021449
a23	0.316761	0.144722	0.180129	0.112196	0.159154	0.087038
a87	0.343302	0.230754	0.176953	0.107222	0.0844328	0.0573357
a85	0.273968	0.241906	0.206693	0.135618	0.0920384	0.0497771
a87	0.317302	0.195012	0.147259	0.074562	0.125964	0.139901
a97	0.245017	0.218383	0.175754	0.10541	0.135194	0.120242
a87	0.264435	0.241393	0.196089	0.100365	0.118076	0.0796435
a23	0.289741	0.229535	0.183273	0.0886835	0.129382	0.0793849
a87	0.262146	0.195058	0.139168	0.081915	0.1485	0.173213
a23	0.202548	0.191332	0.187434	0.1263	0.181182	0.111204
a87	0.242009	0.171423	0.152209	0.10261	0.180862	0.150887
a23	0.198846	0.189912	0.202915	0.138244	0.174414	0.0956688
a83	0.220248	0.150085	0.134565	0.0965531	0.188678	0.20987
a90	0.444615	0.226538	0.115066	0.0795251	0.0663736	0.0678827
a15	0.262955	0.208855	0.161205	0.160141	0.10919	0.0976548
a6	0.183914	0.164653	0.193784	0.222607	0.149651	0.0853918
a37	0.206465	0.183218	0.198945	0.183538	0.144888	0.0829453
a85	0.129501	0.185895	0.239979	0.235428	0.133115	0.0760815
a79	0.153275	0.181502	0.207034	0.197526	0.163183	0.0974793
a44	0.163807	0.194117	0.209266	0.191463	0.142266	0.0990806
a13	0.130891	0.193438	0.256831	0.240465	0.121793	0.0565817
a93	0.100163	0.163364	0.263843	0.284057	0.13205	0.0565225
a34	0.0547739	0.111533	0.251221	0.320823	0.193672	0.067977
a56	0.055759	0.105682	0.219486	0.262851	0.241181	0.115042
a70	0.042388	0.0754105	0.191559	0.249341	0.281101	0.160201
a96	0.0328294	0.0611703	0.166852	0.236745	0.324216	0.178188
a62	0.025982	0.0469601	0.135652	0.220488	0.326847	0.24407
a83	0.023935	0.0398777	0.116816	0.198666	0.338201	0.282504
a9	0.0112326	0.0179923	0.0570773	0.127902	0.333985	0.451811
a38	0.00481244	0.0057969	0.0183704	0.0535753	0.271463	0.645981
a11	0.00451808	0.00511324	0.0129175	0.0348656	0.191395	0.751191
a35	0.000969285	0.00118991	0.00362218	0.0119707	0.125608	0.85664
a94	0.00110482	0.00133881	0.00324343	0.00872201	0.0932453	0.892346
a34	0.00057406	0.000864288	0.0027616	0.00833757	0.0869356	0.900527
a0	0.00130299	0.00200308	0.00568801	0.014315	0.126531	0.85016
a11	0.00144675	0.00216984	0.00596707	0.0144529	0.120661	0.855303
a75	0.00206559	0.00218146	0.00469703	0.0142783	0.122118	0.85466
a15	0.000667481	0.000779206	0.00207788	0.00544215	0.0690709	0.921962
a69	0.000735662	0.00126547	0.00441624	0.0103057	0.0824669	0.90081
a4	0.000384225	0.000710462	0.00351795	0.0105652	0.0828963	0.901926
a20	0.000406724	0.000401928	0.00136711	0.00533785	0.0590873	0.933399
a84	0.00105981	0.0013898	0.00595453	0.0133652	0.103685	0.874546
a87	0.0030219	0.00206336	0.00361237	0.0112805	0.104439	0.875583
a23	0.0513347	0.0250805	0.0327239	0.0466752	0.267396	0.576789
a97	0.0338286	0.0229717	0.0301744	0.0504824	0.270494	0.592049
a3	0.0179152	0.0179521	0.039908	0.0612351	0.198851	0.664139
a9	0.0442425	0.0414344	0.0865474	0.113558	0.251463	0.462754
a10	0.0523702	0.0489612	0.0919124	0.114399	0.248384	0.443973
a3	0.0399662	0.0413581	0.0735358	0.0944804	0.20359	0.547069
a10	0.0394673	0.0417067	0.0716098	0.0966111	0.197772	0.552833
a97	0.0456398	0.0444941	0.0674373	0.0871259	0.16588	0.589423
a9	0.0664302	0.06704	0.0908427	0.0990582	0.167138	0.509491
a97	0.0835546	0.0802785	0.0949753	0.102388	0.156443	0.482361
</S>	0.0698061	0.0712905	0.0869895	0.0906354	0.158809	0.522469
