 	nous	partirons	seuls	en	forêt	</S>
a23	0.450804	0.24253	0.0883238	0.0653141	0.0752944	0.0777333
a87	0.633068	0.152189	0.0836902	0.0486528	0.0420676	0.0403326
a99	0.39348	0.192831	0.179814	0.081844	0.0719739	0.0800576
a50	0.417895	0.290019	0.15564	0.0498333	0.0460785	0.040534
a0	0.264979	0.31743	0.229624	0.081226	0.0651477	0.0415933
a75	0.164974	0.189388	0.239014	0.230984	0.122781	0.052859
a61	0.151349	0.22199	0.243374	0.215962	0.118596	0.0487279
a75	0.0539849	0.0895246	0.212726	0.324216	0.210814	0.108735
a43	0.0714608	0.0758535	0.134075	0.270114	0.263423	0.185073
a75	0.0147174	0.0174286	0.0571812	0.290956	0.371386	0.248331
a56	0.00947354	0.0110973	0.024842	0.184464	0.382431	0.387693
a7	0.00681209	0.00852073	0.026979	0.19202	0.392313	0.373355
a90	0.00915259	0.0104922	0.0272762	0.153732	0.352766	0.446581
a25	0.0037322	0.00528643	0.0143936	0.0925305	0.305669	0.578388
a70	0.00190772	0.00218989	0.00667246	0.0588464	0.235832	0.694551
a62	0.00137963	0.00145873	0.00713539	0.0628904	0.231031	0.696105
a0	0.00202517	0.00159688	0.0062524	0.0474067	0.17761	0.765109
a34	0.00308686	0.0021366	0.00452423	0.0360636	0.171331	0.782858
a75	0.00343774	0.00179923	0.00357546	0.0312012	0.162337	0.79765
a34	0.00334433	0.00241034	0.00520864	0.0332763	0.123337	0.832424
a75	0.00124429	0.00123024	0.00278753	0.0241324	0.117789	0.852817
a18	0.00348817	0.0027618	0.00533371	0.0393555	0.12697	0.822091
a25	0.00317762	0.00198469	0.00346802	0.0328388	0.152845	0.805686
a10	0.0446671	0.0160944	0.0155063	0.0711799	0.187632	0.66492
a87	0.0620024	0.0470475	0.0335748	0.0845953	0.184576	0.588204
a10	0.0950938	0.0680313	0.0309684	0.0685478	0.175955	0.561404
a87	0.093478	0.0940065	0.0731578	0.136727	0.191144	0.411487
a23	0.0532981	0.0440126	0.0258829	0.0799473	0.217334	0.579525
a87	0.01474	0.0124232	0.0112272	0.0607125	0.186753	0.714144
</S>	0.0168145	0.0112352	0.0104153	0.0575924	0.231283	0.672659
