 	qui	est	celui	qui	cajole	cet	enfant	</S>
a66	0.339004	0.263452	0.173241	0.0699805	0.0564216	0.0662971	0.0199647	0.0116389
a87	0.332837	0.18274	0.144718	0.126412	0.134132	0.0574342	0.0148097	0.00691685
a23	0.379569	0.261047	0.206796	0.0842965	0.0371039	0.017546	0.00855014	0.00509118
a79	0.344732	0.260672	0.227461	0.0843919	0.0360038	0.0187599	0.0148469	0.0131326
a53	0.158103	0.108221	0.162679	0.180587	0.168579	0.108348	0.0662701	0.0472132
a69	0.177012	0.164886	0.205488	0.189213	0.161301	0.0567186	0.0260905	0.0192902
a58	0.0945074	0.126913	0.171205	0.181686	0.253171	0.102429	0.0431084	0.02698
a53	0.0460627	0.0730005	0.126992	0.184774	0.28151	0.133761	0.0912443	0.0626555
a90	0.0592148	0.0788882	0.128565	0.21155	0.289356	0.10189	0.0750182	0.0555185
a56	0.0564299	0.0632192	0.114043	0.231588	0.312063	0.106311	0.0662594	0.0500865
a0	0.061461	0.0551789	0.0865273	0.188185	0.30428	0.148355	0.0880612	0.0679516
a62	0.0340518	0.0287013	0.0414748	0.108044	0.248126	0.221107	0.171282	0.147213
a61	0.0168072	0.0134066	0.0151425	0.041102	0.108121	0.342984	0.266013	0.196423
a75	0.00861542	0.00704307	0.00806919	0.0220664	0.0611005	0.319017	0.331261	0.242827
a85	0.0037191	0.00297915	0.00449097	0.0187843	0.0495618	0.245159	0.351431	0.323875
a92	0.00238138	0.00177377	0.00268287	0.00992899	0.0236078	0.167653	0.380994	0.410978
a90	0.00143021	0.000998424	0.00105181	0.00317484	0.00915583	0.114666	0.396015	0.473508
a76	0.00219674	0.00155274	0.00145718	0.00299649	0.00743738	0.0885868	0.352551	0.543221
a98	0.000666576	0.000485881	0.000588762	0.00162778	0.00350335	0.0506355	0.372416	0.570076
a6	0.000473546	0.000310484	0.000319921	0.000904212	0.00207938	0.0375174	0.346749	0.611646
a37	0.00120434	0.000716845	0.000577596	0.00121993	0.00302086	0.0436444	0.302391	0.647225
a61	0.00470424	0.00241893	0.00140875	0.00232065	0.00435403	0.0362109	0.262498	0.686085
a83	0.00606257	0.0033884	0.00216389	0.00409536	0.00754637	0.0450919	0.282621	0.64903
a61	0.00533714	0.00378993	0.00368052	0.009103	0.0175932	0.0713818	0.296191	0.592923
a36	0.00458555	0.00281484	0.00198346	0.00375969	0.00791755	0.0569594	0.306277	0.615703
a27	0.00540332	0.00385732	0.00388839	0.0102897	0.0272395	0.109111	0.325497	0.514714
a30	0.145138	0.0890077	0.0503768	0.0578841	0.0579547	0.0866488	0.19795	0.31504
a10	0.327857	0.203025	0.106511	0.054468	0.0406399	0.0557147	0.0887311	0.123053
a87	0.326057	0.224479	0.132368	0.0612421	0.0379599	0.0468384	0.0766389	0.0944171
a23	0.249502	0.201524	0.149196	0.0919551	0.0604835	0.0538888	0.0889184	0.104532
a87	0.195161	0.143649	0.0979955	0.064895	0.0439064	0.0594693	0.151813	0.243111
</S>	0.0267104	0.0234429	0.0179314	0.019025	0.0302882	0.0898719	0.330788	0.461942
