 	la	panthère	s'	approche	du	cabri	sans	bruit	</S>
a85	0.364148	0.337553	0.125929	0.0537786	0.0407457	0.0259965	0.0177633	0.0155283	0.0185577
a87	0.414059	0.242196	0.0974317	0.0624512	0.0467876	0.0358722	0.0319786	0.0333373	0.035886
a23	0.132992	0.111875	0.106942	0.105476	0.0947655	0.0783321	0.0839541	0.102616	0.183046
a79	0.177682	0.137601	0.0882709	0.0683652	0.0548782	0.0481939	0.0634253	0.127849	0.233735
a98	0.356493	0.344219	0.172597	0.0670069	0.0194028	0.0103723	0.00770165	0.0109068	0.0113008
a13	0.159829	0.239716	0.26441	0.195627	0.0685055	0.0343465	0.0173879	0.0122597	0.00791864
a53	0.155011	0.220075	0.26547	0.210458	0.0757488	0.0343632	0.0169494	0.0125251	0.00940019
a76	0.133245	0.185144	0.244232	0.216389	0.105131	0.0508858	0.0256852	0.0207876	0.0185012
a41	0.134588	0.179054	0.224901	0.200926	0.121109	0.0693523	0.0314437	0.0210629	0.0175629
a94	0.116416	0.168842	0.238907	0.201272	0.120638	0.074705	0.0369804	0.0230511	0.0191875
a20	0.0757196	0.112148	0.190492	0.238936	0.175086	0.100797	0.0436195	0.0328326	0.0303698
a73	0.0542601	0.0750511	0.144703	0.24051	0.182318	0.122603	0.0689528	0.0576029	0.0539988
a94	0.0379258	0.0573254	0.111793	0.199678	0.197066	0.163334	0.0977144	0.0742531	0.0609108
a41	0.0247134	0.0332381	0.0737078	0.199945	0.229084	0.187582	0.104849	0.0776092	0.0692714
a35	0.0204493	0.025542	0.0532233	0.163331	0.206793	0.193645	0.126995	0.109067	0.100954
a41	0.0193072	0.0229747	0.0439072	0.131372	0.179881	0.194533	0.1554	0.136586	0.116038
a98	0.0184173	0.0193191	0.0283301	0.0792038	0.143641	0.195304	0.19618	0.177934	0.141671
a73	0.0227669	0.0212097	0.026345	0.0532934	0.10064	0.162235	0.189289	0.224367	0.199853
a35	0.0221994	0.0189692	0.024289	0.0525603	0.115534	0.169918	0.194113	0.219522	0.182896
a66	0.0159556	0.0113093	0.0137177	0.02504	0.0569134	0.12349	0.190122	0.295056	0.268396
a76	0.00427147	0.00397897	0.00583432	0.0149389	0.0454487	0.106835	0.170337	0.327821	0.320534
a32	0.0199321	0.0139263	0.0133305	0.0165813	0.0309297	0.0831854	0.169931	0.339258	0.312926
a24	0.0117246	0.00645035	0.00645201	0.0107269	0.0199911	0.0558026	0.134274	0.35157	0.403008
a25	0.00663587	0.00299682	0.00265883	0.00446923	0.0112628	0.0378521	0.10336	0.343785	0.486979
a24	0.0107856	0.00575328	0.00506749	0.00967407	0.019239	0.0499607	0.107141	0.336668	0.455711
a9	0.00515969	0.00261698	0.00204875	0.00355588	0.00836928	0.0291926	0.0795148	0.343553	0.525989
a58	0.00257026	0.0011456	0.000825584	0.00145126	0.00555565	0.0234216	0.0775396	0.349172	0.538318
a76	0.00347315	0.00131454	0.000637836	0.000735445	0.00266499	0.0142893	0.0566619	0.306555	0.613667
a32	0.00179635	0.00115961	0.000766565	0.000983734	0.0026515	0.010159	0.0406794	0.279848	0.661956
a24	0.00194428	0.000718701	0.000488634	0.000748238	0.00212195	0.0086967	0.0353782	0.276767	0.673136
a9	0.00337965	0.00115199	0.000645991	0.000832623	0.00254609	0.00986299	0.03706	0.257556	0.686965
a10	0.010107	0.00392855	0.00205043	0.00219418	0.00505026	0.0160088	0.0518624	0.263655	0.645144
a38	0.0104947	0.00431046	0.00180257	0.00162604	0.00386836	0.0135638	0.0495692	0.257943	0.656822
a73	0.00654499	0.00350024	0.00144191	0.00093712	0.0024934	0.0109791	0.04721	0.269575	0.657318
a2	0.00145215	0.000936393	0.000632797	0.00111918	0.00453841	0.0178213	0.0584432	0.27712	0.637936
a57	0.00397277	0.00155046	0.000934769	0.00125041	0.0037791	0.013462	0.0472225	0.241704	0.686124
a87	0.0106846	0.00567716	0.00244377	0.00184157	0.00535429	0.0172638	0.059325	0.245104	0.652306
</S>	0.0102102	0.00635751	0.00323746	0.0027598	0.0105246	0.0319122	0.0795478	0.256404	0.599047
