 	sa	manière	de	respecter	cette	femme	cache	quelque	chose	</S>
a66	0.151294	0.116909	0.112977	0.133905	0.171384	0.178972	0.0938011	0.0237716	0.0116873	0.00529822
a87	0.276083	0.183417	0.123791	0.144316	0.114111	0.090101	0.0395427	0.0102563	0.00831462	0.0100674
a23	0.213762	0.15173	0.119125	0.171161	0.131979	0.113632	0.0553746	0.0209458	0.0112486	0.0110416
a18	0.217425	0.233237	0.135601	0.189308	0.0919154	0.0583955	0.0354308	0.0146352	0.0101926	0.0138588
a54	0.172612	0.168047	0.118139	0.186603	0.120237	0.0998577	0.0647515	0.0336525	0.0162407	0.0198594
a6	0.214549	0.175563	0.120982	0.117861	0.0871848	0.0669122	0.0537444	0.0516103	0.060019	0.0515749
a36	0.145401	0.156415	0.149241	0.157244	0.11923	0.0760698	0.0522225	0.049761	0.0509779	0.0434371
a5	0.127227	0.180604	0.158897	0.190691	0.108615	0.0536848	0.037107	0.0389825	0.0551955	0.0489956
a18	0.113927	0.146016	0.141365	0.178965	0.109358	0.0640742	0.0506452	0.0565453	0.0717344	0.0673694
a24	0.10388	0.125384	0.147118	0.172853	0.1198	0.0741907	0.0515	0.0500853	0.0756693	0.0795193
a21	0.0809594	0.0756655	0.113331	0.133705	0.12516	0.0961652	0.0767348	0.0790111	0.110412	0.108856
a5	0.091689	0.0777824	0.121974	0.129737	0.137849	0.116224	0.0930554	0.0643811	0.0796352	0.0876731
a85	0.0536387	0.051109	0.0938366	0.129902	0.149814	0.130848	0.118051	0.083959	0.0915343	0.0973081
a6	0.0450916	0.0501591	0.117741	0.13857	0.124926	0.0962661	0.0904355	0.0759082	0.109107	0.151795
a75	0.0391738	0.0361192	0.0863717	0.120369	0.137544	0.112345	0.105167	0.0923973	0.122538	0.147976
a98	0.0248223	0.0210922	0.0510652	0.0852485	0.126749	0.117953	0.120468	0.129501	0.155784	0.167316
a92	0.0146942	0.0131833	0.0399421	0.0744751	0.128568	0.132535	0.140745	0.13396	0.153279	0.168618
a44	0.0132277	0.0107871	0.025937	0.0485558	0.0979179	0.105391	0.12478	0.165562	0.188908	0.218934
a96	0.0181606	0.0124406	0.0262177	0.0404153	0.0903298	0.119781	0.151953	0.185644	0.161352	0.193706
a12	0.0113635	0.0073325	0.0149349	0.0292032	0.060235	0.0886078	0.124716	0.179478	0.178471	0.305657
a34	0.00910542	0.00613058	0.00978099	0.0154272	0.0300161	0.0430893	0.0773209	0.171954	0.253895	0.38328
a93	0.0037662	0.00255503	0.00497627	0.0102041	0.0183528	0.0242615	0.0399742	0.127526	0.244915	0.523469
a75	0.00276012	0.00172735	0.00368023	0.00884718	0.0166548	0.0221105	0.0320324	0.135974	0.247965	0.528248
a21	0.00164351	0.00122244	0.00309391	0.00621878	0.0116057	0.0147466	0.028118	0.108463	0.233684	0.591204
a5	0.00151154	0.000908269	0.00184179	0.00316394	0.00552055	0.00646536	0.00838682	0.0411713	0.183468	0.747562
a21	0.00180906	0.00110364	0.00219453	0.00303419	0.00496499	0.00568136	0.00641302	0.0263168	0.1523	0.796182
a47	0.00142643	0.000837812	0.00180818	0.00268093	0.00444569	0.00504865	0.00578841	0.0229686	0.14248	0.812516
a93	0.00149492	0.00100441	0.00233378	0.00575867	0.008641	0.0090667	0.00862851	0.0265797	0.143762	0.792731
a90	0.000858729	0.000582554	0.00131039	0.00296725	0.00448174	0.00493995	0.00589357	0.0229884	0.112286	0.843691
a69	0.000471062	0.000251894	0.000677658	0.00172007	0.00293854	0.00357182	0.0044965	0.0186609	0.110735	0.856477
a58	0.00130448	0.000736601	0.00186487	0.00444754	0.00674123	0.00753815	0.00947144	0.0348131	0.123218	0.809865
a82	0.00356331	0.00185626	0.00312947	0.00708962	0.0103825	0.0134446	0.0166944	0.0457689	0.126926	0.771145
a87	0.0885211	0.0384094	0.0541573	0.0913379	0.098257	0.110908	0.0878487	0.0856863	0.107647	0.237227
a23	0.21165	0.116679	0.130804	0.115496	0.0999856	0.108522	0.107343	0.0539073	0.0283558	0.0272562
a99	0.093532	0.0427366	0.0515856	0.0421964	0.0398344	0.0531843	0.075988	0.203323	0.18379	0.21383
</S>	0.0726029	0.0290471	0.0289763	0.033055	0.0434143	0.0666315	0.0759864	0.131976	0.15796	0.360351
