 	en	tre	eux	une	mouche	ne	peut	traverser	</S>
a66	0.350098	0.198471	0.12116	0.0931476	0.102183	0.0593048	0.0291529	0.0241296	0.0223532
a87	0.509821	0.112148	0.0752624	0.0674976	0.0886968	0.0543278	0.030647	0.0319823	0.029618
a23	0.547312	0.155049	0.084481	0.054039	0.0405302	0.02899	0.0253921	0.0305905	0.033616
a40	0.459824	0.136011	0.0788986	0.0556757	0.075613	0.0354473	0.0345103	0.0532533	0.0707671
a15	0.304764	0.15541	0.147556	0.149301	0.117541	0.0462386	0.0281466	0.0243125	0.0267311
a54	0.162409	0.198068	0.192032	0.183218	0.142354	0.0488076	0.0272008	0.0236271	0.0222835
a47	0.121316	0.18467	0.198313	0.20055	0.154739	0.0651426	0.0298746	0.0241506	0.0212447
a6	0.0865959	0.190763	0.240395	0.221015	0.145026	0.0438256	0.0240485	0.0252566	0.0230745
a36	0.115155	0.18886	0.223669	0.21416	0.141832	0.0400994	0.0248636	0.0271183	0.0242413
a37	0.119541	0.182775	0.214356	0.214051	0.12629	0.0412817	0.031225	0.0355312	0.0349491
a61	0.101811	0.152374	0.194611	0.221524	0.134374	0.0520049	0.0426193	0.0491855	0.0514961
a37	0.0697907	0.103752	0.124491	0.15565	0.144782	0.0973371	0.089725	0.0990231	0.115448
a38	0.0381203	0.0516692	0.0631714	0.100413	0.168961	0.135353	0.125352	0.146775	0.170185
a11	0.0242204	0.030517	0.0331662	0.0518441	0.108146	0.157902	0.1608	0.197426	0.235977
a96	0.0166007	0.0166532	0.0159744	0.0229483	0.0556139	0.131424	0.191454	0.271626	0.277705
a34	0.010185	0.0138658	0.0122091	0.0157413	0.0332557	0.126782	0.21783	0.273888	0.296244
a75	0.00435697	0.00531828	0.00459404	0.00613447	0.0148658	0.0858098	0.210878	0.305573	0.36247
a92	0.000673609	0.000765598	0.00080178	0.00143572	0.00333518	0.0342887	0.146651	0.31304	0.499008
a56	0.000501283	0.000585609	0.000570505	0.000961849	0.00202406	0.0245592	0.126947	0.299506	0.544345
a75	0.000970387	0.00100794	0.000675819	0.000817669	0.00135063	0.0146861	0.0993857	0.295705	0.585401
a56	0.000387759	0.000402289	0.000332655	0.00051008	0.000845465	0.0128643	0.0912189	0.27853	0.614908
a92	0.000688573	0.000672543	0.000492055	0.000675132	0.00106666	0.015287	0.107678	0.292001	0.581439
a37	0.000551123	0.000636936	0.000532263	0.000838541	0.00120724	0.0170962	0.104068	0.282864	0.592206
a36	0.000674392	0.000805054	0.000948889	0.00167281	0.00268954	0.0232555	0.101477	0.282234	0.586242
a2	0.00831935	0.00595825	0.00793609	0.0116615	0.0133002	0.0622307	0.150085	0.264163	0.476345
a57	0.0853891	0.0690219	0.0620332	0.0503148	0.0326675	0.0717478	0.122053	0.173905	0.332868
a87	0.330034	0.108941	0.0707247	0.0576738	0.0412092	0.0530761	0.0712136	0.093926	0.173202
a23	0.264001	0.111109	0.0732256	0.0601883	0.0587405	0.0862898	0.098377	0.107043	0.141025
a97	0.195378	0.0607506	0.0342675	0.0199099	0.0139664	0.0450421	0.114433	0.208431	0.30782
a99	0.0527336	0.0173678	0.0137713	0.011494	0.014602	0.0531745	0.114725	0.279324	0.442808
a97	0.0507703	0.0184074	0.015146	0.0137874	0.022969	0.0700932	0.127601	0.273754	0.407471
</S>	0.0829136	0.0327722	0.0257655	0.0220881	0.0333718	0.0681066	0.1121	0.256383	0.366499
