 	la	manière	dont	sa	mère	l'	avait	d'	habillé	a	plu	aux	gens	</S>
a66	0.0923747	0.0699518	0.0627927	0.0622956	0.103829	0.113041	0.116125	0.110678	0.112878	0.0731893	0.0532359	0.0174026	0.00712691	0.0050796
a87	0.232286	0.140779	0.0974528	0.0533996	0.060707	0.0775551	0.0741655	0.0638956	0.095831	0.0541225	0.0310163	0.00951988	0.00490812	0.00436165
a23	0.242204	0.128882	0.116119	0.0909754	0.0969002	0.0795324	0.0644391	0.0506127	0.0659361	0.0314878	0.0148558	0.00737951	0.0047436	0.00593263
a12	0.254133	0.192958	0.165427	0.0723758	0.0740205	0.0579493	0.0434994	0.0327823	0.0528906	0.0231048	0.00963445	0.00428233	0.00556138	0.0113804
a61	0.212178	0.159014	0.148135	0.0928124	0.088192	0.0806392	0.0591328	0.0425113	0.0445014	0.0230891	0.0120743	0.0106937	0.0124851	0.0145415
a75	0.254862	0.271492	0.166969	0.0775286	0.0616626	0.0529244	0.0349757	0.0247337	0.0246689	0.0137868	0.0060393	0.00376423	0.00317475	0.00341876
a85	0.233674	0.274093	0.161563	0.0714365	0.0542536	0.0516838	0.0404374	0.0318979	0.0283295	0.0192535	0.0114802	0.00818178	0.00692366	0.00679187
a6	0.158815	0.209955	0.107698	0.0494346	0.0381122	0.045681	0.045962	0.0474156	0.0420078	0.050833	0.0628835	0.0708066	0.0399835	0.0304126
a0	0.198738	0.233761	0.159504	0.0826653	0.0580363	0.0559131	0.044393	0.0365708	0.0309449	0.0255313	0.020668	0.02318	0.0156122	0.0144815
a11	0.137868	0.140781	0.121183	0.0980887	0.0760296	0.0777985	0.0617235	0.0567222	0.0660972	0.0573729	0.0407699	0.0314239	0.0183985	0.0157426
a0	0.0484115	0.0485428	0.0807177	0.107814	0.121021	0.118261	0.0970788	0.0883593	0.0944558	0.070675	0.0565158	0.0351816	0.0185161	0.0144486
a24	0.0174807	0.0166121	0.0383402	0.079709	0.11413	0.12261	0.114977	0.107119	0.110302	0.0895866	0.0796385	0.0548091	0.0298594	0.0248263
a31	0.0116722	0.0108166	0.0247566	0.071785	0.136948	0.141134	0.139257	0.115749	0.0938918	0.0808133	0.0840651	0.0486206	0.0226463	0.0178447
a88	0.00926458	0.00861373	0.0160065	0.0467457	0.089233	0.116571	0.13059	0.129927	0.124407	0.114708	0.110058	0.0575409	0.0258745	0.0204607
a83	0.00824003	0.00731522	0.0128232	0.0352639	0.0780808	0.106936	0.13647	0.138548	0.111619	0.112373	0.123441	0.0720391	0.0316845	0.0251672
