 	j'	ai	laissé	la	maison	ouverte	</S>
a23	0.50659	0.230756	0.119607	0.0665121	0.0378421	0.0221797	0.0165135
a83	0.458193	0.213677	0.0860189	0.08563	0.0699063	0.0534797	0.0330953
a31	0.42589	0.268763	0.133571	0.0868445	0.0522721	0.0181286	0.0145308
a0	0.361137	0.290909	0.17859	0.0946516	0.047437	0.0197662	0.00751002
a31	0.312216	0.276837	0.186831	0.100079	0.0726952	0.0386602	0.0126825
a61	0.300155	0.234172	0.180804	0.0992298	0.08127	0.076266	0.028103
a0	0.222438	0.171546	0.149086	0.105596	0.121669	0.162713	0.0669525
a21	0.102186	0.0887131	0.0995429	0.110231	0.155535	0.271592	0.1722
a34	0.082947	0.0722638	0.0902081	0.12517	0.188368	0.254736	0.186307
a83	0.033013	0.0299413	0.0432345	0.0854145	0.184407	0.373411	0.250578
a93	0.00704527	0.00629052	0.00937202	0.0283356	0.109576	0.403043	0.436337
a13	0.00342286	0.00317034	0.0049939	0.0198949	0.0894086	0.347773	0.531336
a99	0.00190679	0.00231773	0.00379527	0.0120737	0.0365913	0.116988	0.826327
a87	0.00800073	0.00775301	0.0085019	0.0147121	0.0308178	0.100735	0.829479
a23	0.0802247	0.0632374	0.0377027	0.0368563	0.0539776	0.131593	0.596408
a87	0.0684827	0.0535984	0.0314972	0.0445769	0.0766552	0.212545	0.512645
</S>	0.0600355	0.0693071	0.0471293	0.0613882	0.0947289	0.184939	0.482472
