 	il	est	allé	chercher	le	bois	de	chauffe	dans	la	forêt	</S>
a66	0.26454	0.199104	0.110499	0.0850742	0.0707327	0.052254	0.0366284	0.0333719	0.0402028	0.0373421	0.0377721	0.032479
a87	0.352563	0.275297	0.107253	0.0486579	0.0336499	0.0268405	0.0245495	0.0190109	0.0251752	0.0286937	0.0309616	0.0273482
a23	0.343429	0.176995	0.0740724	0.055581	0.0532566	0.0488825	0.0489702	0.0383942	0.0494137	0.0375238	0.0380438	0.0354376
a79	0.181728	0.106568	0.0460633	0.0478186	0.0565034	0.0685385	0.0853418	0.0663472	0.0861602	0.0734715	0.091012	0.0904479
a15	0.223318	0.156768	0.0997808	0.0999941	0.0945227	0.0794957	0.0612955	0.0369255	0.0422079	0.0339085	0.0362625	0.0355206
a79	0.127529	0.156344	0.139905	0.131584	0.116364	0.0961373	0.0740229	0.0439686	0.0402414	0.0287842	0.0249371	0.0201827
a44	0.167197	0.199719	0.172363	0.114491	0.0879779	0.0676102	0.0551659	0.0365304	0.0337332	0.0263959	0.0214894	0.0173278
a93	0.0928438	0.11864	0.118542	0.104629	0.0898435	0.0845323	0.0763924	0.0719195	0.0744325	0.062374	0.0558089	0.0500431
a70	0.11806	0.144967	0.129023	0.0964904	0.0737309	0.0677264	0.0601384	0.0605965	0.0655404	0.0618884	0.0615254	0.0603139
a11	0.109445	0.141077	0.13478	0.112104	0.075932	0.0733808	0.0626325	0.0643688	0.0624348	0.0572434	0.0546503	0.0519508
a90	0.0941622	0.109886	0.105898	0.0983865	0.0724469	0.0756065	0.0699948	0.0712787	0.0729802	0.0735479	0.0767133	0.0790988
a75	0.112996	0.116072	0.107628	0.0910172	0.0675677	0.0607949	0.0587099	0.0647065	0.0713271	0.0773754	0.0839514	0.0878537
a79	0.068716	0.078366	0.0829944	0.0918982	0.0769223	0.0725342	0.0740736	0.0861561	0.0916511	0.0945029	0.0928904	0.0892948
a7	0.0628415	0.0703629	0.0782357	0.102243	0.0867529	0.0838865	0.0828995	0.0915037	0.0898497	0.0845559	0.0832371	0.0836315
a93	0.0407315	0.0328709	0.0330741	0.0580303	0.0653115	0.0819713	0.0922126	0.0996958	0.111013	0.109172	0.127509	0.148408
a96	0.0284099	0.0208083	0.0226539	0.0461932	0.0605833	0.0796164	0.0928125	0.108295	0.1231	0.12027	0.137865	0.159393
a0	0.0122188	0.00959466	0.0115849	0.0246659	0.0356591	0.0582287	0.0820404	0.116837	0.1361	0.141762	0.164769	0.20654
a75	0.0114562	0.0102925	0.0143165	0.0262368	0.0335631	0.0474261	0.0583945	0.0927146	0.114556	0.148765	0.189881	0.252397
a79	0.00293556	0.00260384	0.00393288	0.0100713	0.017338	0.0293163	0.0535748	0.0925927	0.106956	0.159867	0.209951	0.31086
a7	0.00174062	0.0015053	0.00259534	0.00806594	0.0144205	0.0268453	0.0512551	0.0856404	0.102006	0.154729	0.223826	0.327371
a58	0.00261022	0.00219486	0.00357007	0.00889769	0.0113506	0.0209883	0.0355	0.0602154	0.0769479	0.145385	0.243027	0.389313
a82	0.00453963	0.00434978	0.00743061	0.0148724	0.0169836	0.0255674	0.0334571	0.0465408	0.0606536	0.118196	0.22682	0.440589
a87	0.0968989	0.0816131	0.0647955	0.0606471	0.046019	0.0490653	0.0474736	0.0599053	0.0718704	0.103715	0.13155	0.186447
a23	0.331922	0.210647	0.0900182	0.0649974	0.0449865	0.0438547	0.0378651	0.0351388	0.0345031	0.0381431	0.0341345	0.0337893
a87	0.12669	0.0623135	0.0314191	0.0336357	0.0395884	0.0517193	0.0701295	0.0808975	0.0987366	0.134349	0.133947	0.136574
</S>	0.0285021	0.0150362	0.0115398	0.0176414	0.0273646	0.0458018	0.0865527	0.112362	0.139852	0.174463	0.16648	0.174404
