 	c'	est	l'	amant	de	sa	fille	qu'	il	a	battu	hier	</S>
a79	0.32421	0.189376	0.133505	0.0625373	0.0342806	0.0333074	0.0400185	0.0426257	0.0317617	0.0279217	0.0242039	0.0258494	0.0304028
a41	0.316754	0.189046	0.192445	0.071999	0.0312887	0.0281413	0.0286014	0.024922	0.018639	0.0170419	0.0168565	0.0240292	0.0402356
a66	0.25743	0.198342	0.224425	0.114922	0.0466867	0.0327339	0.0226664	0.0234636	0.0203101	0.0145702	0.0121122	0.0143565	0.0179823
a38	0.319225	0.261302	0.240919	0.110384	0.0282973	0.0130968	0.00524607	0.00513224	0.00376567	0.00290469	0.00254905	0.00308271	0.00409586
a24	0.303242	0.233351	0.198461	0.129966	0.0546725	0.0301507	0.0130642	0.010129	0.0061546	0.00458303	0.0043222	0.00539581	0.00650782
a9	0.179415	0.179589	0.186521	0.153685	0.107513	0.0701112	0.0364271	0.0280952	0.0157492	0.0109312	0.00945676	0.0107554	0.0117514
a10	0.106884	0.121765	0.146448	0.13046	0.122355	0.0968323	0.0636297	0.0473014	0.0299522	0.0219759	0.0238109	0.037438	0.0511478
a40	0.0614102	0.0815746	0.110131	0.0955745	0.125726	0.126191	0.107628	0.081688	0.0523049	0.0315574	0.0282768	0.0424013	0.0555361
a30	0.108561	0.114559	0.122323	0.114402	0.116607	0.109102	0.075163	0.0672864	0.0479007	0.0364064	0.0291377	0.0294073	0.0291439
a35	0.065308	0.0791488	0.0999097	0.098626	0.134002	0.135737	0.101982	0.0890794	0.0606873	0.0440706	0.032308	0.0298384	0.0293027
a57	0.0736471	0.0890866	0.10979	0.101909	0.132246	0.128443	0.103769	0.0933784	0.0582792	0.0410005	0.0275304	0.0226703	0.0182504
a40	0.0293179	0.0470041	0.0736932	0.0829586	0.152271	0.162785	0.123477	0.0948327	0.0649136	0.0446177	0.0361436	0.0424113	0.0455746
a30	0.0349613	0.052854	0.0780131	0.0875909	0.148962	0.160784	0.110127	0.090533	0.0660547	0.0523716	0.0451215	0.0406474	0.0319799
a35	0.0543563	0.0735309	0.0995515	0.112472	0.153039	0.139483	0.0866049	0.0712294	0.0495755	0.0420059	0.0420021	0.0434956	0.0326537
a14	0.0340377	0.048488	0.0678902	0.0841483	0.158465	0.15438	0.11986	0.104221	0.0668658	0.0492127	0.040367	0.0400139	0.0320514
a35	0.0248595	0.039651	0.0579028	0.0822085	0.17905	0.172956	0.121524	0.101236	0.0632802	0.0470344	0.0402741	0.0384887	0.0315343
a30	0.0155534	0.0248412	0.0386144	0.0502681	0.157219	0.177158	0.134801	0.109817	0.0708303	0.0557294	0.051339	0.058274	0.0555552
a35	0.011883	0.0188318	0.0287518	0.0451686	0.151993	0.181605	0.154464	0.124716	0.0799687	0.0564291	0.0485918	0.0522285	0.045368
a14	0.0106703	0.0160656	0.0240711	0.0295409	0.0943995	0.131822	0.157021	0.133058	0.0930119	0.0694674	0.0630035	0.0838096	0.0940586
a73	0.0102541	0.0162057	0.0242643	0.0343872	0.0998545	0.142114	0.161324	0.127681	0.0868578	0.0620139	0.0601027	0.0801598	0.0947809
a20	0.00966015	0.0151839	0.0242624	0.0407991	0.0960947	0.115889	0.140974	0.0992967	0.0728351	0.0511757	0.0633255	0.117824	0.15268
a14	0.0169586	0.0235717	0.0318419	0.041862	0.0834616	0.0987705	0.101828	0.0732754	0.0622956	0.0539947	0.0826524	0.145351	0.184136
a41	0.0171039	0.0249233	0.0325689	0.0349573	0.0757435	0.093651	0.116502	0.0975511	0.0796507	0.0669205	0.0800563	0.11425	0.166122
a26	0.0102425	0.0146463	0.0211482	0.0284103	0.0701259	0.0830603	0.10762	0.0859598	0.0758287	0.0649281	0.0792919	0.126203	0.232535
a35	0.00678287	0.00944536	0.0130639	0.022152	0.0621755	0.0864721	0.127545	0.101404	0.0845056	0.0633324	0.0692771	0.123554	0.23029
a94	0.0110437	0.0152551	0.0211062	0.0288291	0.0693167	0.0895052	0.111035	0.0880449	0.075944	0.0626566	0.0733197	0.121461	0.232482
a70	0.00572547	0.00900261	0.0148629	0.0212323	0.0587149	0.070488	0.0967121	0.0741741	0.0684571	0.0611084	0.0767417	0.147725	0.295055
a93	0.0104709	0.012328	0.0184618	0.0312047	0.0604054	0.0638586	0.0826503	0.0654182	0.0692669	0.0679605	0.0862383	0.147045	0.284691
a70	0.0196041	0.0246587	0.0366722	0.0511878	0.0897737	0.0844675	0.100381	0.0765465	0.0728501	0.0698599	0.0821853	0.11813	0.173683
a98	0.0188978	0.0207858	0.0273509	0.0413708	0.0713569	0.0681993	0.0840691	0.0640481	0.0666824	0.0683032	0.0887036	0.141034	0.239198
a14	0.0163402	0.0179821	0.0258693	0.0337666	0.0677115	0.0662257	0.0707351	0.0557202	0.0609938	0.0647143	0.0842432	0.144347	0.291351
a35	0.0101468	0.0116362	0.017086	0.0239434	0.0584959	0.0575627	0.0646174	0.0511625	0.0587877	0.0611818	0.0851877	0.156157	0.344035
a66	0.00695372	0.00782796	0.011139	0.0164404	0.0461464	0.0447231	0.0491755	0.0384563	0.0461949	0.0532371	0.0896723	0.175828	0.414205
a75	0.00388294	0.00482476	0.00684887	0.0103556	0.0336247	0.0433035	0.0645921	0.0486172	0.058591	0.0597847	0.0945817	0.198659	0.372334
a41	0.00720051	0.00852623	0.0129452	0.0172973	0.0453919	0.0464046	0.0552661	0.0455366	0.057206	0.0634841	0.0946451	0.172395	0.373701
a24	0.00504103	0.00669344	0.00997823	0.0177536	0.0429031	0.0406767	0.0474181	0.0391497	0.0526531	0.0618588	0.104886	0.178588	0.392401
a41	0.00390491	0.00429628	0.00547267	0.00919414	0.0199191	0.0201969	0.029409	0.0244636	0.0329788	0.0422062	0.0889699	0.217223	0.501765
a76	0.00381347	0.00488345	0.0064392	0.0102183	0.0258401	0.0278303	0.0398711	0.0339133	0.0445245	0.0567733	0.111144	0.229899	0.40485
a98	0.00658046	0.00911259	0.0132057	0.0224836	0.0479148	0.0438905	0.0452979	0.0397423	0.0496102	0.0591838	0.100116	0.185665	0.377197
a41	0.00830186	0.0101314	0.0146195	0.0254398	0.0465823	0.0431329	0.0433553	0.0389453	0.0460695	0.0548614	0.0907939	0.176561	0.401206
a56	0.0093378	0.0111245	0.0156646	0.0232637	0.0403402	0.0352873	0.0338174	0.0294021	0.0358179	0.0463139	0.0937318	0.199389	0.426509
a98	0.00867244	0.0104463	0.0142199	0.0238331	0.0515241	0.0507217	0.053017	0.0451199	0.0504133	0.0577889	0.0901827	0.177994	0.366066
a41	0.00924228	0.0112915	0.0156472	0.0288568	0.0509947	0.0430109	0.0398122	0.0338309	0.0365296	0.0436722	0.0771901	0.178293	0.431628
a44	0.00673111	0.00933268	0.0130932	0.0219203	0.0405137	0.0348512	0.0366547	0.0316269	0.037122	0.0474486	0.0931153	0.200439	0.427151
a57	0.00612058	0.00815607	0.0121368	0.0180181	0.0447129	0.0455399	0.0608782	0.0487329	0.0489293	0.0500641	0.0743181	0.169336	0.413057
a97	0.00192628	0.00224905	0.00273481	0.00367887	0.0115528	0.0146254	0.0253795	0.0224721	0.0329483	0.0395661	0.0765378	0.213956	0.552373
a53	0.00132321	0.00122807	0.00116007	0.00184665	0.00410614	0.00518496	0.0108341	0.0114469	0.0227234	0.0350047	0.0826425	0.24804	0.57446
a76	0.000830885	0.000761063	0.00101206	0.00136293	0.00383303	0.00532193	0.0123421	0.0100672	0.0160359	0.0231888	0.0568513	0.217914	0.650479
a73	0.00386506	0.00446344	0.00684493	0.0111116	0.0283455	0.0246319	0.0266752	0.0192681	0.020388	0.0278776	0.0628102	0.203693	0.560025
a84	0.0011395	0.00167908	0.00269359	0.00462469	0.0182541	0.0159582	0.021349	0.0161084	0.0192971	0.0254562	0.0649965	0.226949	0.581494
a57	0.00125009	0.00141982	0.0016645	0.00297993	0.00658016	0.00559644	0.00794805	0.00763298	0.0165194	0.0288621	0.10095	0.314669	0.503927
a87	0.00636525	0.00480795	0.00428846	0.003623	0.00568519	0.00478044	0.00624017	0.00807309	0.0193186	0.0415198	0.122562	0.305882	0.466854
