 	l'	embonpoint	qu'	a	la	chèvre	de	monsieur	oko	cache	sa	grossesse	</S>
a66	0.248085	0.115925	0.0521342	0.0401791	0.0383076	0.0603496	0.0670626	0.0822609	0.0994078	0.0803684	0.0497186	0.046398	0.0198026
a87	0.591293	0.157925	0.0350527	0.0171521	0.0132105	0.015693	0.0160252	0.0187572	0.0228229	0.0281673	0.0325133	0.0308123	0.0205758
a23	0.492236	0.16993	0.0772163	0.0295446	0.0146915	0.0150115	0.0122631	0.0119424	0.0134679	0.0156217	0.0347494	0.0600187	0.053307
a97	0.282458	0.145834	0.0960697	0.0537153	0.0454066	0.051046	0.0430006	0.032734	0.0230285	0.0233896	0.0545413	0.074736	0.0740409
a83	0.217297	0.135144	0.139387	0.0956012	0.0694193	0.0690183	0.0388648	0.030493	0.0255689	0.0316387	0.0537949	0.0541077	0.039665
a13	0.178253	0.17468	0.160285	0.0893646	0.0507822	0.0404751	0.0345807	0.0246712	0.0183177	0.031035	0.0881699	0.0598944	0.049491
a54	0.219226	0.222064	0.180108	0.120054	0.0658312	0.0424717	0.0219157	0.0140995	0.00912429	0.0126406	0.0340934	0.0362532	0.0221188
a5	0.132193	0.245332	0.214978	0.128571	0.0693003	0.0449307	0.0275962	0.0186602	0.0162266	0.0186395	0.0318752	0.0321985	0.0194988
a12	0.0647446	0.156475	0.263426	0.178429	0.105485	0.063484	0.037304	0.0247147	0.0214282	0.0224185	0.0280218	0.0214558	0.0126125
a47	0.0386402	0.0808332	0.194534	0.199097	0.165769	0.105785	0.0612827	0.0397209	0.0294574	0.0231205	0.0238575	0.0204381	0.0174647
a18	0.0340833	0.0527849	0.14	0.198318	0.206346	0.13963	0.0691882	0.0430502	0.0328798	0.0239592	0.0210968	0.0207294	0.0179348
a61	0.0285746	0.0382044	0.124176	0.210524	0.232217	0.149882	0.0724216	0.0440462	0.0300653	0.0188257	0.0160464	0.0167572	0.0182589
a75	0.0279186	0.0285395	0.0803461	0.164909	0.221719	0.164275	0.101121	0.0725119	0.0516992	0.0275883	0.0205995	0.0182245	0.0205484
a6	0.0186971	0.0300775	0.0743906	0.143388	0.198763	0.155994	0.100289	0.0646041	0.0596981	0.0425378	0.0386981	0.0296421	0.0432201
