 	le	manioc	que	ta	femmin	a	oté	du	feu	s'	est	déjà	refroidi	</S>
a66	0.170498	0.123583	0.101284	0.0945555	0.110224	0.089762	0.124001	0.0979618	0.0372357	0.0215403	0.0105788	0.00768761	0.00578738	0.00530145
a87	0.365535	0.282281	0.145268	0.0695503	0.0282402	0.0180872	0.0187921	0.0198646	0.0118302	0.0131289	0.00767251	0.00720263	0.00656775	0.00597917
a23	0.38646	0.227697	0.114565	0.0833166	0.0532406	0.0329952	0.0314048	0.0169733	0.0114482	0.0135357	0.00924703	0.00774947	0.00575165	0.00561573
a5	0.270999	0.169506	0.103528	0.0959234	0.0917838	0.0588358	0.0655188	0.0387416	0.0225227	0.0228554	0.016006	0.0144665	0.013891	0.0154222
a23	0.178096	0.151911	0.119256	0.0723244	0.0829583	0.0466351	0.0494404	0.0465228	0.0377007	0.0406966	0.0371402	0.0448447	0.0479782	0.0444961
a90	0.144736	0.120107	0.144213	0.111059	0.172524	0.0927095	0.0971959	0.0419268	0.0197358	0.0150378	0.0100665	0.0108978	0.010479	0.0093128
a25	0.0999268	0.0993909	0.147769	0.145929	0.209306	0.104492	0.0982716	0.0362356	0.01732	0.0120557	0.00880908	0.00964219	0.0068716	0.00398117
a5	0.0430316	0.0462502	0.0854754	0.123948	0.231895	0.170262	0.118984	0.0527365	0.0305981	0.0218166	0.0192703	0.0234717	0.0195016	0.0127592
a21	0.0796577	0.0922392	0.138832	0.150572	0.212916	0.131378	0.0861919	0.0272554	0.0172035	0.0129532	0.0133942	0.014062	0.0141749	0.00916917
a85	0.0636979	0.0805222	0.135068	0.156488	0.197767	0.139559	0.0957396	0.0366549	0.0215465	0.0141624	0.0133137	0.0140075	0.0180334	0.0134391
a37	0.0307034	0.0422671	0.0809208	0.122564	0.179278	0.195512	0.107981	0.0594371	0.0378	0.0247812	0.0201462	0.0183895	0.0332175	0.0470022
a61	0.0525013	0.0431111	0.0671637	0.112698	0.14272	0.224804	0.159752	0.0689593	0.0360679	0.0218167	0.0153604	0.0140524	0.0196824	0.0213111
a0	0.0389437	0.0428543	0.085095	0.135164	0.152517	0.201295	0.141395	0.06232	0.0348571	0.0203146	0.0147414	0.0144023	0.0260022	0.0300993
a11	0.0269942	0.0255351	0.0400277	0.0743974	0.090758	0.192763	0.164593	0.108557	0.0639249	0.0399563	0.0311031	0.0340603	0.0517735	0.0555572
a75	0.0173916	0.0173418	0.0263655	0.0534336	0.0669038	0.146641	0.164349	0.142486	0.0874683	0.0567181	0.044583	0.0445881	0.0630909	0.0686384
a56	0.0100229	0.00996621	0.0160353	0.028159	0.0457676	0.161709	0.112065	0.143401	0.102326	0.0722765	0.0534198	0.0456228	0.0736799	0.125549
a96	0.00745771	0.00823012	0.0141239	0.0223238	0.0320955	0.103579	0.101612	0.158581	0.137196	0.10249	0.0701653	0.0571437	0.0758499	0.109153
a75	0.00748001	0.00849071	0.0150522	0.0239549	0.0339536	0.0980135	0.0961838	0.162937	0.140807	0.105181	0.0795389	0.0626958	0.0709352	0.0947761
a92	0.00392655	0.0040036	0.00610823	0.0106035	0.0160476	0.0609446	0.0464266	0.101587	0.099303	0.0909659	0.080341	0.0675868	0.124922	0.287234
a56	0.00298417	0.00313082	0.00480932	0.00790311	0.0122381	0.0463933	0.0337189	0.104648	0.121735	0.119748	0.106658	0.0759542	0.109331	0.250748
a75	0.00329243	0.00350602	0.00546037	0.007864	0.011266	0.0315008	0.0260306	0.0832731	0.0999384	0.108737	0.116561	0.109581	0.149575	0.243413
a12	0.0015136	0.00151218	0.00209679	0.00356037	0.00521984	0.0210344	0.0145122	0.0614914	0.0835468	0.104145	0.111835	0.096852	0.159893	0.332788
a62	0.00235643	0.00237827	0.00327228	0.00510313	0.00714896	0.0198221	0.0131966	0.0563219	0.0710883	0.0887606	0.108787	0.112151	0.168321	0.341292
a0	0.00175488	0.00197854	0.00341034	0.00624329	0.00808688	0.0158876	0.00831978	0.0326646	0.0389339	0.0503511	0.0793066	0.108449	0.200911	0.443702
a93	0.00144069	0.00166789	0.00357203	0.00739651	0.00971142	0.0153129	0.00771028	0.0290001	0.0345952	0.0513332	0.0916949	0.128831	0.189169	0.428565
a13	0.000538014	0.000622529	0.00114326	0.00192021	0.00236173	0.00529604	0.00357306	0.0186859	0.02571	0.0406325	0.0716991	0.100204	0.211407	0.516206
a93	0.0026293	0.00229409	0.00279588	0.00516106	0.00792845	0.0103533	0.00557752	0.0222636	0.0319251	0.0465986	0.0726024	0.0979804	0.174228	0.517663
a56	0.000141544	0.000116647	0.000170454	0.000431816	0.000537262	0.00118162	0.000694999	0.00433824	0.00789795	0.0180359	0.0453615	0.0809198	0.175101	0.665072
a79	0.000157711	0.000122946	0.000157344	0.00047181	0.00063144	0.0013691	0.00060959	0.00341775	0.00620173	0.0130936	0.0328639	0.0614414	0.150659	0.728802
a44	0.000113202	9.47602e-05	0.000128421	0.000362932	0.000460161	0.00106778	0.000525885	0.00283939	0.00474463	0.0101953	0.0287336	0.0641019	0.153117	0.733515
a57	0.000298681	0.000238659	0.000302119	0.000763412	0.00100019	0.00218875	0.00116693	0.00675026	0.0127809	0.0230525	0.0502648	0.0797336	0.17172	0.649739
a3	0.0118182	0.00961641	0.0082371	0.00973243	0.0109718	0.0141271	0.00712544	0.0157612	0.0267787	0.047169	0.0826262	0.0967566	0.169414	0.489866
a97	0.0228494	0.0185509	0.0178981	0.0202015	0.0228414	0.0360203	0.018357	0.0377741	0.0563666	0.0791945	0.117344	0.115677	0.151444	0.285482
a87	0.0429277	0.0272325	0.0230094	0.0278669	0.0269594	0.0510579	0.0284969	0.0561167	0.0719231	0.0842438	0.114731	0.111556	0.134839	0.19904
a23	0.093369	0.0546725	0.0331382	0.0363525	0.028997	0.0422704	0.0281465	0.0708186	0.0939251	0.122807	0.116087	0.0977202	0.0940323	0.0876643
a87	0.0415313	0.0231149	0.0153343	0.0205528	0.0115908	0.016152	0.00883739	0.0293246	0.0554715	0.118747	0.147579	0.143986	0.139472	0.228306
</S>	0.022715	0.012597	0.00899361	0.0145904	0.0104267	0.0186813	0.00862384	0.0261612	0.0424317	0.0851289	0.118333	0.149561	0.19017	0.291586
