 	le	ruisseau	lebee	a	beaucoup	de	ramifications	</S>
a66	0.306247	0.181804	0.151644	0.160801	0.111985	0.0452388	0.0213708	0.020909
a97	0.306998	0.164779	0.119106	0.137881	0.104606	0.0562112	0.0481934	0.0622257
a3	0.232645	0.162546	0.131413	0.127315	0.126086	0.0870855	0.0603654	0.0725444
a9	0.267324	0.226767	0.174056	0.115801	0.0870706	0.0507286	0.0345538	0.0436988
a3	0.26938	0.215518	0.158132	0.123297	0.0954292	0.0556156	0.037528	0.0451004
a97	0.289251	0.205808	0.135732	0.120081	0.0993726	0.0589505	0.0406354	0.0501706
a99	0.298141	0.200039	0.106744	0.0999008	0.100683	0.0685487	0.0541716	0.0717724
a53	0.402743	0.234264	0.0758918	0.0730474	0.0815251	0.0498199	0.0346521	0.0480564
a4	0.458519	0.244464	0.0735872	0.0515045	0.0512358	0.0378897	0.0332497	0.0495496
a58	0.446279	0.349014	0.0888778	0.0388248	0.0292715	0.0189917	0.0144178	0.0143237
a47	0.298238	0.317025	0.171023	0.0703877	0.0565336	0.0376571	0.0261698	0.0229661
a43	0.240602	0.25701	0.17336	0.0787833	0.0729827	0.062101	0.0558897	0.0592711
a0	0.235811	0.288673	0.213204	0.0787448	0.0653606	0.0472023	0.0358711	0.0351336
a62	0.225642	0.272279	0.226535	0.0834386	0.0664565	0.0472049	0.0372346	0.0412091
a34	0.245696	0.312983	0.268339	0.0861413	0.0443738	0.0194037	0.0109836	0.012079
a75	0.176008	0.266689	0.302435	0.116603	0.0654697	0.0319659	0.0184686	0.0223606
a85	0.099381	0.206029	0.280343	0.149885	0.10724	0.0691701	0.0418035	0.0461487
a21	0.0711763	0.160359	0.292681	0.177316	0.128003	0.0794678	0.043293	0.047704
a12	0.0599994	0.123128	0.288694	0.201292	0.152872	0.0958799	0.0405394	0.0375957
a18	0.0256007	0.0623474	0.279783	0.210343	0.173998	0.123158	0.0594939	0.0652765
a21	0.0192685	0.0275024	0.187165	0.157141	0.161892	0.153112	0.123756	0.170162
a12	0.0150656	0.0294094	0.175678	0.183078	0.190933	0.207784	0.101695	0.0963582
a18	0.0149144	0.0270742	0.162392	0.167621	0.189894	0.215797	0.110466	0.111841
a25	0.0181733	0.0183162	0.0781816	0.0991481	0.133956	0.18593	0.200798	0.265497
a3	0.0232867	0.0223646	0.072852	0.0902183	0.114591	0.186908	0.188718	0.301062
a30	0.0227726	0.0223374	0.0753439	0.105409	0.128644	0.163599	0.19399	0.287904
a53	0.019456	0.0146447	0.035079	0.0745296	0.111359	0.158967	0.236244	0.349721
a44	0.022395	0.0184469	0.0265496	0.0574466	0.100528	0.158682	0.208513	0.407438
a11	0.0140818	0.014565	0.0315294	0.0569549	0.0937276	0.158238	0.237561	0.393342
a70	0.00308265	0.00351525	0.0187539	0.0356171	0.066604	0.133404	0.235828	0.503195
a75	0.0021953	0.00240421	0.0134882	0.0274191	0.0538962	0.12277	0.239341	0.538486
a79	0.00284692	0.00432857	0.0146293	0.0295669	0.0503094	0.125042	0.240852	0.532425
a6	0.00239488	0.00392941	0.0154165	0.0302208	0.0453558	0.107113	0.207113	0.588457
a36	0.000941088	0.0013111	0.00533939	0.0117384	0.0214834	0.0745499	0.203263	0.681374
a21	0.000975091	0.000697299	0.00291746	0.0072914	0.0183321	0.0806284	0.242837	0.646321
a47	0.000409234	0.000461575	0.0021787	0.00478466	0.0117601	0.0606367	0.217679	0.70209
a88	0.000378553	0.000539802	0.00371398	0.00789482	0.0177341	0.0726598	0.211195	0.685883
a62	0.000273481	0.000356427	0.00203674	0.00447681	0.0103686	0.0490297	0.183047	0.750411
a88	0.000665061	0.000646028	0.00246331	0.00590967	0.0127238	0.051965	0.183951	0.741676
a9	0.000920336	0.000773136	0.00258266	0.00643419	0.0140253	0.0547676	0.193532	0.726965
a3	0.0412773	0.0274459	0.0282227	0.0461728	0.0595146	0.109211	0.210972	0.477183
a97	0.0656656	0.0372478	0.0355543	0.0735159	0.0909079	0.139529	0.232005	0.325574
a9	0.0591007	0.0350736	0.0503699	0.113265	0.141221	0.149447	0.199459	0.252064
a99	0.0598636	0.0352599	0.0561019	0.1163	0.140688	0.139197	0.190676	0.261913
a97	0.0339166	0.0170032	0.0247465	0.053004	0.0675	0.0912911	0.212152	0.500386
</S>	0.0447792	0.0262664	0.034497	0.0598941	0.0717634	0.0880406	0.196	0.478759
