 	les	ailes	de	l'	oiseau	sont	noires	</S>
a23	0.202178	0.167999	0.204847	0.171165	0.0933173	0.0665338	0.0492558	0.0447036
a30	0.223007	0.133119	0.135663	0.166445	0.129964	0.086161	0.0615619	0.0640808
a57	0.238433	0.11619	0.120724	0.134072	0.115469	0.0903024	0.0857527	0.0990565
a87	0.24104	0.130985	0.135648	0.130483	0.100539	0.0791962	0.0762665	0.105842
a40	0.261398	0.148322	0.120044	0.118744	0.100834	0.081928	0.0800897	0.0886401
a30	0.178825	0.141182	0.132394	0.1267	0.112614	0.107853	0.107095	0.093337
a2	0.511499	0.181478	0.104707	0.0872751	0.0531893	0.0275865	0.0193814	0.0148844
a54	0.350955	0.169968	0.145035	0.126541	0.0812988	0.0492538	0.0404551	0.0364938
a14	0.25033	0.153913	0.159722	0.147252	0.107434	0.069619	0.0576065	0.0541241
a35	0.280181	0.221449	0.19635	0.141684	0.0783154	0.0360374	0.0248889	0.0210953
a26	0.280267	0.205343	0.191565	0.137311	0.0813267	0.0424226	0.0327615	0.0290022
a35	0.24317	0.203756	0.197028	0.148062	0.0950612	0.0472982	0.0338811	0.0317425
a24	0.259919	0.213181	0.20451	0.141576	0.0841994	0.041729	0.0291505	0.0257351
a41	0.195646	0.174559	0.187272	0.144982	0.111641	0.0777059	0.0583047	0.0498889
a35	0.139516	0.169159	0.208325	0.156214	0.115371	0.0819323	0.0651293	0.0643529
a43	0.0926968	0.121822	0.160003	0.133815	0.124991	0.127587	0.119205	0.11988
a26	0.0511341	0.0850211	0.12078	0.109317	0.111888	0.141866	0.165069	0.214925
a41	0.0324428	0.0594495	0.0861894	0.0842445	0.100388	0.144384	0.189108	0.303793
a30	0.0193288	0.0334842	0.0451555	0.0443761	0.0596278	0.120798	0.22203	0.4552
a35	0.0063999	0.0137846	0.0208897	0.0221594	0.0357348	0.104808	0.255111	0.541112
a26	0.00340829	0.00933209	0.0166412	0.0178156	0.0281496	0.0993156	0.248255	0.577083
a83	0.00358537	0.00716436	0.0111076	0.0130921	0.0244824	0.0862244	0.230412	0.623932
a25	0.00276787	0.00566506	0.00851548	0.0105175	0.0202952	0.0707973	0.217423	0.664018
a38	0.00154869	0.00341404	0.0063379	0.00842235	0.0173208	0.0731137	0.228028	0.661814
a24	0.00185304	0.00416677	0.00728934	0.00909416	0.018321	0.0711111	0.218576	0.669589
a9	0.00377639	0.00942071	0.0133817	0.0153621	0.0272537	0.0794939	0.202672	0.64864
a87	0.00681727	0.0127899	0.0159122	0.0194541	0.0349349	0.0852253	0.224753	0.600113
a38	0.00773647	0.0163762	0.0213123	0.0241471	0.0346498	0.0925098	0.242784	0.560484
a24	0.0143125	0.0277117	0.0327818	0.0302422	0.0385232	0.0897623	0.225051	0.541615
a9	0.00757327	0.0179754	0.0228767	0.0250916	0.0366159	0.0963955	0.224858	0.568614
a87	0.00607996	0.0129237	0.0174073	0.0196835	0.0288215	0.0830042	0.230864	0.601216
</S>	0.0226009	0.0418724	0.0504051	0.0460815	0.0565673	0.124185	0.238985	0.419303
