 	la	manière	dont	il	s'	est	plaint	s'	il	ne	mange	pas	dans	les	heures	qui	suivent	il	va	mourir	</S>
a66	0.0433438	0.0271109	0.0233112	0.0247382	0.0519695	0.0753251	0.0702814	0.0765441	0.0704042	0.0647085	0.0648207	0.0670995	0.0939273	0.116196	0.069027	0.0418616	0.0102157	0.0024853	0.00172679	0.00231057	0.00259285
a87	0.237675	0.148982	0.134022	0.108522	0.0804356	0.0488727	0.0222047	0.024306	0.0203931	0.0234838	0.0223321	0.018278	0.0232658	0.03033	0.0132406	0.00781801	0.00315326	0.00434471	0.00658817	0.00993617	0.0118164
a23	0.210211	0.146468	0.110457	0.0978912	0.066147	0.0477333	0.028426	0.0328819	0.0292202	0.0280504	0.0249786	0.0206318	0.0201113	0.0255469	0.0264366	0.025883	0.0127583	0.00941832	0.00912864	0.0131924	0.0144282
a5	0.228603	0.239912	0.188568	0.0903614	0.0452382	0.0246778	0.0183475	0.0165812	0.0142076	0.0152643	0.0126642	0.0106316	0.00867186	0.00564149	0.00492585	0.00343899	0.00328101	0.00570748	0.0125592	0.0201016	0.0306153
a23	0.143793	0.11427	0.102264	0.064461	0.0599475	0.0566947	0.0514066	0.0552023	0.0439448	0.0367176	0.0298312	0.0190113	0.0188599	0.0228692	0.021055	0.0254512	0.0184258	0.0198978	0.024252	0.0321426	0.0395033
a5	0.202805	0.135878	0.127654	0.0712971	0.0686652	0.059169	0.0570923	0.0569671	0.0407197	0.0283936	0.0194565	0.0102262	0.00988379	0.0104933	0.0155275	0.0173652	0.00968668	0.0091051	0.0107192	0.0179629	0.0209326
a12	0.170588	0.182137	0.207427	0.102899	0.077922	0.0521231	0.0471746	0.0369678	0.0194349	0.0114307	0.00553727	0.00284626	0.00360164	0.0041759	0.00704041	0.00735943	0.00552999	0.00585388	0.00829253	0.0189834	0.0226753
a21	0.131588	0.164912	0.190875	0.101657	0.0746954	0.0615382	0.0611209	0.0521234	0.0311209	0.0198221	0.0112588	0.00656932	0.00882365	0.00855796	0.0116333	0.0112071	0.00745796	0.00580785	0.00729077	0.0141173	0.0178227
a41	0.0979935	0.108511	0.140751	0.0812945	0.0700653	0.0711206	0.0852421	0.0754917	0.0488968	0.0313714	0.0173812	0.0107596	0.0141542	0.013274	0.0184662	0.0175958	0.0155561	0.0109883	0.0126084	0.026155	0.0323233
a5	0.0255431	0.0267549	0.0545041	0.0545967	0.073186	0.0818957	0.108818	0.0913988	0.0703874	0.052093	0.0265049	0.0141668	0.0150154	0.0118501	0.0221818	0.0204747	0.0295354	0.0363237	0.0378166	0.0653339	0.0816187
a23	0.0138004	0.0135822	0.0239879	0.0473589	0.0744309	0.0899678	0.113569	0.10525	0.0946012	0.0780824	0.0524007	0.0354865	0.0332524	0.0229606	0.0345999	0.0295956	0.033172	0.0274496	0.0196722	0.0268882	0.0298919
a5	0.00529067	0.00493396	0.00873265	0.0259152	0.0550159	0.0792591	0.122423	0.128919	0.125093	0.100896	0.067756	0.0424283	0.0318709	0.0192364	0.0253752	0.0219502	0.0265079	0.0267853	0.0206254	0.0282999	0.0326855
a21	0.00328561	0.0033592	0.00512125	0.01058	0.026159	0.0477057	0.0870881	0.108083	0.125401	0.116439	0.0899358	0.0598736	0.0509044	0.0291481	0.0342327	0.0331781	0.0470406	0.0308096	0.0230577	0.0321723	0.0364258
a98	0.00250755	0.00233049	0.00316167	0.00633935	0.015992	0.0369026	0.0806469	0.116402	0.142175	0.123879	0.0994924	0.0668727	0.0580948	0.0359893	0.0361337	0.036651	0.0415056	0.0221676	0.0197398	0.0253439	0.0276722
a85	0.00179119	0.00119101	0.0016743	0.00513077	0.019277	0.0526994	0.110997	0.139391	0.151248	0.120705	0.0869406	0.0572066	0.0484346	0.0325383	0.035027	0.0248791	0.0286721	0.022554	0.0171293	0.0193306	0.0231829
a6	0.00127123	0.000904382	0.00121708	0.00298014	0.0107214	0.0330122	0.0840133	0.118688	0.134928	0.108173	0.0858698	0.0616772	0.0597575	0.0454528	0.0461901	0.034197	0.0363789	0.0300912	0.0307388	0.0348424	0.0388958
a85	0.00133	0.00109088	0.00143482	0.00297537	0.00789127	0.0223281	0.0614484	0.100149	0.131237	0.105131	0.0878701	0.0731582	0.0777119	0.0616972	0.0592729	0.0442155	0.0454716	0.0268864	0.0255846	0.0288648	0.0342507
a47	0.00170969	0.00142665	0.00165303	0.00255262	0.00574898	0.0160234	0.0451624	0.0781775	0.111198	0.0994563	0.09126	0.0673853	0.0595177	0.0517666	0.0546759	0.057473	0.0679911	0.0533716	0.0440282	0.0418313	0.0475907
a36	0.00452435	0.00354966	0.00424111	0.00689689	0.0133365	0.0260616	0.0583105	0.0962868	0.137122	0.117257	0.103844	0.0908873	0.0744198	0.0486977	0.0359204	0.0252707	0.0286743	0.0189337	0.0237223	0.035674	0.04637
