 	dieu	est	le	créateur	du	ciel	et	de	la	terre	</S>
a66	0.325401	0.161552	0.119903	0.0833115	0.066047	0.0690555	0.0585939	0.0507051	0.0325976	0.017953	0.0148811
a87	0.176433	0.147848	0.14358	0.118354	0.102681	0.11369	0.071785	0.0519999	0.0317708	0.0209269	0.0209312
a23	0.314319	0.21188	0.133532	0.0787522	0.06049	0.061773	0.0327177	0.0311376	0.0267818	0.0239413	0.0246752
a99	0.409421	0.183325	0.115703	0.0717058	0.0579674	0.0506648	0.0204218	0.0186929	0.0201809	0.0228826	0.0290348
a38	0.343155	0.178294	0.133748	0.0805262	0.0558587	0.0484377	0.0272084	0.0279499	0.0309919	0.034534	0.0392965
a75	0.315813	0.171445	0.13717	0.068482	0.0427194	0.0344738	0.0278721	0.0384125	0.0524228	0.0529604	0.0582287
a6	0.25812	0.198864	0.187514	0.102501	0.0523157	0.0369154	0.0217975	0.0274986	0.0363236	0.037007	0.0411444
a37	0.156525	0.157615	0.170781	0.129622	0.0833942	0.0637435	0.0373089	0.0424377	0.0522375	0.0505256	0.0558099
a98	0.116249	0.136998	0.173415	0.148959	0.11493	0.102813	0.0486392	0.041869	0.0422215	0.036338	0.0375674
a6	0.0865021	0.129047	0.167117	0.140383	0.101786	0.0811486	0.046195	0.0451098	0.055935	0.0655023	0.0812745
a92	0.068761	0.0918125	0.139724	0.163327	0.13279	0.104845	0.0576024	0.047363	0.0529776	0.0617201	0.0790778
a56	0.0842919	0.108346	0.147221	0.155758	0.132585	0.130164	0.0680926	0.0443451	0.0403184	0.0397168	0.0491618
a34	0.058409	0.0731407	0.105293	0.14233	0.142863	0.157537	0.0941861	0.060827	0.0529022	0.0503957	0.062116
a47	0.0302031	0.036672	0.0605874	0.124961	0.154679	0.181838	0.124517	0.0792043	0.0666007	0.0636659	0.0770728
a31	0.017744	0.019835	0.0332763	0.0908422	0.133124	0.1633	0.141861	0.101955	0.0851056	0.0925379	0.120419
a24	0.0124796	0.0113934	0.0158404	0.0477703	0.0899039	0.141567	0.180501	0.159155	0.120862	0.104062	0.116465
a9	0.00887229	0.00858535	0.0117656	0.03718	0.0831379	0.120153	0.15158	0.161769	0.144961	0.132646	0.139351
a53	0.00397934	0.00448428	0.00724964	0.028953	0.0718656	0.103159	0.128199	0.139232	0.153442	0.168484	0.190953
a93	0.00538339	0.00467291	0.00671547	0.022715	0.0455669	0.0684973	0.152898	0.204067	0.206597	0.143105	0.139783
a56	0.00117191	0.00119902	0.00209549	0.00956354	0.021477	0.0343467	0.089357	0.154304	0.223477	0.227225	0.235784
a75	0.000686384	0.000676871	0.00102384	0.00341271	0.00800867	0.0150247	0.0471194	0.102689	0.185987	0.28376	0.351611
a5	0.000254958	0.000268612	0.000436723	0.00188793	0.00412424	0.00613812	0.0260058	0.0700752	0.155088	0.298667	0.437053
a0	0.000252468	0.000211842	0.000294048	0.000871213	0.00204635	0.00349659	0.0140607	0.0477103	0.132436	0.320609	0.478012
a12	0.000278207	0.000293184	0.000393399	0.00125844	0.00325703	0.00559225	0.0196287	0.0694805	0.169391	0.302372	0.428055
a18	0.000288668	0.000320913	0.000453761	0.00123374	0.00241406	0.00408447	0.0130655	0.0516762	0.150754	0.313326	0.462383
a25	0.00287479	0.00299862	0.00315287	0.00627415	0.0107322	0.0140317	0.0389646	0.0964545	0.169257	0.278467	0.376792
a97	0.0206821	0.0173933	0.0149821	0.0209497	0.0319688	0.0376347	0.0692207	0.113961	0.149034	0.221166	0.303007
a87	0.105194	0.0681779	0.0420859	0.0364122	0.042835	0.0480794	0.079896	0.126292	0.137958	0.145906	0.167163
a97	0.103485	0.069279	0.0472262	0.042924	0.0488434	0.0573075	0.0972838	0.14476	0.143997	0.124547	0.120347
a10	0.105154	0.066422	0.0462158	0.0510086	0.0571066	0.0645943	0.0783683	0.109311	0.132715	0.148306	0.140798
a97	0.0609445	0.0447138	0.0335634	0.0371576	0.0417966	0.0490532	0.0652616	0.0985023	0.143575	0.200386	0.225046
a87	0.0553763	0.0445707	0.0386618	0.0594228	0.0675626	0.0688922	0.0643784	0.0851418	0.118183	0.179273	0.218537
a23	0.0558436	0.0526555	0.0450351	0.0574127	0.0626389	0.0658963	0.0668277	0.0882054	0.122087	0.175077	0.208321
a87	0.0203248	0.0195911	0.0174667	0.0236425	0.0303344	0.0358766	0.0494357	0.0868642	0.142761	0.245568	0.328135
a23	0.0253196	0.0197376	0.0150731	0.0211621	0.0286666	0.0343523	0.0472461	0.0769921	0.139749	0.254036	0.337665
</S>	0.041357	0.0376932	0.0289258	0.0337351	0.0386468	0.0442199	0.0625647	0.101026	0.146638	0.213647	0.251547
