 	il	est	borgne	de	naissance	</S>
a23	0.659455	0.131099	0.0247303	0.0227317	0.0567314	0.105253
a85	0.587243	0.18432	0.0580816	0.0632156	0.0427985	0.0643413
a87	0.392215	0.183211	0.101757	0.0936721	0.069462	0.159683
a23	0.556987	0.222958	0.0617546	0.048641	0.0319599	0.0776995
a13	0.477823	0.19193	0.0905931	0.0741762	0.0490759	0.116402
a20	0.472071	0.224316	0.10889	0.0707161	0.0525886	0.0714178
a73	0.477025	0.279643	0.16224	0.0475724	0.0184968	0.0150219
a26	0.410595	0.313561	0.173439	0.0635924	0.023607	0.0152052
a24	0.329293	0.276179	0.191143	0.122278	0.0495943	0.031512
a66	0.230122	0.208738	0.19596	0.181022	0.114807	0.0693511
a38	0.177246	0.189629	0.22254	0.213441	0.121805	0.0753398
a26	0.172455	0.186627	0.216144	0.211062	0.130306	0.0834067
a0	0.133268	0.152285	0.197016	0.212365	0.173679	0.131388
a24	0.0806374	0.101116	0.159419	0.207887	0.228824	0.222116
a62	0.0660255	0.0853152	0.151337	0.191198	0.24149	0.264635
a31	0.0638945	0.0809112	0.135454	0.164384	0.221567	0.333789
a96	0.0388788	0.0472553	0.107559	0.151012	0.235072	0.420224
a94	0.0137098	0.0155976	0.0484635	0.114654	0.247108	0.560467
a90	0.00590179	0.00687747	0.0219895	0.0806041	0.25411	0.630517
a76	0.00275344	0.00453528	0.0217533	0.109455	0.306784	0.554719
a20	0.00344302	0.00727376	0.0318923	0.12114	0.328309	0.507942
a84	0.00457226	0.00801645	0.0335384	0.102835	0.322158	0.528879
a87	0.00139997	0.00200696	0.00884215	0.0447665	0.227042	0.715943
</S>	0.00912069	0.00969215	0.0172791	0.0446587	0.276161	0.643088
