 	le	chef	de	notre	village	a	une	tête	chauve	</S>
a66	0.120582	0.113587	0.103191	0.114339	0.135827	0.147196	0.173312	0.0646775	0.0191205	0.00816956
a87	0.328813	0.233227	0.149769	0.0825483	0.0409939	0.0498192	0.0589296	0.0367107	0.0128813	0.00630813
a23	0.216876	0.224405	0.153541	0.0882026	0.076829	0.08362	0.0748616	0.0566957	0.0157622	0.00920634
a30	0.23957	0.259317	0.157743	0.0768618	0.055806	0.0538896	0.0433367	0.0403833	0.0290398	0.0440527
a13	0.201771	0.22071	0.154655	0.100751	0.0827863	0.0861699	0.0667813	0.0431412	0.0211785	0.0220565
a53	0.141525	0.186034	0.118023	0.0948555	0.0876345	0.0840123	0.10541	0.112218	0.0479675	0.0223215
a93	0.153802	0.202446	0.145178	0.140041	0.0883552	0.0735901	0.0738148	0.0813842	0.0326621	0.00872665
a75	0.107964	0.149076	0.136917	0.140426	0.0850031	0.0813804	0.0813599	0.110779	0.0847693	0.0223254
a79	0.0975801	0.117485	0.115825	0.120756	0.0763752	0.0780512	0.0982932	0.155713	0.106248	0.0336726
a7	0.101462	0.127954	0.136007	0.149222	0.0947249	0.0848184	0.085384	0.102892	0.0732234	0.0443112
a15	0.0980996	0.121226	0.127992	0.143007	0.10235	0.0921303	0.0750253	0.0629158	0.0844421	0.0928129
a79	0.0780442	0.0874402	0.102383	0.128749	0.120294	0.111614	0.106979	0.0864577	0.104148	0.0738908
a56	0.0980017	0.092613	0.0997074	0.123549	0.132713	0.114686	0.0924806	0.0580014	0.0945355	0.0937118
a75	0.0779065	0.0540368	0.0648201	0.0900337	0.122395	0.111217	0.0929992	0.064915	0.137468	0.184209
a5	0.0264979	0.0160877	0.0220357	0.0356147	0.0770292	0.078818	0.0802251	0.0782683	0.317289	0.268135
a12	0.0330969	0.0179762	0.0224439	0.0323168	0.0817421	0.0880208	0.105412	0.113859	0.244977	0.260156
a47	0.0114684	0.00847952	0.0091878	0.0109133	0.0205335	0.0232842	0.0325733	0.0478574	0.287864	0.547839
a62	0.0166575	0.0119714	0.0121994	0.0123213	0.0207752	0.0222023	0.0301323	0.0599381	0.293617	0.520185
a88	0.00571658	0.00438673	0.00425922	0.00436429	0.00679045	0.00702517	0.0102278	0.0300475	0.317634	0.609549
a75	0.00208883	0.00161482	0.00164006	0.00151641	0.00255409	0.00289475	0.00425771	0.0169742	0.206993	0.759466
a21	0.000280046	0.000228678	0.000223144	0.000223823	0.000404354	0.000481004	0.000838658	0.00419808	0.124947	0.868175
a12	0.00110648	0.000945371	0.000814818	0.00070015	0.00111454	0.00120148	0.00179349	0.0077943	0.0964841	0.888045
a96	0.000912594	0.000735442	0.000642488	0.000508451	0.000877443	0.00100006	0.0015443	0.00748389	0.115046	0.871249
a12	0.000910002	0.000621727	0.000622119	0.000545051	0.000878462	0.00145753	0.0034035	0.0189068	0.154721	0.817934
a18	0.00089157	0.000611355	0.000582842	0.000512369	0.000996145	0.00147774	0.00349352	0.0182039	0.178782	0.794449
a71	0.000952381	0.000594702	0.000487347	0.000415325	0.000928538	0.00228285	0.00756955	0.0430462	0.210507	0.733216
a38	0.00530407	0.00353313	0.00289776	0.003101	0.00864892	0.0140476	0.0318279	0.0873261	0.222593	0.62072
a10	0.00763844	0.00508069	0.00391671	0.00360265	0.00773999	0.0131899	0.0302604	0.0843881	0.236939	0.607244
a87	0.145503	0.0900809	0.0537834	0.0399155	0.0589392	0.0729979	0.0944956	0.110948	0.117508	0.215827
a23	0.21035	0.161667	0.114851	0.0863375	0.0974361	0.0916562	0.0829534	0.0746675	0.0354834	0.044599
a99	0.0713938	0.0531688	0.0308265	0.0148037	0.0139732	0.0122831	0.0126364	0.0281288	0.112387	0.650399
a87	0.03465	0.0251583	0.0144378	0.00722849	0.00774861	0.0073778	0.00885261	0.0190563	0.128301	0.747189
</S>	0.00529528	0.0040484	0.00254057	0.00128869	0.00153087	0.00159124	0.00236761	0.0100313	0.13755	0.833756
