 	les	foudres	s'	abattent	sur	le	village	</S>
a66	0.408991	0.309755	0.058228	0.0525898	0.0676841	0.0513484	0.0315925	0.0198109
a87	0.383267	0.155566	0.119704	0.0861376	0.070994	0.0592174	0.0587819	0.0663323
a23	0.433657	0.426142	0.0777319	0.0142891	0.0104142	0.00996921	0.0121064	0.0156894
a83	0.295024	0.463055	0.0936161	0.0427266	0.0302381	0.0246873	0.0226236	0.0280287
a34	0.316567	0.464142	0.0646709	0.0359036	0.0224417	0.025683	0.0281235	0.0424684
a21	0.282436	0.419802	0.166059	0.0664105	0.0240085	0.0167253	0.0118588	0.0126995
a12	0.195575	0.283608	0.307307	0.123165	0.0398766	0.0238915	0.013701	0.0128761
a21	0.175729	0.20449	0.341071	0.166368	0.0508255	0.0292821	0.0168284	0.0154054
a12	0.151906	0.185712	0.273355	0.188775	0.0842815	0.0560247	0.0334665	0.0264792
a18	0.125375	0.165987	0.258833	0.205245	0.0984764	0.0649273	0.042358	0.0387988
a94	0.0321811	0.0533568	0.109658	0.24811	0.184683	0.132735	0.108812	0.130463
a90	0.0316645	0.0550181	0.133695	0.225207	0.186627	0.14715	0.111104	0.109536
a56	0.0250299	0.0343714	0.0635706	0.154359	0.196282	0.199293	0.168646	0.158448
a75	0.0173508	0.0176265	0.0274113	0.0933436	0.190701	0.23449	0.219951	0.199126
a5	0.00239719	0.00262469	0.00651247	0.0452931	0.146012	0.220498	0.272475	0.304188
a75	0.00398938	0.00340146	0.00495434	0.0235383	0.122132	0.23527	0.296272	0.310443
a98	0.000502924	0.000559162	0.00191025	0.0221151	0.116338	0.22773	0.305895	0.324949
a15	0.000314349	0.000363772	0.00161066	0.0206725	0.0912362	0.181684	0.3084	0.395719
a7	0.000162942	0.000168956	0.000991992	0.0173099	0.082783	0.186445	0.320876	0.391262
a44	0.000118308	9.42281e-05	0.000368347	0.00282568	0.0238387	0.096032	0.292648	0.584075
a4	0.000254669	0.000155705	0.000632234	0.00279647	0.0178999	0.0814285	0.303345	0.593488
a57	0.000434539	0.000231733	0.000964631	0.00320584	0.0156671	0.067991	0.295518	0.615987
a3	0.00189933	0.00101118	0.00204153	0.005653	0.020408	0.0762828	0.308954	0.58375
a87	0.103178	0.0610538	0.0272926	0.0342156	0.0751692	0.132871	0.237695	0.328525
a23	0.296275	0.179982	0.0805641	0.0394638	0.0651787	0.0881027	0.121251	0.129183
a87	0.032637	0.0207797	0.0150617	0.0119173	0.0380819	0.11246	0.32146	0.447602
</S>	0.00567822	0.00449475	0.00516012	0.00794465	0.0376631	0.115272	0.315864	0.507923
