 	j'	observe	comment	nagent	les	poissons	dans	l'	eau	</S>
a66	0.162838	0.193356	0.173261	0.147846	0.126333	0.0825043	0.0482249	0.0259263	0.020408	0.0193026
a87	0.223643	0.179731	0.117009	0.0779356	0.0631948	0.0534961	0.055522	0.0622873	0.0753879	0.0917937
a23	0.500003	0.337449	0.0501182	0.0202702	0.0148671	0.013453	0.0124196	0.0109352	0.0159676	0.0245175
a87	0.39127	0.370401	0.0441031	0.0267748	0.015268	0.0144778	0.0214462	0.0219095	0.035617	0.0587325
a23	0.396927	0.365023	0.0373477	0.0210209	0.0199783	0.0199352	0.0278592	0.0259549	0.0348513	0.0511025
a38	0.225605	0.184246	0.0393546	0.0402671	0.0390913	0.0395093	0.0628033	0.0778668	0.120673	0.170583
a54	0.151924	0.128551	0.0430293	0.0386781	0.0415279	0.0511786	0.0917571	0.101336	0.164107	0.18791
a6	0.143176	0.137772	0.0829038	0.0687831	0.0541863	0.0604908	0.0954871	0.0882576	0.136177	0.132767
a5	0.104223	0.127763	0.0829051	0.0673059	0.0530306	0.0684747	0.108825	0.111135	0.14325	0.133089
a61	0.0898256	0.19257	0.135937	0.11378	0.0783249	0.0814915	0.0815427	0.070555	0.0788116	0.0771621
a0	0.10296	0.230635	0.157008	0.126065	0.0789378	0.0738508	0.067118	0.0492327	0.0558327	0.0583599
a54	0.109692	0.216187	0.178165	0.121111	0.0716302	0.0663736	0.0623497	0.0496981	0.0585698	0.066224
a37	0.0714811	0.179359	0.138689	0.131644	0.0885276	0.0973678	0.0804996	0.0609376	0.0706253	0.0808692
a96	0.0862029	0.212885	0.147701	0.139074	0.0877713	0.0850175	0.0628134	0.0482882	0.0582918	0.0719549
a44	0.0786079	0.198098	0.16262	0.158777	0.0997824	0.0852491	0.0568707	0.0431508	0.0517681	0.0650768
a79	0.0569447	0.161733	0.165256	0.165276	0.10937	0.100161	0.0643883	0.0486192	0.0562496	0.0720027
a37	0.0354409	0.113988	0.1497	0.166053	0.103472	0.101012	0.0721011	0.0605815	0.0813934	0.116258
a70	0.0333664	0.0926075	0.157401	0.187954	0.123133	0.113332	0.0711591	0.0554502	0.0698468	0.0957504
a66	0.0334809	0.0729224	0.144894	0.187313	0.12208	0.116084	0.0741766	0.0613654	0.0809593	0.106724
a47	0.0184987	0.0400549	0.13256	0.20957	0.119096	0.105046	0.0652291	0.0585046	0.100738	0.150702
a61	0.0160651	0.030376	0.108303	0.18254	0.110081	0.111771	0.0743012	0.0692168	0.11759	0.179755
a83	0.015222	0.0381361	0.0954083	0.168965	0.121143	0.15169	0.104839	0.089251	0.097888	0.117458
a62	0.00998155	0.0204825	0.058248	0.122851	0.0960099	0.1427	0.113316	0.116782	0.136565	0.183063
a21	0.00845452	0.0162131	0.0466585	0.09276	0.0682327	0.105893	0.0984544	0.130059	0.180206	0.253068
a61	0.00685285	0.0154332	0.0386975	0.0796806	0.0616833	0.102632	0.0986591	0.151747	0.200182	0.244432
a96	0.0042019	0.00990989	0.0279977	0.0555483	0.0429292	0.0794137	0.0876867	0.167385	0.234548	0.29038
a66	0.00231596	0.00461867	0.0118924	0.0259261	0.0210327	0.0464933	0.0583868	0.164795	0.287414	0.377126
a54	0.00134837	0.002015	0.00699343	0.0146571	0.0121059	0.0280943	0.041281	0.144987	0.282163	0.466355
a47	0.000932089	0.00138718	0.00521142	0.0118058	0.0097589	0.0249171	0.0432224	0.142651	0.301751	0.458364
a36	0.00198607	0.00216586	0.00644768	0.0145114	0.00982825	0.0209159	0.040219	0.134785	0.297933	0.471208
a11	0.00180097	0.0010421	0.00230591	0.0069503	0.00677417	0.0172231	0.0309922	0.0990629	0.241025	0.592823
a61	0.00140278	0.00083666	0.00326853	0.00751646	0.0097127	0.022777	0.0404066	0.121763	0.235515	0.556801
a0	0.00141847	0.00093101	0.00326681	0.00687818	0.00779714	0.0177824	0.0319874	0.1147	0.244789	0.570449
a75	0.00218277	0.00144565	0.00521739	0.00856241	0.00918084	0.0179741	0.0357695	0.115434	0.237337	0.566896
a6	0.00167688	0.00204689	0.00616266	0.0125415	0.0118003	0.0287292	0.0552392	0.158656	0.281097	0.44205
a37	0.0004511	0.000549314	0.00164194	0.00434456	0.00373681	0.00986035	0.0212851	0.0932586	0.277381	0.587492
a54	0.000917212	0.000725872	0.00258183	0.00526926	0.00578969	0.0133704	0.0263951	0.0962126	0.239335	0.609402
a36	0.000481969	0.000405524	0.00107254	0.00344034	0.00368155	0.0103217	0.0221763	0.0957699	0.261035	0.601615
a2	0.00466609	0.00226631	0.00626845	0.0106109	0.0132583	0.020727	0.0451199	0.132815	0.256769	0.507499
a57	0.0737067	0.0297647	0.0380175	0.0556052	0.0680466	0.0785797	0.102306	0.140114	0.166778	0.247082
a87	0.200782	0.0894317	0.0603082	0.069739	0.0577758	0.0552324	0.0649169	0.0869901	0.119214	0.195609
a23	0.166555	0.0673886	0.0417942	0.0440291	0.0425664	0.0514192	0.0670493	0.106903	0.154985	0.25731
a87	0.186966	0.0899536	0.0641342	0.0619773	0.0408635	0.0395733	0.0665239	0.0872345	0.146757	0.216016
</S>	0.0329903	0.0209885	0.0251823	0.0238098	0.016209	0.0210355	0.0477037	0.0984796	0.255098	0.458503
