 	celui	qui	a	grillé	ces	poissons	n'	a	pas	mis	du	sel	</S>
a66	0.313762	0.195471	0.123363	0.0778297	0.045644	0.0329255	0.0415573	0.0440775	0.0374041	0.0246331	0.0206642	0.0204589	0.0222089
a87	0.313978	0.142377	0.0925401	0.06003	0.0649205	0.0670494	0.0646546	0.0463939	0.0323506	0.023803	0.0273525	0.026872	0.0376785
a23	0.344432	0.205059	0.138669	0.111494	0.0623811	0.0329821	0.0258424	0.0186985	0.0143534	0.0104885	0.0100693	0.00965504	0.0158752
a79	0.22958	0.141937	0.0959264	0.0862953	0.0990139	0.0712124	0.0627822	0.0438033	0.0330222	0.0264895	0.0277031	0.0310307	0.0512045
a69	0.198669	0.12648	0.113943	0.123351	0.0860363	0.0566582	0.052549	0.0450508	0.0340305	0.0281747	0.0290682	0.0413331	0.0646572
a58	0.272894	0.200646	0.152652	0.135002	0.0713781	0.0402073	0.0306457	0.0220457	0.0153659	0.0129445	0.0127281	0.0146919	0.018799
a40	0.136423	0.167322	0.179338	0.208582	0.122445	0.055236	0.0289053	0.0168249	0.0123884	0.0131967	0.0153023	0.0191213	0.0249159
a47	0.107577	0.129927	0.161032	0.215348	0.139009	0.0704948	0.0405925	0.027909	0.0195726	0.0176645	0.0180508	0.0226546	0.0301688
a6	0.0497127	0.0852312	0.147523	0.218146	0.167121	0.111233	0.0630728	0.0373593	0.0230254	0.0176754	0.0163678	0.0261138	0.0374176
a21	0.0647854	0.0861008	0.13828	0.225655	0.165305	0.113671	0.063894	0.0375729	0.0230146	0.0170336	0.0143982	0.0222523	0.0280371
a75	0.0662189	0.0775949	0.129272	0.185047	0.153151	0.134215	0.0848113	0.0494519	0.0320828	0.021454	0.0161737	0.0234654	0.027063
a85	0.0244651	0.0316817	0.0755999	0.132383	0.133494	0.154459	0.123802	0.0888419	0.0659014	0.0488583	0.0338518	0.0424027	0.0442588
a6	0.0186647	0.0292206	0.0760173	0.102516	0.0935738	0.0935106	0.0856721	0.080967	0.0771388	0.0768154	0.0757975	0.0982261	0.0918804
a0	0.0255282	0.0290518	0.0621205	0.0984964	0.121888	0.151355	0.135927	0.0988988	0.0729834	0.0538874	0.0409474	0.0499769	0.05894
a56	0.00836763	0.00892832	0.0164542	0.0272131	0.0639213	0.110164	0.171085	0.163349	0.127952	0.0829761	0.0590204	0.0738661	0.0867036
a94	0.00688478	0.00662813	0.00968548	0.0159614	0.0406443	0.0793426	0.146334	0.176964	0.157052	0.10939	0.0738983	0.0852572	0.0919571
a98	0.00524809	0.00470467	0.00657621	0.0131074	0.0367788	0.0757676	0.139489	0.181976	0.174364	0.116177	0.0726352	0.0808302	0.0923455
a47	0.00221314	0.00216705	0.00435916	0.0107336	0.0316604	0.0564087	0.09987	0.14371	0.156901	0.134478	0.102766	0.118896	0.135836
a36	0.00259739	0.00233814	0.0040234	0.00833729	0.0269262	0.043916	0.0798532	0.123991	0.153095	0.132784	0.0935522	0.124365	0.204222
a2	0.0091936	0.00750427	0.00881487	0.0146511	0.0356822	0.0537603	0.0801227	0.107956	0.137956	0.12762	0.0869117	0.119407	0.210419
a57	0.0557167	0.0478221	0.0466325	0.0650977	0.0817395	0.0780495	0.0961109	0.101809	0.104865	0.0793976	0.0588628	0.0734047	0.110492
a40	0.0696261	0.0647778	0.0649378	0.0801901	0.0768875	0.0727931	0.0830503	0.10074	0.111127	0.0791308	0.0562049	0.0568925	0.0836425
a47	0.00661184	0.00532882	0.00675682	0.0100425	0.0189816	0.0343848	0.0435616	0.0546327	0.0687328	0.0863131	0.110918	0.22108	0.332655
a37	0.00143717	0.00112574	0.00143822	0.00266853	0.0068802	0.0160019	0.0264946	0.0432833	0.0760381	0.118264	0.133523	0.220606	0.352239
a90	0.00275117	0.00211222	0.00256355	0.0041326	0.00936478	0.0182766	0.0297288	0.0445572	0.0715365	0.111522	0.146193	0.240429	0.316833
a69	0.000959809	0.000704027	0.00106867	0.00206913	0.00551289	0.011246	0.0163655	0.0246262	0.041563	0.0749841	0.124725	0.274626	0.42155
a58	0.00158029	0.00103515	0.00154372	0.00305231	0.0086341	0.0188693	0.0272016	0.0359757	0.0530035	0.0823364	0.12452	0.264311	0.377937
a90	0.00446062	0.00304202	0.00317855	0.00500977	0.00817642	0.0141848	0.0199806	0.0247352	0.0332923	0.0575821	0.11524	0.290855	0.420263
a15	0.00138178	0.00088677	0.00109668	0.0016873	0.0034345	0.00774342	0.0119994	0.0184755	0.0310956	0.0565224	0.110003	0.291955	0.463718
a69	0.000331838	0.000230334	0.000404444	0.000787642	0.00237187	0.00456972	0.00640369	0.0100717	0.0178731	0.0379604	0.0913347	0.301591	0.52607
a54	0.000312038	0.000233712	0.000437248	0.00104167	0.00317867	0.00719744	0.0117696	0.0166176	0.0259515	0.045961	0.0884344	0.288431	0.510434
a47	0.000308627	0.00024842	0.000423939	0.000830932	0.00217967	0.0048098	0.00755281	0.0108571	0.0165755	0.0319884	0.0822676	0.315939	0.526018
a6	0.000545036	0.000424038	0.000731686	0.00150728	0.00334161	0.00690151	0.0104103	0.0137872	0.019052	0.0397885	0.102927	0.319593	0.480991
a36	0.000614068	0.000501628	0.00076422	0.00124425	0.00197803	0.00343215	0.00555664	0.0100537	0.0189375	0.0475096	0.126957	0.333321	0.44913
a26	0.00174153	0.00186616	0.00311968	0.00587723	0.00854007	0.0122475	0.0149576	0.0193674	0.0273122	0.0566423	0.133833	0.323333	0.391162
a36	0.00736539	0.00677128	0.0111637	0.0231442	0.0334136	0.0433478	0.0423136	0.0473742	0.0538278	0.0868789	0.140781	0.234079	0.269539
a2	0.0107361	0.00897807	0.0145472	0.0262543	0.0392427	0.0551908	0.0520759	0.0556712	0.0588805	0.0841239	0.132958	0.219338	0.242003
