 	il	est	arrivé	aussitôt	après	ton	départ	</S>
a23	0.197496	0.132822	0.126837	0.162081	0.111914	0.111244	0.0867661	0.0708412
a87	0.108457	0.0993659	0.117708	0.16895	0.111807	0.0931291	0.0993456	0.201237
a23	0.0908813	0.10443	0.133841	0.171029	0.135096	0.103593	0.105412	0.155718
a90	0.0741035	0.0874044	0.119734	0.202486	0.173771	0.119889	0.0921461	0.130466
a76	0.210855	0.205524	0.2253	0.258195	0.0664561	0.0208957	0.00899251	0.00378204
a90	0.177858	0.194562	0.209085	0.316964	0.0630724	0.0235356	0.0109642	0.00395954
a76	0.18736	0.188662	0.193387	0.262004	0.0977219	0.0405148	0.0209687	0.00938206
a69	0.147786	0.177715	0.189882	0.252644	0.117076	0.0620752	0.0375494	0.0152717
a58	0.14539	0.1635	0.17852	0.249334	0.128365	0.0721772	0.0432945	0.0194192
a75	0.086891	0.106673	0.127423	0.209744	0.164363	0.133214	0.109452	0.0622399
a41	0.096872	0.113977	0.131049	0.18296	0.158549	0.123241	0.119347	0.0740047
a94	0.101018	0.110172	0.119145	0.16396	0.15751	0.137824	0.124284	0.086087
a90	0.0909642	0.08773	0.0864515	0.108653	0.16782	0.181742	0.171215	0.105424
a76	0.121647	0.109966	0.0931441	0.099445	0.14436	0.158144	0.173505	0.0997891
a94	0.0757218	0.0668698	0.0630784	0.0782757	0.118891	0.181715	0.211048	0.204401
a58	0.0552514	0.0523022	0.0530851	0.0772756	0.135779	0.222955	0.256408	0.146944
a82	0.0432793	0.041321	0.0445515	0.0675166	0.112541	0.191917	0.288001	0.210873
a10	0.0322826	0.0318784	0.0304905	0.0473517	0.104696	0.177059	0.258335	0.317906
a87	0.0379145	0.0344366	0.0322773	0.0549292	0.0963281	0.149434	0.226206	0.368474
a79	0.0224189	0.020803	0.0228219	0.0437043	0.070492	0.0870299	0.199378	0.533352
a90	0.0115323	0.0111748	0.0145797	0.0227364	0.0570892	0.0860762	0.200884	0.595927
a57	0.0591768	0.0654513	0.0658026	0.104733	0.102243	0.128688	0.180617	0.293289
a11	0.00823418	0.00910449	0.00897119	0.0201081	0.0545764	0.0937956	0.234235	0.570975
a90	0.00750911	0.00723037	0.00713237	0.0143331	0.0328667	0.0582801	0.186039	0.686609
a75	0.0160463	0.0164032	0.0157689	0.0330507	0.0556604	0.0987903	0.227031	0.537249
a73	0.010733	0.0108259	0.0113641	0.0267229	0.0534445	0.0978428	0.189141	0.599926
a44	0.00721716	0.00773209	0.00772286	0.0190301	0.052499	0.0941549	0.190477	0.621167
a40	0.00546934	0.00578775	0.00563512	0.0143845	0.0341751	0.0657651	0.140907	0.727876
a98	0.0198194	0.019592	0.0198602	0.0416082	0.0995924	0.142146	0.170989	0.486393
a73	0.00670662	0.00730256	0.00851909	0.0244769	0.0674157	0.10601	0.162656	0.616913
a15	0.00625737	0.00740688	0.00756835	0.0177606	0.0558462	0.0864283	0.14845	0.670282
a20	0.00728375	0.00741904	0.0070091	0.0134486	0.0549821	0.092334	0.17745	0.640073
a84	0.00590613	0.00616059	0.00612881	0.0119901	0.0427871	0.071887	0.140988	0.714152
a11	0.00648327	0.00742455	0.0085766	0.0175729	0.0444668	0.0577529	0.148548	0.709175
a24	0.00771989	0.00724109	0.00926862	0.0221659	0.0601859	0.0669158	0.134079	0.692424
a71	0.0182676	0.0162809	0.0170209	0.0339317	0.0865932	0.0965363	0.144957	0.586413
a25	0.00704056	0.00657495	0.00748703	0.0194642	0.0596411	0.0724068	0.129895	0.69749
a87	0.004604	0.00446862	0.0051074	0.0125079	0.0418876	0.0543025	0.105327	0.771794
a23	0.00810997	0.00885467	0.00924633	0.0133292	0.0442585	0.0462244	0.130526	0.739451
a87	0.0504372	0.0409442	0.0389926	0.0426335	0.0754983	0.0629396	0.17299	0.515564
</S>	0.0152335	0.0145152	0.0163628	0.0245117	0.0749752	0.0831476	0.197886	0.573368
