 	jésus	était	venu	pour	sauver	tout	le	monde	</S>
a10	0.166024	0.190986	0.206772	0.205954	0.109106	0.0526557	0.0287977	0.0192977	0.0204083
a87	0.180073	0.183796	0.140509	0.115706	0.102251	0.0751851	0.0692552	0.0651493	0.0680749
a23	0.402066	0.220381	0.114785	0.0709921	0.0482529	0.0275328	0.0287729	0.0361708	0.0510473
a87	0.395798	0.240406	0.155937	0.0831109	0.0425738	0.0190176	0.0194877	0.0185499	0.0251196
a23	0.379678	0.224926	0.148512	0.0833391	0.0482373	0.0261568	0.0286014	0.0260342	0.0345146
a83	0.44538	0.17789	0.111153	0.0620118	0.0349385	0.0257881	0.0383727	0.0414448	0.063021
a50	0.577358	0.131284	0.0796464	0.0560424	0.0342312	0.0245053	0.0284675	0.0304649	0.0380001
a62	0.668834	0.1443	0.074604	0.0426877	0.0259784	0.0120299	0.0102071	0.00992117	0.0114375
a47	0.504925	0.169697	0.107326	0.0708561	0.0465685	0.0245415	0.021274	0.0230826	0.0317286
a0	0.336114	0.180634	0.145205	0.103686	0.0659216	0.0346154	0.0331017	0.0396294	0.0610936
a75	0.346052	0.185633	0.149049	0.107539	0.0674015	0.034237	0.0289544	0.0328065	0.0483271
a5	0.301605	0.190612	0.17925	0.137927	0.0705369	0.0275031	0.0198395	0.0286536	0.0440738
a61	0.25382	0.213577	0.193151	0.150201	0.0786232	0.0297094	0.0197282	0.0248661	0.0363244
a31	0.222134	0.248579	0.20836	0.15121	0.0811811	0.0286343	0.0172555	0.0184729	0.0241741
a96	0.0980267	0.207674	0.209316	0.189066	0.134558	0.0545595	0.0311265	0.0328898	0.0427845
a90	0.0890269	0.183407	0.199852	0.19414	0.148855	0.0646243	0.0348319	0.0373342	0.0479287
a56	0.0573632	0.161049	0.193973	0.197512	0.158061	0.0773582	0.0423636	0.0478224	0.0644982
a61	0.0646731	0.132195	0.154998	0.166645	0.145868	0.0951308	0.0579269	0.076235	0.106328
a0	0.0856375	0.135668	0.154391	0.176069	0.174147	0.0992065	0.0502274	0.0551055	0.0695486
a75	0.0467295	0.103943	0.135159	0.156108	0.163015	0.117966	0.0772945	0.0831328	0.116653
a85	0.0710148	0.0865408	0.0930558	0.0993851	0.0987092	0.0860237	0.0805095	0.147725	0.237036
a36	0.0558695	0.0745053	0.0820265	0.0945093	0.10039	0.0948503	0.0910598	0.16864	0.238149
a98	0.0791216	0.102071	0.101212	0.0832017	0.0745116	0.0873391	0.0879185	0.135745	0.248879
a85	0.065057	0.065806	0.0642978	0.0717276	0.0752784	0.0824257	0.0813021	0.176072	0.318033
a75	0.0607473	0.0605439	0.0581217	0.0685236	0.071638	0.0851877	0.0894294	0.192111	0.313697
a85	0.0945463	0.0710019	0.0655549	0.0678375	0.0602515	0.0676986	0.0730032	0.169889	0.330217
a27	0.0726822	0.0516186	0.0474581	0.0525041	0.0462598	0.0640587	0.0936813	0.216826	0.354911
a11	0.0229386	0.0332458	0.0301174	0.021931	0.0184361	0.0292097	0.0779228	0.23176	0.534439
a13	0.0303319	0.0314949	0.0258849	0.0183052	0.0151331	0.023288	0.0611279	0.195363	0.599071
a82	0.0136095	0.0236214	0.0228612	0.0187363	0.0162523	0.0283049	0.0739655	0.226683	0.575966
a87	0.0355415	0.046138	0.0408889	0.0337744	0.0254657	0.0308909	0.0639461	0.195931	0.527424
a23	0.0918394	0.10312	0.101453	0.0980014	0.0726675	0.0719396	0.102427	0.148936	0.209617
a87	0.0307403	0.0544432	0.0525556	0.0602127	0.055264	0.0796958	0.143991	0.241649	0.281448
a23	0.0175607	0.0417245	0.0376526	0.0403421	0.0365349	0.0694964	0.155567	0.309067	0.292054
a87	0.0145062	0.0364142	0.0324362	0.0365302	0.0378235	0.0723274	0.152556	0.293229	0.324178
</S>	0.0215164	0.0369025	0.0299867	0.0287325	0.0235497	0.0526745	0.135515	0.315373	0.35575
