 	la	bouteille	d'	eau	s'	est	cassée	</S>
a66	0.231653	0.25775	0.176101	0.13051	0.08622	0.0564034	0.0408175	0.020545
a87	0.330742	0.274602	0.177037	0.0945357	0.0551321	0.0370791	0.0215705	0.00930233
a23	0.266564	0.198551	0.205326	0.141906	0.0888255	0.0568618	0.0281231	0.0138436
a20	0.239491	0.160865	0.166634	0.121207	0.0931326	0.0867693	0.0846647	0.0472364
a44	0.362608	0.266166	0.163541	0.0823737	0.0446671	0.0299759	0.0257808	0.0248884
a98	0.195119	0.181601	0.184824	0.129845	0.0991088	0.0840972	0.0830208	0.0423845
a47	0.142595	0.138766	0.17272	0.152146	0.134194	0.109332	0.0974042	0.0528425
a36	0.0647703	0.0934966	0.130169	0.134939	0.139668	0.14573	0.156574	0.134653
a54	0.0865023	0.10477	0.12566	0.125685	0.127798	0.1301	0.145627	0.153858
a85	0.0666877	0.0766617	0.105898	0.118506	0.144875	0.155168	0.165974	0.16623
a47	0.0799915	0.0887929	0.129838	0.129803	0.157897	0.145764	0.126899	0.141014
a79	0.0393108	0.052657	0.0824496	0.108024	0.156874	0.184976	0.179282	0.196426
a44	0.0310907	0.0341456	0.0516473	0.0768227	0.128494	0.171253	0.193229	0.313318
a70	0.0214938	0.0197576	0.0288642	0.047163	0.107117	0.17544	0.227296	0.372869
a88	0.00952664	0.0103576	0.0150972	0.0224005	0.0506275	0.117438	0.230701	0.543852
a71	0.00325452	0.00426773	0.00727977	0.0117165	0.0224834	0.0618476	0.219307	0.669843
a30	0.00963466	0.016019	0.0269582	0.0425438	0.0599599	0.114614	0.171285	0.558985
a4	0.0470515	0.0576777	0.0850674	0.10404	0.102416	0.129118	0.119267	0.355363
a57	0.00178926	0.00308585	0.00789145	0.0146875	0.0250055	0.0579055	0.195593	0.694042
a38	0.00362463	0.00639398	0.0121569	0.0200414	0.0313586	0.068815	0.140562	0.717047
a82	0.00738751	0.0116524	0.0211704	0.0338548	0.0466266	0.0888712	0.133071	0.657366
a87	0.112789	0.0945048	0.108832	0.109876	0.0964738	0.110643	0.0917287	0.275152
a23	0.212344	0.170386	0.158643	0.140829	0.10956	0.0963647	0.0580608	0.0538119
a87	0.118602	0.0813248	0.111274	0.122427	0.130829	0.1406	0.121575	0.173366
</S>	0.0177621	0.0180247	0.0449748	0.0736819	0.117753	0.190118	0.191139	0.346546
