 	il	a	toujours	été	avare	</S>
a87	0.403084	0.214223	0.136753	0.102926	0.08147	0.0615438
a23	0.417268	0.231087	0.108966	0.0910711	0.070885	0.0807228
a79	0.369952	0.284315	0.152051	0.0948294	0.0469118	0.0519402
a20	0.494803	0.256644	0.111702	0.0585086	0.0458226	0.0325197
a73	0.472628	0.293937	0.143157	0.0607521	0.0214158	0.00811049
a44	0.318958	0.275274	0.211802	0.135492	0.046133	0.01234
a58	0.246219	0.250186	0.222744	0.172578	0.0804056	0.0278669
a11	0.201846	0.230781	0.240789	0.202218	0.0894283	0.0349386
a56	0.204223	0.226472	0.234416	0.201525	0.093329	0.0400359
a32	0.163223	0.195249	0.229721	0.188931	0.131432	0.0914439
a25	0.150662	0.163986	0.211384	0.20756	0.16311	0.103298
a10	0.129805	0.157477	0.251055	0.25602	0.153391	0.0522518
a75	0.118072	0.131406	0.208294	0.25086	0.209424	0.081945
a41	0.137594	0.147181	0.187361	0.207314	0.190575	0.129975
a56	0.113119	0.117521	0.163201	0.182198	0.236348	0.187613
a54	0.113727	0.10671	0.13788	0.161286	0.254662	0.225735
a73	0.0943955	0.0876548	0.0938656	0.10888	0.221523	0.393681
a84	0.0773099	0.0642643	0.0689059	0.0888748	0.266738	0.433907
a38	0.0913122	0.0747599	0.0897966	0.10341	0.276108	0.364613
a75	0.128434	0.102161	0.106218	0.114789	0.215184	0.333213
a41	0.0371394	0.0309894	0.042243	0.069966	0.294675	0.524987
a44	0.0306692	0.0260467	0.0374581	0.0666888	0.333554	0.505583
a54	0.0558018	0.0453987	0.0513057	0.0673606	0.286132	0.494001
a73	0.0607237	0.0449684	0.0492095	0.0773415	0.253628	0.514129
a84	0.0390268	0.0291756	0.0356847	0.0591848	0.266246	0.570682
a53	0.0155948	0.0118442	0.0145641	0.0211666	0.156647	0.780183
a25	0.0642589	0.047416	0.0498063	0.0709459	0.235929	0.531644
a56	0.0794398	0.0493396	0.0458816	0.0702808	0.265114	0.489944
a32	0.0816246	0.0626002	0.0630548	0.0762466	0.213079	0.503394
a98	0.0482172	0.0348035	0.0361924	0.0433956	0.140676	0.696715
a73	0.0504332	0.0357232	0.0367961	0.0521188	0.168952	0.655977
a44	0.0267383	0.0194464	0.0255921	0.0413973	0.192483	0.694343
a58	0.0295493	0.020857	0.0276985	0.0411942	0.165877	0.714824
a75	0.0197466	0.0123762	0.0146862	0.0216041	0.103288	0.828299
a93	0.0754419	0.0544087	0.0542745	0.0720667	0.17624	0.567568
a20	0.0578315	0.0429394	0.0505802	0.0615194	0.163142	0.623987
a84	0.0520043	0.0304197	0.0273025	0.0332209	0.102775	0.754278
a57	0.01123	0.0060214	0.00581291	0.0077708	0.0543052	0.91486
a87	0.0126129	0.00637124	0.00497125	0.00594375	0.0403727	0.929728
</S>	0.0546622	0.0226518	0.0151282	0.0145278	0.0838786	0.809151
