 	mes	petits	fils	m'	ont	prié	de	venir	partager	l'	héritage	de	leur	père	</S>
a66	0.122621	0.152071	0.171861	0.184424	0.148183	0.0785226	0.0354866	0.0329067	0.0256512	0.0150672	0.0115437	0.0066046	0.00552371	0.00486701	0.00466596
a87	0.247503	0.224201	0.161653	0.0999222	0.0513992	0.0208471	0.0243695	0.023657	0.023599	0.0212392	0.0188733	0.018534	0.0190896	0.0203551	0.0247576
a23	0.395241	0.177275	0.117313	0.0902376	0.0494512	0.0342441	0.0265716	0.0161613	0.0135334	0.0113313	0.0110243	0.0114918	0.0120489	0.0148707	0.0192051
a40	0.317501	0.117178	0.0691999	0.0471103	0.0306938	0.0347623	0.0651203	0.0521427	0.0561946	0.0455393	0.0420645	0.0325384	0.0275253	0.0263849	0.0360456
a37	0.108291	0.0916474	0.0939743	0.0796308	0.0614467	0.113232	0.0816514	0.0744523	0.0656879	0.05283	0.0463063	0.0422715	0.0364795	0.0286798	0.0234196
a75	0.154442	0.221216	0.191201	0.115129	0.072226	0.0594557	0.0441859	0.0411943	0.0270057	0.0141937	0.0124713	0.00887916	0.00933273	0.0121361	0.0169313
a6	0.101953	0.134226	0.110124	0.0766626	0.0830896	0.10685	0.0800188	0.0899639	0.0602378	0.0347427	0.0280527	0.0226055	0.0233045	0.022677	0.0254928
a36	0.082552	0.124636	0.124601	0.0932231	0.0751518	0.0875384	0.0851255	0.0890768	0.0712474	0.037669	0.0296851	0.0222351	0.0222475	0.0251622	0.0298489
a0	0.0811252	0.111	0.130854	0.116943	0.0769232	0.0862446	0.0947528	0.0746635	0.0578008	0.0302605	0.0259319	0.0201185	0.0220367	0.0299773	0.0413682
a11	0.0588633	0.0769588	0.121939	0.1346	0.0967865	0.123533	0.114557	0.0865493	0.0517092	0.0320126	0.027119	0.0207203	0.0187489	0.0171296	0.018773
a93	0.0279874	0.0389334	0.10085	0.155107	0.124726	0.153639	0.1257	0.0953818	0.05398	0.0326107	0.0252605	0.0189226	0.0161025	0.0145388	0.0162594
a44	0.0321614	0.045072	0.106461	0.166634	0.131201	0.141324	0.1009	0.0803554	0.0491392	0.0294603	0.0225069	0.0202383	0.0208176	0.0237397	0.0299884
a21	0.0187447	0.0247001	0.0519818	0.123755	0.119882	0.161442	0.127546	0.102813	0.056888	0.0391115	0.0290293	0.0262581	0.0280743	0.0375621	0.0522117
a85	0.0122328	0.0146571	0.0320517	0.0935946	0.128999	0.174418	0.118701	0.109438	0.0723883	0.0593617	0.0484045	0.0362921	0.0320968	0.0319137	0.0354523
a92	0.00394831	0.00485377	0.011549	0.0295642	0.0502848	0.161605	0.15022	0.129819	0.076529	0.0761063	0.0715717	0.0578361	0.0557858	0.0573036	0.0630228
a85	0.0026047	0.00416765	0.0121532	0.0392766	0.0752877	0.156212	0.131689	0.107724	0.0960126	0.0812728	0.0713471	0.0576869	0.0510821	0.0546572	0.0588258
a47	0.00162356	0.00225376	0.00581981	0.0152315	0.0364584	0.167305	0.16437	0.127874	0.0764308	0.0746993	0.070875	0.0654435	0.0649409	0.0631508	0.0635239
a36	0.000876536	0.00105785	0.00373362	0.0150473	0.0575287	0.204092	0.171165	0.132826	0.100835	0.0799272	0.0655142	0.045509	0.0366782	0.0414907	0.0437188
a2	0.00137755	0.00165291	0.00410101	0.0127075	0.0479082	0.193158	0.199164	0.157144	0.155194	0.0735202	0.051204	0.0269883	0.0194343	0.0249161	0.0315305
a57	0.00606314	0.0058318	0.00848176	0.0132621	0.035679	0.115794	0.196203	0.156583	0.214249	0.0837793	0.0605884	0.0310954	0.0217363	0.0238987	0.0267562
a87	0.0148439	0.0145984	0.0185705	0.0268921	0.0537871	0.131939	0.191963	0.1541	0.192856	0.0737022	0.0491164	0.0244809	0.016548	0.0168366	0.0197665
a23	0.0539962	0.039935	0.0379958	0.0429074	0.0859871	0.155913	0.122467	0.1096	0.10094	0.0481357	0.0321732	0.0243079	0.0262205	0.0434313	0.0759902
a83	0.0222893	0.0166377	0.0198117	0.0277468	0.0550025	0.0865303	0.0792665	0.079799	0.0528325	0.056066	0.0486353	0.0423273	0.0482371	0.107064	0.257754
a62	0.00136662	0.00144215	0.00315775	0.0104142	0.0274529	0.0600215	0.0498247	0.046338	0.0484501	0.0698022	0.077552	0.104227	0.107433	0.169294	0.223225
a88	0.00195465	0.00315722	0.0055898	0.0136846	0.0335753	0.0726348	0.0533882	0.0510548	0.0356506	0.0454835	0.0498265	0.0891009	0.126057	0.173883	0.244958
a75	0.00237142	0.0035519	0.00532894	0.0115108	0.0322063	0.0775018	0.0743853	0.0740079	0.0519642	0.060679	0.0646837	0.0894343	0.110859	0.137898	0.203617
a47	0.000911623	0.00132758	0.00363174	0.0111905	0.030484	0.1006	0.0748007	0.0735785	0.0596601	0.065242	0.0635457	0.0659313	0.0811986	0.139898	0.228
a79	0.000472656	0.000797693	0.00269068	0.0092085	0.0302542	0.117033	0.106619	0.0947039	0.0653387	0.0698742	0.0667761	0.0651334	0.0786764	0.116205	0.176216
a98	0.000821874	0.00129611	0.00384554	0.0128846	0.0402026	0.11723	0.0975389	0.0864461	0.0825832	0.0814906	0.0839472	0.0748816	0.0809074	0.101653	0.134271
a92	0.000818925	0.0011678	0.00358551	0.0107336	0.0308184	0.0954989	0.0840497	0.0729786	0.0654721	0.0722054	0.0784205	0.071665	0.0874969	0.124149	0.20094
a5	0.000632375	0.000908592	0.00286297	0.00911632	0.026269	0.0820565	0.0724141	0.0671833	0.0710172	0.0739991	0.0828983	0.0802744	0.10058	0.13943	0.190358
a18	0.000888064	0.00123361	0.00185473	0.00382448	0.0114025	0.044635	0.0482654	0.0521219	0.0477812	0.0594082	0.0704444	0.0888597	0.126196	0.192357	0.250727
a40	0.00103561	0.00178495	0.00313522	0.00595399	0.0141304	0.0654026	0.0690461	0.0606145	0.0533058	0.0593283	0.0666174	0.0788827	0.0958246	0.169295	0.255643
a98	0.000515623	0.000665716	0.00108859	0.00244276	0.00730337	0.0383153	0.0418907	0.0402799	0.0555844	0.0687755	0.0840769	0.0991178	0.119626	0.195114	0.245203
a79	0.000173332	0.000196545	0.000287694	0.00065307	0.00226413	0.0224617	0.0368382	0.0331316	0.0427654	0.0589971	0.0808705	0.0919271	0.132982	0.21809	0.278362
a44	0.000314437	0.000374137	0.000539151	0.00115042	0.00370034	0.0279649	0.0374654	0.0327179	0.0495559	0.0605865	0.078994	0.0876933	0.115556	0.210485	0.292903
a62	0.00145143	0.00150667	0.001795	0.0028672	0.0067222	0.0301749	0.0303831	0.0275928	0.0470989	0.0593111	0.0740155	0.0939439	0.114665	0.215556	0.292917
a47	0.00111762	0.00152219	0.00217852	0.0044498	0.0101955	0.0450207	0.0478236	0.0417365	0.0452941	0.0601967	0.072545	0.0899193	0.107713	0.195242	0.275045
a88	0.00184188	0.00263806	0.00435145	0.00837502	0.0160647	0.0637658	0.0598712	0.0500529	0.0567995	0.0638598	0.0709463	0.0905321	0.0928383	0.169439	0.248625
a71	0.00105809	0.00136719	0.00218718	0.00471588	0.0113631	0.0504283	0.0506492	0.0431746	0.0599069	0.0693393	0.0766461	0.0916885	0.0929557	0.17547	0.26905
a75	0.0061156	0.00682415	0.00806544	0.0110228	0.0230263	0.073841	0.0710242	0.0638984	0.075775	0.0648929	0.071305	0.0712101	0.0804048	0.15187	0.220724
a85	0.000540602	0.000706525	0.00103481	0.00234746	0.00603265	0.0235243	0.0234426	0.0228754	0.0349607	0.0481575	0.0586193	0.0879176	0.10414	0.218813	0.366888
a47	0.000242645	0.000266004	0.000345439	0.000678054	0.0017887	0.00920813	0.0125211	0.0129438	0.0190216	0.0320834	0.0488061	0.0734187	0.119561	0.2708	0.398316
a15	0.000175466	0.000178861	0.000244296	0.000543599	0.00125741	0.00947288	0.0162823	0.0138646	0.0138069	0.0208015	0.0281145	0.0455328	0.0902766	0.267043	0.492405
a36	0.000256695	0.000252881	0.000354741	0.00081801	0.00172044	0.0101567	0.0160261	0.0121248	0.0128931	0.019815	0.025899	0.0431351	0.0821368	0.260842	0.513569
a2	0.0104686	0.00679737	0.00596215	0.00651702	0.00736733	0.0156277	0.0248071	0.0204705	0.0294897	0.0341303	0.0433045	0.0697573	0.106681	0.246738	0.371882
a57	0.0276	0.0257897	0.0244528	0.0252657	0.0267572	0.0464141	0.0402743	0.0342107	0.0325754	0.0369599	0.0454234	0.0843117	0.122384	0.20801	0.219571
a87	0.0518886	0.0283657	0.0230176	0.0231991	0.0258746	0.0404758	0.0332933	0.0318291	0.0290026	0.0372424	0.0498999	0.0950075	0.140862	0.199376	0.190665
a23	0.0490088	0.0302942	0.0200774	0.0194647	0.0254261	0.0398849	0.0439267	0.0491603	0.0501102	0.0790588	0.091231	0.113263	0.115398	0.130046	0.14365
a87	0.00981431	0.00522671	0.00306384	0.00276732	0.0035181	0.0108457	0.00955584	0.00951444	0.00759782	0.0277945	0.0434987	0.111027	0.197243	0.256679	0.301854
a97	0.00401069	0.00216039	0.0012146	0.00143848	0.00225364	0.00879337	0.0106638	0.00797787	0.00518482	0.011968	0.0167886	0.0383557	0.0971535	0.266089	0.525947
</S>	0.0212804	0.0121982	0.00802	0.0115429	0.0187341	0.0363998	0.0463203	0.0369189	0.0271085	0.0362125	0.0407272	0.0497232	0.0774866	0.179921	0.397407
