 	j'	ai	besoin	d'	un	guide	</S>
a66	0.373987	0.266656	0.125853	0.0727321	0.0718151	0.0554317	0.0335253
a87	0.342449	0.213005	0.208374	0.148445	0.0507226	0.0243519	0.0126522
a23	0.52971	0.306288	0.0958332	0.0305694	0.0124181	0.0119793	0.013202
a83	0.412905	0.358196	0.12299	0.0296817	0.0172316	0.029114	0.0298811
a62	0.298231	0.29254	0.152244	0.0568964	0.0344856	0.0763974	0.0892053
a88	0.302943	0.327153	0.209975	0.0891976	0.0331572	0.0233475	0.0142272
a75	0.212012	0.350035	0.276208	0.106613	0.0274306	0.0173126	0.0103878
a79	0.131278	0.244037	0.321217	0.216817	0.0461641	0.0249312	0.0155564
a25	0.0923107	0.165179	0.275505	0.301456	0.0810407	0.0473615	0.037147
a92	0.0657069	0.108553	0.217129	0.274667	0.134632	0.10089	0.0984234
a85	0.114393	0.122913	0.160708	0.18739	0.12562	0.13513	0.153845
a6	0.0335515	0.0426577	0.0809639	0.173571	0.224554	0.215686	0.229016
a0	0.0198607	0.0214024	0.0315272	0.101083	0.234858	0.305943	0.285326
a61	0.00858792	0.00658165	0.00605752	0.017143	0.100077	0.300596	0.560957
a75	0.00415346	0.00350746	0.00460742	0.0133786	0.0908164	0.28112	0.602417
a79	0.000471218	0.000392265	0.000719682	0.00510799	0.0626066	0.291217	0.639485
a7	0.0003114	0.000229092	0.000425275	0.00343431	0.0458108	0.246708	0.703081
a4	0.000957515	0.000452322	0.000474101	0.00291212	0.0273131	0.208035	0.759856
a13	0.00215726	0.000962893	0.00114865	0.00724777	0.0495252	0.224242	0.714716
a3	0.00177591	0.00115298	0.00188789	0.0100343	0.0496282	0.220857	0.714664
a87	0.125075	0.0871175	0.0545765	0.0664966	0.121487	0.181658	0.36359
a23	0.473395	0.254271	0.090824	0.0494565	0.0408145	0.0414683	0.0497712
a87	0.133252	0.066782	0.0255847	0.0269241	0.068487	0.237985	0.440986
a23	0.0173057	0.00899943	0.00447682	0.00833184	0.0425941	0.266491	0.651801
</S>	0.0288145	0.0182528	0.0102993	0.0147814	0.0537168	0.257489	0.616646
