 	elle	était	habillée	de	blanc	</S>
a23	0.54356	0.305369	0.0980596	0.0274175	0.0143943	0.0112003
a87	0.693546	0.174354	0.0437956	0.0252346	0.0257197	0.03735
a23	0.519717	0.233545	0.095891	0.0432466	0.041346	0.0662535
a13	0.56211	0.178316	0.0669209	0.0314934	0.0389752	0.122184
a20	0.460612	0.276246	0.122582	0.0395714	0.042865	0.0581242
a30	0.601597	0.225792	0.0945952	0.0322568	0.0250735	0.0206848
a2	0.426694	0.312557	0.175014	0.0482583	0.0244933	0.0129837
a30	0.209168	0.236535	0.252971	0.144908	0.0957086	0.0607093
a35	0.135084	0.159734	0.200867	0.166859	0.173915	0.16354
a30	0.235686	0.232724	0.208844	0.139925	0.10544	0.0773806
a2	0.257809	0.243587	0.212618	0.135772	0.0942918	0.055923
a20	0.0859162	0.157535	0.217533	0.214391	0.181931	0.142694
a69	0.118601	0.150386	0.201526	0.219405	0.18546	0.124622
a58	0.244319	0.253335	0.210189	0.12399	0.0967945	0.071372
a57	0.149731	0.244975	0.284825	0.159278	0.0967995	0.0643913
a38	0.0526939	0.119187	0.218531	0.235591	0.203588	0.170409
a73	0.0594576	0.113276	0.219001	0.222314	0.206246	0.179705
a44	0.0887857	0.150015	0.237511	0.193807	0.175259	0.154623
a54	0.0354233	0.0757074	0.185472	0.225095	0.248113	0.230189
a73	0.0318148	0.0614647	0.150979	0.192703	0.254995	0.308043
a84	0.0154294	0.026404	0.0790511	0.164522	0.30447	0.410124
a11	0.00363826	0.00459182	0.0123757	0.0595351	0.228967	0.690892
a10	0.00410813	0.00376516	0.00913077	0.0480283	0.219334	0.715633
a4	0.00118057	0.00140937	0.00396863	0.03055	0.162976	0.799915
a13	0.00206023	0.00253341	0.00848583	0.0496788	0.203294	0.733948
a3	0.00154562	0.00208704	0.00665505	0.0406409	0.178872	0.7702
a99	0.00137917	0.00109717	0.00259741	0.0262522	0.16479	0.803885
a87	0.0023016	0.00182235	0.00401461	0.0335106	0.187315	0.771035
</S>	0.00602244	0.00832171	0.020895	0.0706418	0.201029	0.69309
