 	les	bananes	sont	pleines	</S>
a40	0.593603	0.155788	0.0744045	0.0752475	0.100957
a14	0.0695968	0.0861524	0.146679	0.316065	0.381507
a41	0.342558	0.257469	0.203025	0.135908	0.0610401
a2	0.364075	0.291382	0.188647	0.0990598	0.0568361
a75	0.37055	0.340874	0.146885	0.0675679	0.0741226
a25	0.342672	0.317089	0.190668	0.0865006	0.0630695
a98	0.263275	0.277035	0.215103	0.129285	0.115302
a41	0.136615	0.189486	0.217669	0.230148	0.226081
a32	0.0700689	0.126924	0.23202	0.280036	0.290951
a25	0.0854276	0.118116	0.189772	0.286909	0.319776
a90	0.0463108	0.0716756	0.134148	0.287764	0.460102
a75	0.0312998	0.0769986	0.185084	0.298623	0.407994
a12	0.0120718	0.0290979	0.0905971	0.258824	0.609409
a96	0.0217632	0.0394905	0.08429	0.231055	0.623401
a21	0.00620641	0.0132754	0.039035	0.171113	0.77037
a32	0.00843339	0.01417	0.0348272	0.157391	0.785178
a18	0.00504583	0.00836656	0.0273109	0.183239	0.776038
a75	0.0171629	0.0267108	0.0615492	0.195913	0.698664
a98	0.00115801	0.00258378	0.0128836	0.129891	0.853483
a73	0.000927873	0.00246791	0.0123478	0.119006	0.86525
a2	0.000994351	0.00328026	0.0160684	0.134669	0.844988
a57	0.0202392	0.0341621	0.0749273	0.196127	0.674545
a87	0.201447	0.152684	0.168255	0.182919	0.294695
a23	0.214685	0.137051	0.140147	0.182915	0.325201
a57	0.0814439	0.0880183	0.133193	0.225025	0.472321
a87	0.016088	0.0314482	0.0820918	0.237798	0.632574
</S>	0.0156911	0.0260898	0.0659166	0.219057	0.673246
