 	le	chasseur	a	tué	l'	animal	olwenge	</S>
a66	0.254731	0.207663	0.160607	0.155577	0.113014	0.0741584	0.02651	0.00774063
a87	0.399305	0.234659	0.141723	0.0919953	0.061644	0.0393175	0.0226026	0.00875332
a23	0.389467	0.274548	0.176231	0.0814233	0.030492	0.0201575	0.0187422	0.00893945
a87	0.382567	0.269652	0.15658	0.0743079	0.0320288	0.0321716	0.0268761	0.0258163
a23	0.449363	0.257031	0.137471	0.062974	0.0302265	0.0239183	0.0196023	0.0194136
a79	0.274245	0.161514	0.104413	0.0743781	0.0606905	0.088371	0.109091	0.127298
a57	0.107211	0.0848168	0.0690352	0.0894279	0.113679	0.171012	0.205496	0.159322
a38	0.128268	0.119396	0.101863	0.126879	0.136713	0.136125	0.129066	0.121689
a96	0.0671416	0.0768321	0.0774618	0.0943517	0.112611	0.150585	0.247108	0.173909
a75	0.0495369	0.0637607	0.0763224	0.0978169	0.116693	0.14486	0.288153	0.162857
a79	0.0417963	0.0601878	0.0745258	0.0955559	0.100455	0.13651	0.294551	0.196418
a37	0.0568138	0.0845164	0.111205	0.136623	0.117135	0.115168	0.200745	0.177793
a44	0.0720377	0.0821746	0.0936754	0.0957216	0.0770495	0.080213	0.202331	0.296797
a53	0.0715491	0.0692944	0.0744304	0.0885368	0.0956303	0.107378	0.183498	0.309683
a93	0.0405228	0.0390923	0.0446702	0.0711702	0.109322	0.142556	0.242006	0.310661
a4	0.0164705	0.0146808	0.0165396	0.0296898	0.064677	0.128868	0.283121	0.445953
a96	0.0161328	0.0137101	0.014301	0.0227835	0.0486824	0.122869	0.269654	0.491868
a66	0.0110836	0.00951335	0.00951758	0.0138736	0.0288305	0.0938451	0.26019	0.573146
a88	0.00457475	0.00339164	0.00319466	0.00530255	0.0137238	0.0579629	0.23811	0.673739
a71	0.00525885	0.00404691	0.00381744	0.00625208	0.018833	0.0797678	0.262018	0.620006
a9	0.0209728	0.015668	0.0146473	0.0235665	0.0469561	0.100659	0.238108	0.539422
a87	0.225324	0.127271	0.100124	0.0895372	0.0787951	0.0874568	0.0956561	0.195836
a23	0.354601	0.237928	0.16905	0.0966362	0.0540359	0.0351609	0.0277147	0.0248729
a10	0.332164	0.185647	0.148743	0.0793244	0.0466457	0.0635012	0.0751642	0.0688107
</S>	0.169636	0.0951067	0.0781335	0.0476459	0.0369222	0.0841338	0.184382	0.30404
