 	qui	est	ce	qui	est	blessé	sur	la	tête	</S>
a66	0.309853	0.206314	0.133214	0.0833402	0.07675	0.0657986	0.0472859	0.0333595	0.0253494	0.0187349
a87	0.232543	0.152337	0.0943586	0.0743814	0.082706	0.0933107	0.0854147	0.0646391	0.0619444	0.0583653
a97	0.199749	0.176998	0.140856	0.101241	0.0930279	0.0831293	0.0587324	0.0514554	0.0526245	0.0421867
a79	0.214964	0.176554	0.138043	0.0956211	0.0942237	0.06957	0.052104	0.0472133	0.0570701	0.0546369
a69	0.385527	0.20372	0.110111	0.0592635	0.039072	0.0352913	0.0301738	0.0338407	0.0461961	0.0568044
a58	0.34128	0.273457	0.178002	0.0992022	0.0417616	0.0229929	0.0127706	0.00972309	0.0100128	0.0107977
a25	0.16198	0.170192	0.15352	0.139179	0.0925692	0.0677247	0.0482699	0.0445915	0.0526441	0.0693284
a92	0.116836	0.123589	0.115445	0.117934	0.0928642	0.0840059	0.0712872	0.070031	0.0828716	0.125137
a56	0.0756264	0.106017	0.12845	0.157361	0.135593	0.108984	0.073187	0.0624576	0.067796	0.0845288
a34	0.0701989	0.0989509	0.124466	0.156373	0.149951	0.126767	0.0742437	0.0609598	0.0622071	0.0758822
a47	0.0510536	0.073137	0.104351	0.151135	0.167135	0.1466	0.0866355	0.0702326	0.0678505	0.0818706
a62	0.0311975	0.0418096	0.0721731	0.139292	0.192818	0.189572	0.112672	0.0804537	0.0663466	0.0736647
a83	0.0186789	0.0240388	0.0447481	0.0997642	0.162956	0.201748	0.146768	0.110385	0.0930867	0.0978261
a93	0.0145234	0.0169661	0.0322965	0.0798522	0.145812	0.209456	0.176335	0.133135	0.0994626	0.0921614
a90	0.0138424	0.0167691	0.0338657	0.0815292	0.13693	0.188551	0.180859	0.148701	0.107267	0.0916863
a98	0.00942304	0.012581	0.0285939	0.0747895	0.129518	0.163519	0.181267	0.160856	0.12889	0.110562
a85	0.007256	0.0100842	0.0221284	0.0559439	0.0978092	0.133079	0.172077	0.176478	0.16945	0.155695
a6	0.00344146	0.00455698	0.0114474	0.0304149	0.0539893	0.0794423	0.125	0.181982	0.248852	0.260873
a47	0.00400031	0.00477235	0.0120807	0.0317462	0.0551499	0.0776964	0.127409	0.184983	0.245746	0.256417
a96	0.00147956	0.00139673	0.00315559	0.00957468	0.0212373	0.0447818	0.104847	0.192818	0.280959	0.33975
a5	0.00115677	0.000975684	0.00171298	0.0050413	0.0139899	0.0325664	0.0850215	0.162521	0.261802	0.435213
a0	0.00218564	0.0018268	0.0026252	0.00558479	0.0123502	0.0269963	0.0756103	0.154261	0.266273	0.452287
a27	0.00133848	0.00109409	0.00147215	0.00274207	0.00596397	0.0138178	0.0412719	0.120817	0.273194	0.538289
a30	0.0241721	0.0182203	0.0184048	0.0253062	0.0384285	0.0598309	0.087113	0.135221	0.213468	0.379835
a10	0.0807839	0.051953	0.0413323	0.0417003	0.0572903	0.0756317	0.112981	0.149157	0.190138	0.199033
a87	0.0504872	0.0363494	0.0331394	0.0410433	0.066088	0.0924923	0.140243	0.176775	0.202601	0.160782
a97	0.0380204	0.0305892	0.0307258	0.0425687	0.0734782	0.108821	0.160486	0.184968	0.190723	0.13962
a99	0.026964	0.0227453	0.0254216	0.0402545	0.0732923	0.103747	0.154128	0.17279	0.194062	0.186595
a97	0.013179	0.0122048	0.0147453	0.0232914	0.0380853	0.0589751	0.119205	0.169568	0.243474	0.307272
a99	0.0229991	0.0215077	0.0260907	0.0354324	0.0492197	0.0644706	0.115257	0.152792	0.217832	0.294398
a3	0.0165457	0.0148295	0.0162784	0.0224699	0.028761	0.0416737	0.0919425	0.153643	0.246331	0.367525
a97	0.0247719	0.0207261	0.0215544	0.0272918	0.0364354	0.0519046	0.104203	0.149368	0.228089	0.335656
</S>	0.0207608	0.0174234	0.0170502	0.0219085	0.0272697	0.0412075	0.0911983	0.150551	0.240091	0.37254
