 	ce	brusque	retour	des	pluies	nous	a	surpris	</S>
a85	0.226538	0.103702	0.140551	0.136614	0.108012	0.093208	0.0636299	0.0646084	0.0631378
a87	0.140451	0.052513	0.0543468	0.056497	0.0501351	0.0709892	0.105321	0.203079	0.266668
a23	0.34705	0.112549	0.0824307	0.0576856	0.0329132	0.042403	0.0574214	0.11187	0.155677
a24	0.415224	0.100623	0.0493036	0.0261725	0.0171567	0.0286958	0.0535723	0.124564	0.184688
a32	0.731541	0.0778851	0.0399157	0.0227109	0.016274	0.0234699	0.0267572	0.0305773	0.0308694
a11	0.664874	0.127277	0.0595352	0.0296683	0.0178509	0.0221486	0.0238103	0.0272187	0.0276165
a35	0.441203	0.225689	0.116927	0.0579068	0.0310302	0.030463	0.0299707	0.0329368	0.0338737
a26	0.276681	0.208148	0.177445	0.105335	0.0621929	0.0538768	0.0425146	0.0393712	0.0344365
a94	0.217028	0.187311	0.18625	0.139079	0.0841412	0.0653653	0.0449047	0.0395901	0.0363304
a30	0.261667	0.232161	0.214259	0.126226	0.0579684	0.0394806	0.0241637	0.0231062	0.0209675
a35	0.201894	0.214428	0.231979	0.158147	0.076665	0.0474587	0.0244137	0.0230103	0.0220038
a14	0.192999	0.223573	0.229248	0.155311	0.0794585	0.0491267	0.0249266	0.0230001	0.0223582
a98	0.169427	0.248209	0.227545	0.150414	0.080437	0.0480363	0.0253929	0.0251364	0.0254016
a73	0.10994	0.195442	0.24075	0.179527	0.108147	0.0608566	0.0332338	0.0330725	0.0390296
a2	0.0756106	0.136746	0.220259	0.200099	0.128853	0.0663021	0.0430782	0.0521695	0.0768827
a76	0.0780127	0.117173	0.208382	0.204742	0.141097	0.0756923	0.0483432	0.0545052	0.0720534
a35	0.0602913	0.105596	0.1773	0.19193	0.163227	0.0964494	0.065455	0.0646467	0.0751046
a20	0.0467948	0.0742294	0.13001	0.169441	0.166666	0.117874	0.0854872	0.0964082	0.113089
a84	0.0674788	0.0796929	0.100342	0.138115	0.129075	0.0779141	0.0819755	0.127656	0.19775
a87	0.0596888	0.0686316	0.0943377	0.133577	0.143208	0.104384	0.0899928	0.127602	0.178577
a23	0.0318835	0.040511	0.0892164	0.137592	0.162041	0.173586	0.119462	0.134166	0.111541
a41	0.031696	0.0283987	0.061944	0.118647	0.128047	0.125463	0.112277	0.187606	0.205922
a27	0.0522388	0.0539205	0.0782763	0.086676	0.108215	0.107201	0.114829	0.162952	0.235691
a38	0.0252089	0.041167	0.0898431	0.11185	0.148438	0.159751	0.124194	0.139984	0.159563
a41	0.0333831	0.0465777	0.0880257	0.097344	0.126138	0.13391	0.113455	0.149717	0.211448
a27	0.0193892	0.0373374	0.075554	0.0881377	0.12293	0.138014	0.135122	0.171296	0.21222
a24	0.0163446	0.0222996	0.0383444	0.0655757	0.0985819	0.101532	0.131063	0.212878	0.31338
a43	0.0139759	0.0211824	0.0325133	0.0474383	0.0750428	0.0892692	0.132401	0.23186	0.356317
a11	0.0140026	0.0217355	0.0385649	0.0631718	0.0987321	0.10316	0.134804	0.215717	0.310111
a75	0.0158754	0.0209525	0.0279521	0.0409308	0.0676527	0.077475	0.127582	0.235728	0.385851
a14	0.0150508	0.0197666	0.0259568	0.038328	0.0637701	0.0708525	0.122299	0.249583	0.394394
a73	0.0131415	0.0140202	0.0201483	0.0344231	0.0610332	0.0779677	0.134199	0.251483	0.393584
a7	0.00941894	0.00909839	0.0124265	0.0216103	0.040037	0.0534327	0.119706	0.275574	0.458696
a94	0.0109627	0.00931274	0.0113683	0.0165357	0.0261481	0.0398769	0.0859874	0.280257	0.519551
a44	0.00525396	0.00499822	0.00650856	0.0104618	0.0157369	0.022741	0.0592175	0.247744	0.627339
a84	0.00521252	0.00446836	0.00600323	0.00970397	0.0151166	0.0227872	0.0596474	0.246307	0.630754
a87	0.00588157	0.00436765	0.00668048	0.0122584	0.0202382	0.0320029	0.0791659	0.280216	0.559189
</S>	0.0055355	0.00212049	0.00289108	0.00627958	0.0140938	0.0315681	0.104466	0.332052	0.500993
