 	il	a	de	gros	biceps	</S>
a85	0.464489	0.264633	0.114581	0.056557	0.039587	0.0601531
a66	0.37949	0.251633	0.165383	0.0937328	0.0523917	0.0573703
a87	0.35596	0.233221	0.151012	0.0952493	0.0667771	0.0977811
a23	0.40566	0.251348	0.154159	0.0880887	0.0475466	0.0531986
a79	0.395273	0.253028	0.158188	0.0881712	0.0450615	0.0602788
a20	0.34767	0.286244	0.177881	0.086261	0.0344387	0.0675051
a44	0.20826	0.284538	0.222428	0.172043	0.0511889	0.0615423
a11	0.155033	0.249964	0.236992	0.206944	0.0852898	0.0657771
a24	0.118276	0.208822	0.237724	0.203259	0.121773	0.110146
a35	0.155497	0.210658	0.224722	0.175787	0.1338	0.0995363
a12	0.171379	0.231413	0.255181	0.167058	0.0980785	0.0768906
a43	0.168288	0.199941	0.224164	0.194133	0.129502	0.0839707
a11	0.163791	0.190508	0.234713	0.196995	0.123402	0.0905913
a90	0.159405	0.176328	0.216464	0.201536	0.14504	0.101227
a94	0.107529	0.122921	0.145999	0.192112	0.256451	0.174988
a90	0.102195	0.0925891	0.0899285	0.159477	0.297448	0.258362
a94	0.106005	0.102587	0.0990985	0.164936	0.291717	0.235657
a20	0.0908781	0.0787417	0.069156	0.117903	0.300037	0.343284
a73	0.0673407	0.057815	0.0554573	0.101143	0.26915	0.449095
a58	0.0397032	0.039234	0.042964	0.110308	0.32529	0.442501
a53	0.0303834	0.0313497	0.0350778	0.0739428	0.300653	0.528593
a76	0.0381938	0.0354653	0.0397721	0.0789863	0.320519	0.487064
a94	0.028775	0.0269526	0.0362032	0.0872001	0.279433	0.541436
a41	0.0145951	0.0135268	0.016108	0.0387856	0.206598	0.710387
a94	0.0396559	0.0373765	0.0444106	0.0948579	0.257734	0.525966
a41	0.0102295	0.00970165	0.0115024	0.0292611	0.169804	0.769501
a27	0.0352667	0.0302348	0.0342482	0.0680244	0.194925	0.637301
a25	0.00751142	0.00665383	0.00713127	0.015942	0.0991842	0.863577
a87	0.00562656	0.00403644	0.00410987	0.0106752	0.0899614	0.885591
</S>	0.00710956	0.00393797	0.00305343	0.0103227	0.0988252	0.876751
