 	le	ciel	pâlit	l'	aube	va	bientôt	venir	</S>
a23	0.220762	0.0974738	0.0721635	0.120765	0.229091	0.146783	0.0611638	0.0279943	0.0238026
a87	0.373891	0.219853	0.131026	0.0824206	0.0553695	0.0443584	0.0357825	0.0263342	0.0309656
a23	0.162302	0.172542	0.136568	0.102006	0.0795922	0.0646987	0.0538947	0.074071	0.154326
a83	0.296238	0.160006	0.118448	0.0776838	0.0499496	0.0309919	0.0380363	0.0669581	0.161688
a9	0.508148	0.193289	0.116794	0.0725895	0.0521973	0.0210585	0.014044	0.0112974	0.0105831
a82	0.354766	0.223398	0.234039	0.0952507	0.0555873	0.0139613	0.00915111	0.00676443	0.00708165
a38	0.231416	0.136557	0.210595	0.131314	0.09652	0.0418161	0.0439033	0.0469251	0.0609538
a12	0.182953	0.137886	0.220648	0.117069	0.0937593	0.0559989	0.0603122	0.0601022	0.0712708
a96	0.171372	0.214812	0.298223	0.160446	0.0813916	0.0255413	0.0156758	0.0147683	0.0177705
a24	0.127245	0.174663	0.262957	0.220626	0.127578	0.0379876	0.0172482	0.0139133	0.017782
a31	0.0970046	0.135489	0.212011	0.255509	0.177828	0.0670088	0.0229262	0.0140635	0.01816
a24	0.0750467	0.0986086	0.198027	0.279884	0.212523	0.0804651	0.0255494	0.0137481	0.0161477
a98	0.0448598	0.0577061	0.150741	0.280835	0.22999	0.138882	0.0512809	0.0204402	0.0252644
a71	0.0512559	0.0606166	0.180957	0.312478	0.232617	0.0979923	0.0333272	0.0144736	0.0162833
a9	0.0290433	0.0304379	0.103398	0.268316	0.257085	0.175648	0.0736977	0.0286648	0.0337102
a0	0.0198175	0.019472	0.0580715	0.192831	0.236979	0.233971	0.121951	0.052807	0.0640994
a21	0.0187373	0.0129558	0.0515588	0.183946	0.227532	0.239753	0.135955	0.0594173	0.0701453
a41	0.0741955	0.0643881	0.106614	0.210429	0.1839	0.129649	0.0935017	0.0665933	0.0707283
a96	0.0327317	0.0318824	0.0610707	0.156442	0.158707	0.117188	0.0966894	0.124529	0.22076
a12	0.0325666	0.0305222	0.0688203	0.156726	0.21579	0.172442	0.11536	0.0855081	0.122265
a94	0.0540479	0.0463306	0.0736758	0.163713	0.194934	0.16032	0.121799	0.0908068	0.0943725
a25	0.0346316	0.0315929	0.0594157	0.120413	0.164913	0.186612	0.159005	0.110811	0.132605
a87	0.0224487	0.021586	0.0406704	0.0857725	0.134044	0.195073	0.17889	0.134579	0.186936
a23	0.0265309	0.0183646	0.0192299	0.0484242	0.06172	0.141082	0.19421	0.177015	0.313423
a99	0.0204735	0.0137867	0.0212243	0.0564555	0.0778901	0.113766	0.15714	0.189726	0.349539
a13	0.0115673	0.00764743	0.0132549	0.0373116	0.0478496	0.0774161	0.138902	0.218079	0.447972
a4	0.0159829	0.00841826	0.0109273	0.021352	0.0411197	0.0796233	0.152416	0.235125	0.435036
a98	0.0278528	0.0123528	0.0128839	0.0248572	0.0359144	0.0655545	0.117275	0.218984	0.484326
a0	0.0138648	0.00563342	0.00436134	0.0149486	0.0215295	0.0600051	0.129154	0.259717	0.490786
a90	0.00902208	0.00499861	0.0042723	0.00998631	0.0112955	0.0292315	0.091138	0.280594	0.559462
a96	0.0243325	0.00831088	0.00660393	0.0179821	0.0218154	0.0550208	0.127436	0.259097	0.479402
a70	0.0264161	0.0142071	0.0125403	0.0217857	0.0234669	0.0473714	0.116431	0.268288	0.469494
a62	0.0306705	0.0124879	0.0102481	0.0198738	0.0209709	0.0438133	0.113934	0.275008	0.472993
a66	0.0191451	0.0114133	0.00906606	0.0168032	0.0163572	0.0406717	0.10744	0.279405	0.499698
a53	0.014217	0.010001	0.00965116	0.0168674	0.0171566	0.0382893	0.0990538	0.278464	0.5163
a90	0.0263246	0.0101315	0.0121453	0.0300563	0.0377395	0.0661849	0.135275	0.260394	0.421749
a13	0.0154876	0.00524253	0.00625791	0.0188154	0.0216012	0.0455139	0.107125	0.271013	0.508943
a38	0.00939335	0.00458784	0.00593678	0.0158637	0.0202585	0.0410011	0.0937011	0.254702	0.554556
a75	0.00993876	0.00482866	0.00437899	0.0112344	0.0137617	0.0288596	0.0746138	0.24868	0.603704
a98	0.0119448	0.00476338	0.00490576	0.0121542	0.0154555	0.0348378	0.101429	0.285037	0.529472
a73	0.00678656	0.00232934	0.00188537	0.0056075	0.00710882	0.0218784	0.085909	0.294064	0.574431
a26	0.00554138	0.002982	0.00271288	0.00659299	0.00773732	0.0223481	0.0733217	0.281237	0.597526
a57	0.00399155	0.00219465	0.00186809	0.00415715	0.00530407	0.0161823	0.0609572	0.262711	0.642634
a87	0.00455778	0.00242067	0.00165757	0.00330024	0.00426397	0.0141017	0.0673066	0.272904	0.629488
</S>	0.00952121	0.00463788	0.00232063	0.00501638	0.00920059	0.0323634	0.102368	0.26715	0.567422
