 	le	crasseux	gaspille	ses	habits	</S>
a23	0.220292	0.153839	0.180387	0.136782	0.171118	0.137582
a87	0.240381	0.142796	0.177204	0.0863383	0.161721	0.19156
a30	0.344464	0.153163	0.136594	0.0979011	0.132731	0.135146
a27	0.279522	0.133947	0.146484	0.0818625	0.153714	0.204471
a30	0.335457	0.2434	0.21989	0.0898569	0.0570166	0.0543798
a10	0.573663	0.210963	0.11894	0.0405773	0.0284437	0.0274132
a38	0.433377	0.211323	0.129271	0.0756546	0.0663183	0.0840554
a75	0.488668	0.223451	0.129251	0.0593473	0.0468726	0.0524102
a56	0.49859	0.23443	0.124438	0.0528989	0.0445213	0.045122
a43	0.469575	0.272012	0.135844	0.0497743	0.0356451	0.0371495
a11	0.289257	0.29531	0.184973	0.0936618	0.0669587	0.0698387
a44	0.206097	0.277039	0.19805	0.137882	0.091316	0.0896164
a54	0.152978	0.267278	0.238986	0.157796	0.0957757	0.0871861
a85	0.102884	0.182786	0.193646	0.164371	0.169051	0.187262
a47	0.090206	0.110953	0.141402	0.161644	0.218495	0.2773
a44	0.0752221	0.0852727	0.102619	0.170595	0.242886	0.323405
a90	0.061384	0.0764069	0.100777	0.160869	0.262126	0.338437
a25	0.0611711	0.0919103	0.134154	0.206766	0.224995	0.281004
a56	0.0391693	0.0488848	0.0686881	0.143082	0.27755	0.422626
a61	0.0145798	0.0190753	0.0325524	0.113802	0.281259	0.538732
a0	0.0067894	0.00795386	0.0140554	0.0594688	0.249313	0.662419
a31	0.00251857	0.00446869	0.00861007	0.0480556	0.212856	0.723492
a24	0.00354754	0.00470266	0.00866741	0.0418892	0.203266	0.737927
a9	0.00408105	0.00701556	0.0119661	0.0544796	0.21465	0.707808
a38	0.00785294	0.00709189	0.0171021	0.0695853	0.243861	0.654507
a85	0.00449897	0.00361116	0.00885165	0.0395604	0.197893	0.745584
a37	0.00237639	0.00279638	0.00712551	0.0339173	0.168786	0.784999
a66	0.00299864	0.00321289	0.00832794	0.0418914	0.195623	0.747946
a75	0.0205846	0.0167104	0.0302966	0.0919853	0.253057	0.587366
a30	0.00782022	0.00641862	0.0146154	0.0579342	0.23278	0.680432
a2	0.0257493	0.0191156	0.0407669	0.0977903	0.268114	0.548464
a57	0.0492187	0.0325009	0.0530748	0.0910695	0.269968	0.504168
a10	0.0643961	0.0362274	0.0463211	0.0891809	0.271759	0.492115
a87	0.0517651	0.0273075	0.0386386	0.0911987	0.285259	0.505831
</S>	0.0372913	0.0230363	0.0375075	0.0932467	0.294502	0.514416
