 	cette	femme	a	une	bonne	audition	car	elle	a	entendu	tout	ce	qu'	on	a	dit	</S>
a66	0.0927564	0.115498	0.135024	0.179519	0.121638	0.0837089	0.045855	0.0420528	0.0450439	0.0408804	0.029968	0.0251067	0.0188212	0.0096313	0.00549168	0.004308	0.00469635
a87	0.345298	0.206237	0.142783	0.102239	0.0554975	0.027235	0.0109391	0.00869469	0.0106571	0.0127064	0.00778782	0.00978347	0.0104542	0.00995498	0.0119277	0.0129306	0.0148747
a23	0.396244	0.219332	0.121459	0.0825046	0.0532223	0.0348066	0.00925902	0.00745801	0.00783121	0.00823308	0.00616916	0.00607427	0.00747418	0.00720868	0.00859601	0.0108605	0.0132678
a30	0.343742	0.195956	0.108851	0.0891247	0.0675109	0.0524569	0.0138065	0.0108118	0.0124783	0.0110683	0.00866565	0.00943385	0.00895056	0.00839257	0.0112216	0.0166274	0.0309018
a83	0.297211	0.163211	0.110375	0.11616	0.110404	0.0888998	0.0230385	0.0148723	0.0135283	0.0114792	0.00754964	0.00773094	0.00684761	0.00570958	0.00630565	0.00694477	0.00973296
a96	0.192413	0.155845	0.129468	0.154774	0.15022	0.0837153	0.0185583	0.0112176	0.0102509	0.0100049	0.00761756	0.00869525	0.00878237	0.00912001	0.0126728	0.0154262	0.0212189
a93	0.233704	0.17644	0.136579	0.126812	0.130232	0.0908865	0.0202313	0.0113327	0.00931763	0.00856709	0.00591719	0.00609277	0.00662149	0.00695927	0.00853163	0.00955747	0.0122185
a15	0.16569	0.162512	0.147256	0.140155	0.150468	0.116713	0.023784	0.0127021	0.00984678	0.00865516	0.00522565	0.00554815	0.00599651	0.0073044	0.010006	0.0120914	0.0160443
a79	0.0672765	0.090606	0.0995063	0.0826973	0.0879184	0.109613	0.0537106	0.0407166	0.0391374	0.0332131	0.022477	0.0214497	0.0221369	0.0297421	0.0461716	0.0650457	0.0885818
a37	0.0660506	0.0829292	0.0934193	0.080098	0.0939464	0.136673	0.0793014	0.0511694	0.0492797	0.0324847	0.0190348	0.0162767	0.0156445	0.0195533	0.0302463	0.0487221	0.0851701
a75	0.0856303	0.0961953	0.103975	0.0992157	0.117349	0.149579	0.084355	0.0546691	0.045839	0.0326541	0.021476	0.018139	0.0163987	0.0155013	0.0153061	0.0174864	0.0262308
a85	0.048306	0.0547397	0.0675201	0.0615477	0.0747197	0.126065	0.0991464	0.0739212	0.0768317	0.0519029	0.0358315	0.0299443	0.0278849	0.0265636	0.0273583	0.0410463	0.0766705
a6	0.0182865	0.0214465	0.0296613	0.0279604	0.0382354	0.0897267	0.113342	0.0995902	0.110638	0.0795399	0.0576522	0.0519334	0.0464159	0.0426665	0.0385791	0.0512404	0.083085
a36	0.0244414	0.0320433	0.0448277	0.0470463	0.0602483	0.128723	0.125486	0.0995167	0.0980244	0.0661543	0.0487946	0.0392454	0.0351297	0.030003	0.0276437	0.0358588	0.0568138
a0	0.010915	0.0161872	0.0312629	0.0487872	0.0644953	0.113567	0.129929	0.106364	0.102991	0.0715906	0.0589943	0.0464232	0.041655	0.034229	0.0295743	0.0358737	0.0571613
a11	0.00667288	0.00831172	0.0167216	0.0390947	0.064957	0.127482	0.146143	0.1436	0.13659	0.0830586	0.0596393	0.0423155	0.0325172	0.0207224	0.0168676	0.0202423	0.0350635
a62	0.00708157	0.009618	0.0150294	0.0295218	0.04698	0.102701	0.172227	0.157218	0.147632	0.0882275	0.0600388	0.0429981	0.0294953	0.0184645	0.0162373	0.0201028	0.0364265
a88	0.00372033	0.00475014	0.0076745	0.0152906	0.0264419	0.0733461	0.141834	0.176652	0.183238	0.115186	0.079905	0.0539385	0.0341665	0.0173969	0.0144707	0.0183938	0.0335944
a9	0.0075664	0.0118109	0.0167028	0.0292167	0.042155	0.0675335	0.146188	0.164314	0.164091	0.109674	0.0890486	0.0632458	0.0357288	0.016113	0.0104334	0.010351	0.0158272
a87	0.0244314	0.0302373	0.0360636	0.0583281	0.0674612	0.0572633	0.125308	0.137924	0.118699	0.0824489	0.0833813	0.062184	0.0353594	0.0213419	0.0151969	0.0165442	0.0278278
a23	0.108748	0.06012	0.056292	0.0444523	0.0396798	0.040514	0.0750244	0.0645515	0.0618774	0.0610053	0.0562351	0.0527386	0.0494441	0.0503848	0.0505004	0.0544677	0.0739649
a10	0.111944	0.0528977	0.0360728	0.0359946	0.0286642	0.0379423	0.0531016	0.054297	0.0591795	0.0698426	0.0671573	0.0630909	0.0582662	0.0486093	0.0442734	0.0614771	0.117189
a83	0.0461934	0.0220352	0.0228878	0.0269862	0.0249973	0.0371301	0.0542005	0.0538435	0.0658078	0.0822808	0.0799405	0.0844262	0.0719253	0.0605943	0.0519665	0.0703657	0.144419
