 	itoua	trompe	son	père	dans	les	finances	</S>
a66	0.387897	0.293012	0.162438	0.0960258	0.0282934	0.0147107	0.00873998	0.00888291
a87	0.188583	0.192575	0.174581	0.143723	0.0747417	0.0691572	0.0705294	0.0861105
a10	0.425627	0.243447	0.12913	0.0533003	0.0243008	0.0289679	0.0302363	0.0649904
a87	0.452205	0.271502	0.122643	0.0428762	0.0163675	0.0175657	0.0258296	0.0510104
a97	0.38753	0.262004	0.136529	0.0572904	0.024854	0.0282854	0.0380031	0.0655042
a83	0.466439	0.266546	0.104852	0.0428937	0.0230795	0.0251715	0.0296033	0.0414158
a50	0.520822	0.285338	0.0997479	0.0382778	0.0128155	0.0113747	0.0142177	0.0174061
a88	0.367647	0.328932	0.118321	0.0776279	0.0359391	0.0246308	0.0240351	0.0228665
a71	0.312814	0.319601	0.142376	0.108634	0.0437567	0.0259906	0.0240392	0.0227883
a53	0.148655	0.234422	0.186422	0.178264	0.0886265	0.0545499	0.0547771	0.0542836
a15	0.14473	0.256485	0.17669	0.172253	0.100638	0.0542894	0.0489665	0.0459479
a98	0.111816	0.191259	0.168083	0.20106	0.125346	0.0721352	0.0672077	0.0630926
a47	0.0944964	0.207762	0.199821	0.219579	0.11893	0.0602196	0.0552965	0.0438951
a36	0.0807541	0.165685	0.158871	0.168539	0.123808	0.082448	0.110177	0.109718
a7	0.0888597	0.161321	0.166746	0.156061	0.108747	0.0734634	0.111027	0.133774
a90	0.0852735	0.126053	0.143406	0.131742	0.1172	0.0898858	0.140116	0.166324
a94	0.0654113	0.106758	0.162446	0.167026	0.140551	0.0990722	0.124272	0.134463
a11	0.0331774	0.038696	0.0864595	0.122218	0.16363	0.146474	0.191816	0.217529
a75	0.021062	0.0237943	0.0544047	0.0832305	0.158235	0.162004	0.209792	0.287477
a56	0.013694	0.0170684	0.0388711	0.0686597	0.134791	0.162154	0.245094	0.319669
a85	0.00936666	0.00974163	0.0220848	0.0403433	0.107779	0.17356	0.272448	0.364676
a6	0.000863237	0.00131034	0.00364902	0.0107933	0.0473527	0.103097	0.297727	0.535208
a0	0.0017747	0.00225075	0.0052324	0.0123587	0.0494963	0.114199	0.308443	0.506245
a75	0.000644834	0.000749608	0.00162382	0.00395306	0.0181004	0.0614844	0.276815	0.636629
a79	0.000421885	0.000595686	0.00154277	0.00471536	0.0261198	0.0866668	0.286246	0.593692
a44	0.000147714	0.000246332	0.000625129	0.00171153	0.00950859	0.0379669	0.247129	0.702665
a90	0.000214421	0.000343041	0.000783288	0.00190929	0.0102547	0.0500384	0.277981	0.658476
a69	0.000254019	0.000509918	0.00138649	0.00363783	0.0173761	0.0661342	0.280157	0.630545
a94	0.000136545	0.00026615	0.000675187	0.00154631	0.00881403	0.0431411	0.266725	0.678695
a4	0.0002252	0.000480531	0.000973235	0.00220054	0.00980671	0.0469716	0.23616	0.703182
a58	0.000735059	0.00148536	0.00264887	0.00443228	0.0152197	0.059751	0.261893	0.653834
a82	0.00188238	0.00303861	0.0041976	0.00674425	0.0216804	0.0705151	0.291443	0.600499
a97	0.046935	0.0317166	0.0281267	0.0268623	0.0414075	0.0853766	0.23406	0.505515
a9	0.158222	0.109297	0.0915781	0.0705888	0.0718596	0.110134	0.148637	0.239683
a97	0.103243	0.0603243	0.0526191	0.035148	0.0415256	0.0902042	0.198299	0.418637
</S>	0.0673074	0.04248	0.0416174	0.0279	0.035438	0.0866936	0.216429	0.482134
