 	le	feu	est	ardent	</S>
a23	0.684484	0.188309	0.0554225	0.0396977	0.0320875
a87	0.718432	0.200949	0.0440716	0.0176302	0.0189171
a23	0.562022	0.294936	0.0856186	0.0301091	0.0273145
a13	0.665444	0.199522	0.0500459	0.0330551	0.0519329
a11	0.610802	0.186118	0.0570823	0.0668825	0.0791149
a24	0.553213	0.309607	0.0749742	0.0362315	0.025974
a30	0.410411	0.340178	0.128156	0.0687817	0.0524732
a0	0.267607	0.268045	0.201746	0.139423	0.123179
a43	0.270262	0.285707	0.191246	0.137214	0.115571
a24	0.192605	0.239133	0.208755	0.18404	0.175467
a88	0.160897	0.211853	0.200167	0.209636	0.217448
a24	0.105406	0.142935	0.173176	0.234536	0.343947
a98	0.0596925	0.0652151	0.0872887	0.237756	0.550048
a73	0.0506286	0.0508227	0.0845974	0.228285	0.585666
a84	0.0367259	0.0382573	0.0789778	0.245207	0.600832
a20	0.00860505	0.0106017	0.0312009	0.176952	0.77264
a73	0.00950034	0.00679442	0.0183021	0.15805	0.807353
a37	0.00209904	0.00261162	0.0152931	0.179688	0.800308
a94	0.00463254	0.00479892	0.0162177	0.163822	0.810529
a38	0.00689073	0.00698802	0.0244504	0.197032	0.764639
a9	0.00858181	0.00766872	0.0273773	0.216096	0.740276
a87	0.00493828	0.00577924	0.0229219	0.165	0.80136
a23	0.0149061	0.0238246	0.0616126	0.194758	0.704899
a87	0.0779342	0.0904954	0.1099	0.185165	0.536506
</S>	0.0369693	0.0539143	0.10947	0.227046	0.5726
