 	le	gluau	s'	utilise	mieux	dans	la	savane	</S>
a66	0.328483	0.199984	0.0748552	0.0703816	0.0935696	0.0944187	0.0711392	0.0346827	0.0324862
a87	0.693563	0.194499	0.0499911	0.0236433	0.0101163	0.00870966	0.0061432	0.00537122	0.00796364
a23	0.510972	0.24234	0.115391	0.0615382	0.0214452	0.015281	0.0107127	0.00914772	0.013172
a50	0.241738	0.428262	0.153571	0.0729136	0.028893	0.015405	0.0119803	0.0159961	0.0312403
a88	0.296738	0.492066	0.101493	0.0358946	0.0123815	0.00795677	0.00931911	0.0161239	0.028027
a38	0.39029	0.470746	0.0704449	0.0286077	0.0132448	0.00732864	0.00543519	0.00634151	0.00756165
a62	0.246981	0.38861	0.151545	0.0945466	0.0431743	0.0221786	0.015562	0.0169332	0.0204693
a21	0.134329	0.271156	0.207675	0.193726	0.0915913	0.0365014	0.0222324	0.0197456	0.0230437
a85	0.0736602	0.159271	0.202922	0.298623	0.154013	0.0537624	0.0229107	0.0155555	0.0192813
a6	0.0325302	0.0904992	0.187414	0.268111	0.186817	0.0957543	0.0526641	0.0388402	0.0473707
a47	0.0436697	0.0516401	0.124594	0.218449	0.2666	0.13563	0.0611635	0.0454506	0.0528032
a36	0.0204351	0.0259247	0.0913216	0.181039	0.269737	0.172785	0.0834976	0.0709797	0.0842804
a6	0.0191991	0.019706	0.0537391	0.139375	0.249943	0.188438	0.109864	0.0996199	0.120116
a98	0.00874855	0.0127443	0.0268185	0.0630294	0.180403	0.198055	0.159829	0.160706	0.189666
a79	0.00266857	0.00480629	0.0160312	0.0379085	0.12932	0.213085	0.209582	0.17534	0.211259
a92	0.00179094	0.00272855	0.00800398	0.0202138	0.0840357	0.139212	0.207599	0.221785	0.314631
a6	0.00124271	0.00158079	0.00432977	0.00888674	0.0549569	0.121652	0.224273	0.253066	0.330013
a0	0.000503596	0.000579409	0.00236878	0.00510573	0.0294337	0.0843215	0.226765	0.276035	0.374888
a90	0.000421511	0.000290041	0.0010723	0.00227018	0.00899761	0.0260758	0.10177	0.288271	0.570831
a79	0.000192064	0.000123085	0.000523808	0.0011772	0.00863334	0.033737	0.141629	0.301911	0.512073
a94	7.09277e-05	4.83028e-05	0.000234615	0.000601072	0.0040364	0.0175177	0.0998171	0.316272	0.561402
a4	0.000198939	7.30069e-05	0.000374442	0.0010745	0.00598802	0.0208182	0.0880293	0.310084	0.57336
a57	0.000346118	0.000148112	0.000708121	0.00182075	0.00786383	0.02678	0.100204	0.317916	0.544213
a82	0.00137671	0.000247324	0.00132248	0.00390258	0.0134826	0.0327334	0.0922636	0.275862	0.57881
a87	0.0483463	0.0101594	0.0268762	0.0399358	0.0389502	0.0470871	0.0836134	0.244537	0.460495
a23	0.273407	0.104223	0.174669	0.121427	0.0728642	0.0553934	0.0568238	0.0622481	0.0789448
a87	0.0890046	0.0198429	0.0387838	0.0350344	0.0272167	0.0423469	0.0986965	0.281733	0.367341
a85	0.0180491	0.00606005	0.0125514	0.01781	0.0176408	0.0291378	0.0912243	0.303811	0.503715
</S>	0.0215849	0.00660826	0.0191293	0.0246126	0.0274118	0.0433953	0.111408	0.295053	0.450796
