 	il	est	attentif	à	son	travail	</S>
a87	0.313363	0.192335	0.125076	0.130881	0.0825058	0.0837617	0.0720766
a10	0.234718	0.12482	0.103667	0.113867	0.100227	0.145271	0.17743
a87	0.201848	0.125327	0.0948836	0.0799896	0.0901347	0.15046	0.257356
a23	0.270718	0.140659	0.0856062	0.0726734	0.0823765	0.131011	0.216956
a79	0.221332	0.144362	0.0626792	0.0735001	0.0876438	0.155545	0.254938
a20	0.428816	0.282852	0.076744	0.0543179	0.0459744	0.0572871	0.0540086
a44	0.425199	0.328658	0.0927704	0.0588106	0.0366508	0.0327807	0.0251301
a26	0.415546	0.36379	0.0939077	0.0472328	0.0274791	0.0265034	0.0255411
a24	0.340549	0.37113	0.124369	0.0589244	0.0356313	0.0327044	0.0366918
a61	0.288744	0.328238	0.16723	0.0833462	0.0447907	0.0410802	0.0465706
a75	0.25619	0.337924	0.207461	0.100962	0.0380944	0.0279616	0.0314068
a41	0.211332	0.248702	0.194247	0.125434	0.076887	0.0670638	0.0763342
a11	0.159057	0.174085	0.188475	0.159784	0.107446	0.0981421	0.113011
a24	0.146957	0.189056	0.222732	0.185047	0.0917899	0.0737363	0.0906816
a96	0.106059	0.124557	0.186512	0.212167	0.153433	0.107316	0.109957
a24	0.119747	0.137695	0.180741	0.212055	0.153163	0.0989709	0.0976287
a41	0.102437	0.104961	0.142542	0.197887	0.19063	0.136698	0.124846
a25	0.0727912	0.0742372	0.0954252	0.172756	0.212907	0.175095	0.196789
a10	0.0253617	0.0290056	0.0473017	0.126458	0.220201	0.234451	0.317222
a11	0.0134519	0.0175265	0.0398529	0.111713	0.216265	0.240573	0.360617
a24	0.0163883	0.0178089	0.026436	0.0639834	0.151305	0.248953	0.475125
a31	0.0107343	0.0115075	0.0235207	0.0691998	0.170902	0.303144	0.410992
a43	0.0326651	0.026187	0.0358884	0.0695873	0.162295	0.288371	0.385007
a75	0.0188593	0.016177	0.020856	0.0436849	0.118256	0.305125	0.477041
a41	0.0143885	0.0153851	0.0229247	0.0496111	0.147354	0.319313	0.431024
a56	0.00918223	0.00993612	0.0160051	0.0402518	0.117197	0.317393	0.490035
a25	0.015281	0.0175895	0.0216341	0.0478987	0.128787	0.289321	0.479489
a90	0.0104506	0.0129165	0.0174819	0.0369175	0.112982	0.314495	0.494757
a98	0.0154543	0.0192447	0.0274068	0.0571078	0.138938	0.299999	0.44185
a73	0.0110201	0.0117049	0.0194691	0.0395411	0.118444	0.297288	0.502533
a69	0.00725659	0.00779564	0.0125951	0.0253898	0.089568	0.276941	0.580454
a58	0.00498408	0.00595866	0.0131094	0.0317768	0.0832773	0.26145	0.599443
a84	0.0024913	0.00221692	0.00441329	0.0114879	0.0455476	0.228928	0.704915
a87	0.00136616	0.00102645	0.00408803	0.0170057	0.0765108	0.249841	0.650162
</S>	0.0108612	0.00557223	0.00908242	0.0201669	0.0672022	0.260406	0.626709
