 	nous	irons	à	la	pêche	demain	</S>
a66	0.446364	0.216832	0.0654319	0.0298969	0.0507986	0.0977082	0.0929687
a87	0.651762	0.165617	0.0586651	0.0431159	0.0333014	0.0239498	0.0235884
a23	0.529342	0.148432	0.0551669	0.037875	0.0601917	0.0793525	0.0896394
a50	0.45784	0.1185	0.0570641	0.0584928	0.0881284	0.0933185	0.126656
a0	0.569005	0.135814	0.0965046	0.0777006	0.0529331	0.032387	0.0356557
a21	0.378657	0.158349	0.154627	0.115728	0.0842564	0.0521028	0.05628
a12	0.187375	0.212807	0.247194	0.177317	0.101154	0.0383572	0.0357966
a47	0.0924198	0.143324	0.268929	0.243467	0.142159	0.052433	0.0572674
a75	0.0659121	0.0644772	0.134032	0.213239	0.199439	0.160443	0.162459
a92	0.0663373	0.0619536	0.172142	0.243942	0.181379	0.133237	0.141009
a56	0.0504417	0.046815	0.103215	0.159508	0.182219	0.213236	0.244564
a96	0.0261807	0.0198291	0.0283885	0.0632199	0.138702	0.296846	0.426834
a88	0.00713913	0.00541279	0.00632626	0.017464	0.0675514	0.273005	0.623101
a31	0.000874902	0.00060297	0.000778429	0.0028206	0.022754	0.244141	0.728028
a47	0.000695885	0.000617736	0.00131585	0.00450203	0.0291513	0.265788	0.697929
a31	0.0029718	0.00311003	0.00642494	0.013994	0.0448124	0.266457	0.66223
a88	0.000670987	0.000806233	0.0023614	0.00649826	0.032033	0.305971	0.651659
a9	0.00398817	0.00331521	0.00529526	0.0114497	0.0487768	0.282485	0.64469
a10	0.110129	0.0841595	0.0527897	0.0531491	0.0885384	0.211347	0.399887
a87	0.474925	0.135409	0.0490537	0.0330824	0.0446028	0.0955064	0.16742
a23	0.398708	0.191544	0.073772	0.0416194	0.0466487	0.0909866	0.156722
a87	0.072569	0.0314511	0.0145109	0.012238	0.0266931	0.174026	0.668512
</S>	0.00776901	0.00365777	0.00302363	0.00536758	0.0168085	0.16113	0.802243
