 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
a66	0.108135	0.0613938	0.0864182	0.093075	0.113058	0.0806362	0.0898232	0.0844486	0.0533485	0.0440744	0.0496925	0.0411511	0.0316062	0.0318738	0.0312654
a87	0.103683	0.0722497	0.0795066	0.0810361	0.0827537	0.0657925	0.0658933	0.0722354	0.0592142	0.0522375	0.0479556	0.0415688	0.0394847	0.0577257	0.0786626
a23	0.266823	0.155585	0.131678	0.112946	0.0835371	0.0594637	0.0389518	0.0354399	0.0210286	0.0184556	0.0149483	0.0103531	0.0116078	0.016057	0.0231255
a87	0.312057	0.166145	0.139371	0.118012	0.0706398	0.0481133	0.0358634	0.0318034	0.0224394	0.0165029	0.0125225	0.00596135	0.00522877	0.00587433	0.00946596
a23	0.312433	0.15412	0.118513	0.101645	0.0643203	0.0514184	0.036929	0.0319024	0.0233335	0.0224985	0.0196251	0.016035	0.0147864	0.0146431	0.0177977
a87	0.373677	0.160235	0.10969	0.0799482	0.0459712	0.038308	0.0293815	0.0243842	0.0192507	0.0193666	0.0186579	0.016538	0.0182536	0.019739	0.0265989
a23	0.302004	0.132034	0.0943621	0.0836704	0.0545946	0.0519221	0.0405176	0.0347941	0.0282744	0.0309887	0.0280371	0.0261294	0.0281895	0.0291857	0.0352956
a99	0.332232	0.154736	0.0955567	0.0644798	0.0407432	0.041618	0.0343013	0.0287656	0.0248183	0.0253849	0.0244021	0.0239915	0.0301708	0.0346163	0.0441833
a87	0.324525	0.155889	0.0938801	0.0687577	0.043573	0.0503425	0.0386074	0.0272604	0.0210513	0.0201978	0.0210775	0.0236488	0.0289756	0.0366081	0.0456067
a23	0.298688	0.137029	0.0791524	0.0647763	0.0501551	0.0530687	0.0450328	0.0365445	0.0311435	0.0293685	0.0289795	0.0286416	0.0323124	0.0387333	0.0463739
a87	0.293106	0.154245	0.0936114	0.0721969	0.0541449	0.0465986	0.0402226	0.0313391	0.0264598	0.0246519	0.026373	0.0262186	0.0305625	0.0355392	0.0447301
a23	0.27461	0.120804	0.0743829	0.0695286	0.0568403	0.0514337	0.0450086	0.0371372	0.0318408	0.0314924	0.0317158	0.0346005	0.0412193	0.0458582	0.053527
a99	0.28373	0.139764	0.0851052	0.066719	0.0502116	0.0471061	0.0412129	0.0328185	0.0283541	0.0280488	0.0300514	0.0312394	0.0398707	0.0437911	0.0519779
a50	0.286653	0.151014	0.0893611	0.0689896	0.0529697	0.0477598	0.0404299	0.0292424	0.0241853	0.0223049	0.0259069	0.0301893	0.0368328	0.0431398	0.0510209
a83	0.258592	0.161777	0.103116	0.0718857	0.0629668	0.0500657	0.0445624	0.0347167	0.0269787	0.0240641	0.0284799	0.032094	0.0317284	0.0327195	0.0362521
a24	0.204063	0.149221	0.11598	0.0880328	0.0898133	0.0644572	0.0567211	0.049214	0.0369776	0.0289739	0.0280525	0.0249796	0.0207558	0.0199538	0.0228037
a11	0.131389	0.112814	0.117361	0.091449	0.110841	0.0625347	0.0571559	0.0543245	0.041586	0.0314038	0.0306145	0.0316222	0.0314017	0.0409548	0.054548
a90	0.103657	0.102044	0.120146	0.0972881	0.126027	0.0678465	0.0616197	0.0594879	0.0453471	0.0341928	0.0327157	0.032428	0.0303869	0.0376715	0.0491425
a13	0.10389	0.113425	0.119805	0.0919585	0.116044	0.0642082	0.0626271	0.0581795	0.0424524	0.0306111	0.0277392	0.027492	0.0314054	0.0452933	0.0648693
a50	0.057947	0.0788556	0.109883	0.0905872	0.130947	0.0640848	0.0594196	0.0573298	0.0433922	0.0328121	0.0312749	0.0349911	0.0417445	0.0659017	0.10083
a88	0.0262196	0.0443237	0.111228	0.108451	0.16481	0.078306	0.0773259	0.0758314	0.0579711	0.0360831	0.0303886	0.0250664	0.0273915	0.0474222	0.0891815
a62	0.0267508	0.0457086	0.104887	0.104924	0.162379	0.0764581	0.0747144	0.0732086	0.0552413	0.0372149	0.0322701	0.0291403	0.0314472	0.0527436	0.0929122
a12	0.0191801	0.0359622	0.105764	0.116552	0.171055	0.08582	0.0819644	0.07755	0.0576546	0.0379405	0.0316387	0.023767	0.0241064	0.0434586	0.0875866
a70	0.0196391	0.031975	0.0923981	0.101954	0.157132	0.0763386	0.0763145	0.0734904	0.054658	0.0380716	0.0337248	0.0324825	0.0342969	0.060104	0.117421
a54	0.0152462	0.0246516	0.0758767	0.0963613	0.154438	0.0831582	0.0820082	0.0776227	0.0575547	0.0415384	0.0370025	0.0357608	0.0364681	0.0616782	0.120634
a0	0.0124251	0.0218591	0.0661386	0.0901169	0.147906	0.0709109	0.0732418	0.0683596	0.0529793	0.0414388	0.0440581	0.0470457	0.0493259	0.0764482	0.137746
a11	0.0142158	0.022548	0.0634022	0.0904391	0.146797	0.0765936	0.0779649	0.0726461	0.0544641	0.0404707	0.0406401	0.0419274	0.043624	0.0723869	0.141881
a54	0.0159785	0.0221822	0.0566703	0.0801415	0.127999	0.0759004	0.0803688	0.0794181	0.0588162	0.0431059	0.039105	0.0441472	0.0448639	0.074925	0.156378
a20	0.0149337	0.0208961	0.0514557	0.0817515	0.135493	0.0652146	0.0701467	0.0622344	0.0457145	0.0399409	0.0463193	0.0695358	0.0771111	0.0922345	0.127018
a7	0.0163871	0.0223131	0.0518363	0.0858482	0.146727	0.0680341	0.0724205	0.062228	0.0455286	0.0397754	0.0489293	0.0629667	0.0723726	0.0872433	0.117389
a58	0.0100638	0.0168301	0.0426065	0.0622219	0.104019	0.0579422	0.0633168	0.0614339	0.047632	0.0416172	0.0464859	0.0677738	0.0812824	0.111765	0.18501
a4	0.00667424	0.00984882	0.0221222	0.0345339	0.05954	0.0435466	0.0489473	0.0524438	0.0411208	0.0363797	0.0359771	0.0591507	0.0806311	0.148291	0.320792
a93	0.0157238	0.0227087	0.0463955	0.0563959	0.0897228	0.0577319	0.0636941	0.0679476	0.0551078	0.0469788	0.052152	0.0624094	0.0782874	0.106809	0.177935
a70	0.00956595	0.0145927	0.0330913	0.0452273	0.0770272	0.0527911	0.0591857	0.0623571	0.0512764	0.0438891	0.0486175	0.0640398	0.0874981	0.131786	0.219055
a62	0.00684728	0.0113968	0.0265845	0.0401117	0.0701516	0.0486644	0.0575351	0.0650992	0.0565129	0.0476877	0.0485674	0.0569936	0.0768409	0.133824	0.253183
a12	0.00548005	0.008372	0.0191392	0.0301712	0.0514511	0.0331319	0.0416227	0.0521937	0.0467084	0.0407781	0.0401301	0.053477	0.0757886	0.145296	0.35626
a5	0.006646	0.0101117	0.0215754	0.0310354	0.0501085	0.0298973	0.036851	0.0453289	0.0409996	0.0359746	0.0386162	0.0491711	0.0769384	0.154218	0.372528
a41	0.00860679	0.0128811	0.025818	0.0329243	0.051649	0.0323539	0.0397685	0.0475395	0.0432775	0.0378537	0.0436863	0.0494688	0.0772123	0.151224	0.345736
a26	0.00815074	0.0117413	0.0250114	0.0329347	0.0498554	0.0281878	0.0361156	0.0421301	0.0367191	0.0334581	0.0405048	0.0500521	0.0804699	0.15799	0.366679
