 	le	féticheur	confectionna	un	breuvage	</S>
a10	0.209254	0.163955	0.207898	0.179098	0.125644	0.114151
a38	0.270698	0.192069	0.156925	0.126776	0.108362	0.14517
a94	0.368494	0.196632	0.135274	0.0802519	0.0786643	0.140684
a75	0.516591	0.213838	0.138988	0.0643865	0.0373323	0.0288637
a41	0.551537	0.201173	0.120756	0.0670086	0.0354731	0.0240527
a56	0.475512	0.261015	0.152388	0.056714	0.0295283	0.0248427
a75	0.436004	0.263595	0.183775	0.0612584	0.0309306	0.024437
a85	0.256449	0.232486	0.196596	0.11867	0.104071	0.0917284
a73	0.152341	0.183354	0.220922	0.148952	0.157665	0.136767
a76	0.108367	0.160452	0.28283	0.172399	0.154039	0.121913
a94	0.0912666	0.129801	0.267544	0.185305	0.173234	0.15285
a15	0.0814753	0.118934	0.248551	0.195149	0.189406	0.166485
a44	0.0743967	0.0937393	0.191112	0.182833	0.22679	0.23113
a26	0.0719644	0.0899158	0.174839	0.183097	0.240293	0.239891
a75	0.0331969	0.0410166	0.0803467	0.134952	0.267539	0.442949
a66	0.0315012	0.0374946	0.0659927	0.119392	0.294031	0.451588
a61	0.0126058	0.0147136	0.0310713	0.0840298	0.266742	0.590837
a31	0.00837547	0.0108956	0.0239111	0.0829183	0.274822	0.599078
a11	0.00776319	0.0100236	0.0216214	0.088125	0.278046	0.594421
a75	0.00497639	0.00635348	0.0130138	0.0603646	0.244295	0.670996
a98	0.00534822	0.00700365	0.0151557	0.0650583	0.248137	0.659297
a73	0.00473107	0.00588682	0.012622	0.0567734	0.225347	0.694639
a2	0.00911802	0.010559	0.018257	0.0598565	0.232614	0.669595
a57	0.00316655	0.00390935	0.00743572	0.0489057	0.24387	0.692712
a10	0.0193716	0.0147189	0.0192732	0.0681805	0.218662	0.659794
</S>	0.0353984	0.0265407	0.0268109	0.0729678	0.206875	0.631407
