 	notre	grand	père	a	porté	un	cache-sexe	</S>
a66	0.256219	0.207036	0.17221	0.141987	0.126439	0.0533178	0.0253815	0.0174095
a87	0.297699	0.165632	0.117901	0.12363	0.112779	0.076105	0.0532954	0.0529587
a23	0.375492	0.270683	0.15154	0.0783989	0.0492496	0.0231178	0.0247287	0.0267905
a87	0.332706	0.294009	0.142561	0.0646333	0.0348767	0.033508	0.0549247	0.0427809
a23	0.368979	0.302105	0.137062	0.0574106	0.0260082	0.0212648	0.0438693	0.043301
a40	0.31635	0.248011	0.121761	0.0718842	0.0524708	0.0492037	0.0696863	0.0706332
a47	0.247169	0.2085	0.205316	0.169743	0.114339	0.0344142	0.011944	0.00857429
a36	0.118342	0.13515	0.223465	0.257997	0.167006	0.0646981	0.020956	0.0123854
a0	0.148195	0.165731	0.229107	0.235197	0.117487	0.0595166	0.0262856	0.0184802
a75	0.188444	0.195732	0.236361	0.205065	0.103015	0.0417952	0.0161593	0.0134285
a6	0.0774554	0.107502	0.196793	0.249562	0.19474	0.100388	0.0379687	0.0355923
a37	0.0701374	0.0962783	0.171271	0.246197	0.195405	0.11454	0.0495356	0.0566358
a34	0.106754	0.126764	0.181134	0.21874	0.153934	0.0889736	0.053386	0.0703151
a75	0.0923142	0.121197	0.173877	0.189528	0.156461	0.106628	0.0733822	0.086612
a85	0.017005	0.0236871	0.0442927	0.0783493	0.123346	0.195779	0.231598	0.285942
a92	0.01034	0.0137	0.0256684	0.0541804	0.115572	0.206495	0.232628	0.341416
a5	0.0105792	0.0140192	0.0228335	0.0405426	0.0901564	0.200276	0.255295	0.366298
a12	0.0119017	0.0137364	0.0200625	0.0315771	0.0669582	0.185556	0.262022	0.408185
a96	0.00468462	0.00455723	0.00568378	0.0093459	0.0251277	0.122742	0.306376	0.521483
a18	0.0019634	0.00163744	0.00173559	0.0030246	0.0103046	0.0776969	0.272321	0.631317
a21	0.00165467	0.000950963	0.000976692	0.00180805	0.0052605	0.0277388	0.19603	0.76558
a12	0.00111653	0.000853518	0.000973368	0.00240501	0.0094622	0.0503132	0.223468	0.711408
a61	0.000519213	0.000382585	0.000469289	0.0014077	0.00636853	0.0403897	0.218125	0.732338
a12	0.000501211	0.000386499	0.000599595	0.00171484	0.00611623	0.0314608	0.210035	0.749185
a18	0.00070971	0.000588369	0.000891826	0.00268102	0.0107996	0.0436102	0.24445	0.696269
a25	0.0020643	0.00136019	0.00157973	0.00452423	0.0114043	0.0622192	0.253035	0.663813
a97	0.0612287	0.0388968	0.0358336	0.0370255	0.04042	0.0948066	0.182212	0.509577
a87	0.2049	0.143171	0.0872288	0.0543411	0.0417852	0.059291	0.135397	0.273886
a23	0.200787	0.12853	0.0775211	0.0538508	0.0397411	0.051811	0.17635	0.271409
a97	0.0467397	0.0231371	0.0134655	0.0107014	0.0123153	0.0372436	0.192927	0.663471
a23	0.00743168	0.00542493	0.00495001	0.00753508	0.0166364	0.0725675	0.244691	0.640763
a87	0.0162219	0.0114472	0.0102742	0.0124009	0.0178357	0.0569731	0.217983	0.656863
</S>	0.00859809	0.00679475	0.00650076	0.0107815	0.0223798	0.0795495	0.237868	0.627527
