 	cet	enfant-là	s'	initie	à	la	pratique	du	kyebé-kyebé	</S>
a87	0.118841	0.0812188	0.0769546	0.132563	0.190226	0.197227	0.106043	0.0550424	0.0259721	0.0159113
a10	0.20397	0.0906956	0.0691147	0.122966	0.152122	0.135602	0.108242	0.0565932	0.0367419	0.0239521
a87	0.274317	0.108052	0.0627493	0.0846241	0.0846822	0.103035	0.0793426	0.0577156	0.0683087	0.0771736
a83	0.307422	0.150166	0.0979229	0.0974946	0.0732633	0.0777463	0.0610925	0.0464562	0.0466387	0.0417975
a54	0.341644	0.0995085	0.0743254	0.0773658	0.0855671	0.0783159	0.0542466	0.0589283	0.0606534	0.0694454
a6	0.45253	0.13181	0.105559	0.0690719	0.0610082	0.0423827	0.0250332	0.0284089	0.0369644	0.0472316
a37	0.336184	0.170019	0.139866	0.0891887	0.0755917	0.0555854	0.0297659	0.0276321	0.034227	0.0419406
a6	0.320708	0.16641	0.147372	0.0935102	0.080279	0.0638944	0.033573	0.0313486	0.0308983	0.0320059
a79	0.196108	0.162934	0.153411	0.108948	0.110786	0.0858251	0.0444804	0.0393264	0.0444504	0.0537303
a93	0.156568	0.186327	0.188801	0.151742	0.123527	0.0750117	0.0329357	0.0260495	0.0270357	0.032002
a90	0.133535	0.174693	0.174268	0.146297	0.141747	0.0849062	0.0346653	0.0284987	0.0333291	0.0480614
a20	0.111637	0.176694	0.17192	0.143909	0.13405	0.0852461	0.0404586	0.03235	0.0403988	0.0633352
a47	0.0635224	0.16424	0.162691	0.156397	0.129351	0.0851586	0.0536055	0.046584	0.0565817	0.0818684
a37	0.0677456	0.174064	0.153534	0.16547	0.123507	0.0763679	0.0461805	0.0410196	0.0566707	0.0954409
a34	0.0681813	0.142106	0.122451	0.163735	0.144972	0.105723	0.0584143	0.0456818	0.0519807	0.0967546
a96	0.064944	0.135095	0.119997	0.153118	0.141673	0.115814	0.0728	0.0512774	0.055072	0.0902101
a66	0.0638754	0.115138	0.0951683	0.12021	0.129614	0.133339	0.112957	0.0729011	0.0659333	0.0908638
a98	0.0208266	0.0429266	0.03559	0.0533638	0.0824514	0.122424	0.165605	0.145428	0.13763	0.193755
a85	0.0556006	0.0783762	0.0606209	0.0579717	0.0590079	0.0607217	0.0953923	0.117942	0.146182	0.268185
a61	0.0478523	0.0638074	0.0582689	0.0483437	0.0469934	0.0476762	0.0905913	0.130944	0.174764	0.290759
a21	0.038773	0.0522726	0.0432715	0.0400761	0.0449092	0.0468724	0.0805636	0.126921	0.201759	0.324581
a18	0.0459456	0.0543273	0.043675	0.0354974	0.0367853	0.034552	0.0620143	0.115942	0.214663	0.356598
a62	0.00642631	0.0088744	0.00691615	0.00846312	0.0099894	0.0155268	0.0440718	0.109154	0.22593	0.564648
a47	0.00502936	0.00804713	0.00617048	0.00736466	0.00879056	0.0139783	0.0459238	0.123586	0.268699	0.512411
a88	0.00268267	0.0035494	0.00358663	0.00562479	0.00824764	0.0136723	0.0495471	0.126588	0.245938	0.540564
a71	0.00207299	0.0023851	0.00206369	0.00342501	0.00431434	0.00676141	0.0347691	0.104379	0.237899	0.601931
a62	0.0101426	0.00676009	0.00587205	0.00884268	0.0139253	0.0180899	0.0684621	0.132197	0.225925	0.509783
a83	0.00172321	0.00200175	0.00187035	0.00334449	0.00466132	0.00871319	0.0448799	0.122919	0.257953	0.551934
a9	0.00406652	0.00343288	0.00286742	0.00490104	0.0078015	0.013077	0.0575895	0.135721	0.254913	0.51563
a87	0.0221653	0.0132488	0.00853717	0.0168212	0.0320131	0.0416102	0.128707	0.170106	0.239953	0.326838
a10	0.0444177	0.0391042	0.0284927	0.0632121	0.0802118	0.084086	0.155123	0.159242	0.180514	0.165597
a87	0.0399082	0.0374614	0.0303471	0.0592227	0.0756134	0.0829638	0.117218	0.146605	0.203309	0.207352
a23	0.0512832	0.0567154	0.0413229	0.0857176	0.0970602	0.0890398	0.117242	0.127027	0.166162	0.16843
a87	0.0246622	0.0265835	0.0116587	0.0239422	0.0278186	0.0302637	0.0671605	0.108859	0.265611	0.413441
</S>	0.0112861	0.0136971	0.00725441	0.0146201	0.0161303	0.0179455	0.04687	0.0898604	0.256994	0.525342
