 	okomba	a	a	quitté	l'	école	pour	la	campagne	où	il	vit	misérablement	</S>
a87	0.0748953	0.0559106	0.0597294	0.0607555	0.0645396	0.0749237	0.0998053	0.107228	0.147085	0.0781854	0.0624679	0.0779927	0.028047	0.00843553
a23	0.153468	0.0996836	0.0766995	0.07824	0.0522601	0.0351762	0.02766	0.027384	0.0417255	0.0321693	0.0489329	0.138217	0.118777	0.069608
a30	0.111874	0.0977785	0.0924665	0.103484	0.0957934	0.0915831	0.0813528	0.063637	0.0555312	0.0317473	0.0325565	0.0532335	0.0294049	0.0595577
a4	0.141398	0.114702	0.113661	0.114963	0.101817	0.0808954	0.0745856	0.0455073	0.0414474	0.0244646	0.0248296	0.0540668	0.0345044	0.0331595
a57	0.229587	0.185489	0.155327	0.105497	0.0934231	0.0564748	0.0577274	0.0378257	0.0226035	0.0116159	0.00925514	0.00951728	0.00667943	0.018978
a9	0.162149	0.172787	0.156161	0.124374	0.116735	0.081957	0.0721047	0.0367194	0.0173194	0.00984597	0.00994463	0.0122585	0.00698936	0.0206555
a53	0.106556	0.10911	0.113116	0.0881103	0.0816688	0.0680949	0.0594981	0.0433811	0.0319863	0.0253815	0.0329883	0.0691512	0.0687745	0.102182
a4	0.156503	0.167518	0.145545	0.122124	0.101961	0.0813617	0.0741412	0.0472436	0.0227432	0.0141532	0.0120886	0.0140121	0.0128296	0.0277758
a13	0.0784678	0.0982729	0.0951865	0.0968108	0.123936	0.136278	0.127776	0.0938964	0.0391422	0.025789	0.0203262	0.0198605	0.0197332	0.0245243
a15	0.0622006	0.0832308	0.0945069	0.100728	0.135893	0.136783	0.120196	0.0855139	0.0350013	0.0272796	0.0256183	0.0265751	0.0340023	0.0324709
a44	0.041425	0.0492641	0.0648102	0.0829183	0.126284	0.144969	0.129622	0.110091	0.0581324	0.0481416	0.0425598	0.0351145	0.0342783	0.0323887
a84	0.0415888	0.0471067	0.0625438	0.0810609	0.126392	0.148439	0.134576	0.112486	0.054491	0.0455967	0.041098	0.0357787	0.0335208	0.0353226
a75	0.0245128	0.0263276	0.0426791	0.057755	0.062376	0.0783418	0.0770855	0.0862457	0.0554833	0.0552233	0.0655541	0.104144	0.152154	0.112118
