 	la	peau	du	silure	électrique	est	très	molle	</S>
a66	0.320907	0.236569	0.153568	0.106176	0.0700932	0.0365234	0.0349781	0.0209786	0.0202071
a87	0.320759	0.196164	0.129296	0.14822	0.0921263	0.0512226	0.028666	0.0204893	0.0130575
a23	0.440597	0.236629	0.132895	0.0858918	0.0371632	0.0161473	0.0140731	0.0208184	0.0157855
a87	0.380079	0.207764	0.145671	0.118648	0.0538624	0.0197338	0.0131908	0.0240502	0.0370008
a23	0.394218	0.199785	0.132268	0.125824	0.0565546	0.0309293	0.0187201	0.0202133	0.0214885
a18	0.319314	0.160656	0.136258	0.141943	0.0887435	0.0428841	0.0287111	0.0371181	0.0443734
a85	0.251101	0.181013	0.200814	0.157325	0.0946185	0.0352911	0.0267822	0.0252529	0.0278019
a5	0.228873	0.200231	0.22871	0.13757	0.10111	0.0325775	0.0247212	0.0200823	0.0261243
a18	0.146324	0.162105	0.203844	0.193665	0.164904	0.0649746	0.0349352	0.0144602	0.014787
a24	0.0996491	0.108832	0.151279	0.185985	0.215243	0.133308	0.0601556	0.0238515	0.0216956
a12	0.0602522	0.0620895	0.0814281	0.135629	0.193641	0.224851	0.134158	0.0555314	0.0524198
a31	0.0576785	0.0709487	0.0876029	0.154019	0.212597	0.252369	0.105166	0.0322817	0.0273366
a62	0.0388251	0.0476372	0.059582	0.134318	0.210121	0.298087	0.133813	0.0399978	0.0376183
a21	0.0324054	0.0403993	0.0478913	0.114227	0.16119	0.271209	0.197041	0.0734983	0.0621393
a47	0.0260514	0.0305741	0.0369519	0.0764831	0.102189	0.213529	0.22996	0.147937	0.136325
a31	0.0246178	0.0302601	0.0388965	0.08042	0.105329	0.200394	0.231391	0.152122	0.136569
a62	0.0122951	0.0139325	0.0166676	0.0355248	0.0438295	0.114443	0.224079	0.252664	0.286564
a47	0.00791684	0.00941651	0.0109266	0.0180658	0.0205759	0.0641192	0.165937	0.304386	0.398657
a31	0.00431521	0.00540878	0.00721382	0.0143707	0.0164557	0.039445	0.10223	0.284759	0.525801
a88	0.00180567	0.00200211	0.00234361	0.00354089	0.00438227	0.0195229	0.0751241	0.307311	0.583968
a9	0.00106559	0.00140334	0.00179306	0.00258522	0.00388834	0.014601	0.0590904	0.250903	0.66467
a87	0.014066	0.0134285	0.013126	0.0111943	0.0157221	0.0289793	0.0887199	0.203855	0.610909
a23	0.0575668	0.0386718	0.036321	0.0499106	0.0801542	0.0846729	0.12559	0.184493	0.342619
a87	0.0124947	0.00725541	0.00670615	0.00858723	0.0144179	0.0212724	0.0506043	0.22076	0.657902
</S>	0.00793065	0.00439801	0.00349144	0.00379051	0.00665577	0.0137574	0.0476307	0.229403	0.682942
