 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
a23	0.158133	0.125548	0.126312	0.128899	0.116015	0.0708093	0.0539708	0.0504664	0.0424009	0.0426114	0.0436602	0.0411743
a87	0.278911	0.178146	0.101378	0.093243	0.0947209	0.0811078	0.0508071	0.0322193	0.0230056	0.0233154	0.0221651	0.0209819
a23	0.214477	0.160988	0.102665	0.103623	0.0911531	0.0724074	0.0478894	0.0345029	0.0322951	0.0361928	0.0458831	0.0579222
a87	0.262333	0.193096	0.12348	0.132136	0.10507	0.0601408	0.0267289	0.0183159	0.0149115	0.0156014	0.0191469	0.0290398
a38	0.188243	0.151983	0.117493	0.135494	0.123945	0.0837563	0.0493412	0.0360837	0.0276263	0.0225983	0.0234441	0.0399928
a30	0.22647	0.189076	0.142023	0.13653	0.101612	0.0655329	0.0328585	0.0252623	0.0211462	0.0192739	0.0175978	0.0226175
a41	0.224412	0.191964	0.163299	0.151849	0.110579	0.0647658	0.0287234	0.0188042	0.0125685	0.0113955	0.00971429	0.0119254
a94	0.198372	0.166497	0.157617	0.151113	0.127835	0.0882129	0.0441535	0.0256117	0.0144367	0.0100693	0.00774774	0.00833506
a41	0.185617	0.180642	0.173516	0.158822	0.127107	0.0811738	0.0368072	0.0196978	0.0122257	0.00857268	0.00722406	0.00859459
a96	0.134625	0.157445	0.17214	0.176073	0.150549	0.0976296	0.0462022	0.0227511	0.0141773	0.00950803	0.00846047	0.0104395
a18	0.131745	0.153898	0.169033	0.175542	0.148474	0.0944613	0.0456515	0.0241825	0.0160744	0.0129737	0.0120822	0.0158834
a75	0.0974469	0.122095	0.145422	0.169924	0.16279	0.122385	0.0624057	0.0329498	0.0220876	0.0193062	0.0184667	0.0247217
a73	0.0849826	0.10596	0.136407	0.175747	0.175033	0.131349	0.0715668	0.0380669	0.0229682	0.0183329	0.0172222	0.0223645
a94	0.0705044	0.0867969	0.113706	0.166447	0.178222	0.141853	0.0778086	0.0453583	0.0293808	0.0269354	0.0270884	0.0359004
a98	0.0540174	0.0623979	0.0818847	0.136166	0.163282	0.15335	0.10066	0.067724	0.0471236	0.0419281	0.0398374	0.0516302
a41	0.0544319	0.06168	0.0762534	0.109377	0.117651	0.115464	0.0905143	0.0716796	0.0585136	0.0623519	0.0725223	0.109561
a47	0.0572948	0.0608844	0.0722112	0.0831143	0.0820635	0.0833041	0.0854704	0.0876077	0.0875444	0.0979466	0.0923357	0.110223
a24	0.0460474	0.0439841	0.0452983	0.0479655	0.0487244	0.0588517	0.0731483	0.0895901	0.102634	0.129694	0.133613	0.180449
a41	0.0275695	0.0241839	0.021556	0.0179271	0.0173606	0.0267517	0.0499197	0.0831589	0.114296	0.174048	0.19457	0.248659
a31	0.0434071	0.0384457	0.0352472	0.0306858	0.0277686	0.0406248	0.0679034	0.0941913	0.118954	0.151664	0.161558	0.18955
a62	0.0257076	0.021872	0.0186178	0.0164466	0.0141328	0.0200056	0.0346229	0.0568417	0.0949077	0.16255	0.234719	0.299576
a98	0.0288718	0.0237718	0.0193571	0.0173062	0.0137411	0.0158162	0.0225588	0.0363292	0.0633748	0.12944	0.242071	0.387362
a90	0.0254686	0.0210334	0.0186346	0.012999	0.0111815	0.0159526	0.0306429	0.0558395	0.0985563	0.168749	0.251532	0.28941
a41	0.0331445	0.025779	0.0225219	0.0153062	0.0141281	0.0180409	0.029233	0.0512431	0.094909	0.169946	0.236955	0.288793
a43	0.014963	0.0106185	0.00901315	0.00664318	0.00625949	0.0102118	0.0242682	0.0520689	0.112808	0.216636	0.27088	0.26563
a32	0.0142726	0.00955348	0.0067718	0.00543921	0.00483212	0.00761474	0.0140169	0.0262431	0.0629531	0.146931	0.2846	0.416772
a75	0.0112704	0.00752571	0.00490195	0.00366585	0.00251431	0.00325908	0.00558275	0.0107529	0.033569	0.111239	0.282921	0.522798
a41	0.0150959	0.00919099	0.00608734	0.00470485	0.0042578	0.00638811	0.0132344	0.0308842	0.0803752	0.196167	0.286924	0.34669
a24	0.0113859	0.00673505	0.00456633	0.00382557	0.00375182	0.00592702	0.0135222	0.0343511	0.0902371	0.218391	0.295681	0.311626
a41	0.0111863	0.00700442	0.00450698	0.00304181	0.00219753	0.00300286	0.00664806	0.0154162	0.0488088	0.150908	0.307569	0.43971
a18	0.0132636	0.0080937	0.00535177	0.00455249	0.00362276	0.00453021	0.00846105	0.0194936	0.0561644	0.175362	0.310023	0.391082
a76	0.0183858	0.0124599	0.00808763	0.00636626	0.00435107	0.00434502	0.00598043	0.0106829	0.0308883	0.0969038	0.260407	0.541142
a41	0.00841035	0.00543409	0.0035905	0.00311639	0.00290296	0.00438213	0.00875722	0.0201444	0.0531851	0.154281	0.286402	0.449393
a26	0.00958182	0.00599908	0.00385937	0.00309228	0.00261187	0.00371996	0.00770636	0.0188925	0.0562973	0.174084	0.311226	0.402929
a24	0.00585521	0.00376863	0.00235986	0.00257627	0.00203163	0.00229283	0.00369504	0.00815308	0.0276652	0.100867	0.273081	0.567654
a98	0.0072691	0.00472472	0.0027073	0.00225478	0.00140475	0.00121619	0.00177199	0.00408159	0.0156161	0.0780188	0.284774	0.596161
a24	0.00662743	0.00412927	0.0023898	0.00251813	0.00181665	0.00184651	0.00309844	0.00822382	0.0293094	0.119485	0.286186	0.53437
a9	0.00761158	0.00488624	0.00292262	0.00241716	0.00159929	0.00160438	0.00259401	0.00615483	0.0208516	0.0927816	0.289652	0.566924
a87	0.00350735	0.00261516	0.00213114	0.0026359	0.00239195	0.0024955	0.00384311	0.00741843	0.022114	0.0765532	0.255686	0.618609
</S>	0.00588653	0.00354367	0.00249618	0.00334583	0.00268567	0.00264096	0.00531424	0.0128034	0.0395925	0.115058	0.267574	0.53906
