 	son	boubou	lui	va	bien	</S>
a79	0.170855	0.256202	0.192862	0.160629	0.12408	0.0953718
a69	0.241717	0.202693	0.134097	0.13069	0.125323	0.16548
a58	0.508345	0.102355	0.0864397	0.090838	0.0982525	0.113769
a84	0.535622	0.120145	0.0791347	0.0670605	0.0885204	0.109517
a40	0.242912	0.187254	0.106976	0.110837	0.146768	0.205253
a98	0.24065	0.229606	0.159492	0.114364	0.115802	0.140086
a85	0.247072	0.222777	0.178288	0.128903	0.111489	0.111471
a37	0.187604	0.209332	0.178619	0.144733	0.137051	0.142661
a85	0.254902	0.289288	0.159808	0.0991889	0.0881215	0.108692
a15	0.15062	0.211649	0.179721	0.153845	0.152047	0.152119
a79	0.132715	0.227487	0.173115	0.155234	0.151935	0.159514
a37	0.153937	0.246801	0.185596	0.150739	0.132356	0.130571
a56	0.13132	0.25645	0.229383	0.165364	0.110724	0.106759
a90	0.102613	0.26241	0.229703	0.175953	0.113698	0.115623
a4	0.101401	0.228561	0.197949	0.184224	0.132823	0.155042
a57	0.0782136	0.170176	0.184398	0.22647	0.169311	0.171432
a53	0.0163083	0.0595202	0.0718713	0.157744	0.244449	0.450107
a90	0.0270182	0.0886751	0.103505	0.194302	0.237801	0.3487
a98	0.0334496	0.0854509	0.0918317	0.175864	0.233252	0.380151
a25	0.0293516	0.0648926	0.0651034	0.148831	0.238247	0.453574
a90	0.00897891	0.0390551	0.042513	0.127505	0.257484	0.524464
a4	0.00826825	0.0438057	0.0512298	0.134573	0.260697	0.501426
a26	0.00857591	0.0338407	0.0427501	0.114305	0.243761	0.556767
a75	0.014364	0.0390852	0.0592079	0.15612	0.264675	0.466548
a12	0.0104392	0.0371384	0.0518901	0.131822	0.267578	0.501132
a18	0.0101594	0.0290308	0.0452465	0.127109	0.267086	0.521369
a25	0.00877072	0.0209169	0.0433457	0.141639	0.275547	0.509781
a10	0.0212345	0.0410633	0.08154	0.221522	0.278684	0.355956
a87	0.0537643	0.0837964	0.119345	0.214999	0.252506	0.275589
a23	0.040889	0.0812986	0.124822	0.214061	0.25525	0.283679
a87	0.0457867	0.111198	0.125339	0.200622	0.230215	0.28684
</S>	0.0388056	0.100098	0.105899	0.184406	0.231109	0.339682
