 	le	vêtement	est	accroché	au	mur	</S>
a66	0.414548	0.229287	0.115513	0.0895768	0.0626395	0.0443175	0.0441187
a87	0.398869	0.236561	0.102147	0.0665679	0.0635216	0.0629327	0.0694005
a23	0.528927	0.258551	0.0735309	0.0330351	0.0277294	0.0355866	0.04264
a20	0.45267	0.245972	0.103866	0.039322	0.0429321	0.0512637	0.0639744
a58	0.362086	0.269083	0.139587	0.062321	0.0568582	0.0537926	0.0562718
a84	0.292632	0.265205	0.140105	0.0683828	0.0663204	0.0813068	0.086048
a54	0.194091	0.232213	0.161573	0.101605	0.095266	0.105718	0.109534
a36	0.270185	0.318153	0.182707	0.0957065	0.0568258	0.0444647	0.0319577
a37	0.116073	0.180227	0.193253	0.16367	0.121858	0.117289	0.10763
a54	0.124556	0.158899	0.170355	0.151383	0.11758	0.131669	0.145558
a36	0.13259	0.176568	0.177958	0.141014	0.100224	0.124438	0.147207
a2	0.101905	0.140749	0.121849	0.108048	0.10306	0.169459	0.25493
a57	0.06356	0.097612	0.112882	0.14554	0.142516	0.174357	0.263533
a87	0.075742	0.0974246	0.09534	0.134357	0.141992	0.175957	0.279187
a23	0.0904903	0.0678773	0.0726046	0.102182	0.144778	0.235704	0.286364
a53	0.050475	0.0402665	0.0544024	0.0844604	0.114764	0.265052	0.390579
a44	0.0611985	0.0942261	0.16733	0.17301	0.159164	0.184244	0.160828
a70	0.0395818	0.0591458	0.140386	0.202324	0.192393	0.19683	0.16934
a88	0.00796282	0.00980126	0.030235	0.0844589	0.194753	0.344796	0.327993
a71	0.0075354	0.00880969	0.0228108	0.0577486	0.163968	0.326229	0.412899
a82	0.0109991	0.0134134	0.031154	0.0604818	0.151522	0.282735	0.449695
a54	0.0377519	0.0336898	0.0484239	0.0682248	0.138808	0.254082	0.41902
a6	0.0159089	0.01374	0.0283446	0.0517809	0.119906	0.272228	0.498091
a37	0.01066	0.0111649	0.0224073	0.0459355	0.115232	0.313903	0.480697
a92	0.00263117	0.00367263	0.00886165	0.0225782	0.0904345	0.317017	0.554805
a37	0.00306589	0.00446465	0.0104308	0.0302905	0.104121	0.338255	0.509372
a5	0.00143124	0.00214149	0.00577921	0.0185884	0.08508	0.3063	0.58068
a37	0.00161108	0.00214056	0.00552593	0.0154341	0.0747598	0.310037	0.590491
a44	0.00104727	0.00136689	0.00341601	0.0110547	0.0569898	0.260799	0.665327
a98	0.000979332	0.00147602	0.00431213	0.0141725	0.0666884	0.246426	0.665946
a47	0.00063808	0.000875309	0.00224196	0.00843382	0.0505757	0.262372	0.674863
a6	0.000717819	0.000934626	0.00267324	0.010206	0.0614166	0.30928	0.614772
a5	0.00101896	0.00129764	0.00295868	0.0102264	0.0582592	0.29236	0.633879
a18	0.001584	0.00206324	0.00528427	0.0208952	0.0915134	0.293256	0.585404
a88	0.00931655	0.0101979	0.0228828	0.0624809	0.166702	0.31224	0.41618
a71	0.00899654	0.0107079	0.023831	0.0544369	0.1471	0.316431	0.438496
a9	0.039314	0.0319597	0.0498264	0.101669	0.181246	0.265924	0.33006
a87	0.140846	0.0728252	0.0713548	0.111394	0.159609	0.20218	0.241791
a23	0.262229	0.119879	0.0757638	0.0928455	0.123808	0.159087	0.166387
a87	0.292869	0.130345	0.0871422	0.0827529	0.108051	0.147347	0.151492
</S>	0.0649817	0.0319887	0.0304336	0.0571535	0.125792	0.279968	0.409683
