 	le	récolteur	de	vin	de	palme	est	en	train	de	tailler	le	palmier	</S>
a66	0.203817	0.166499	0.148403	0.119013	0.0911384	0.0680202	0.0516062	0.0413858	0.0344074	0.0278458	0.018867	0.0118198	0.00931299	0.00786378
a87	0.37196	0.216492	0.135846	0.0699119	0.0330835	0.0244626	0.0230822	0.0243908	0.0250629	0.0227496	0.0155964	0.0127912	0.01304	0.0115302
a23	0.278378	0.234221	0.145431	0.0841589	0.0523019	0.0457955	0.0396715	0.0249344	0.0184329	0.0148496	0.0125497	0.012907	0.0174359	0.0189331
a20	0.179782	0.150218	0.0897589	0.0475463	0.0425656	0.0517292	0.0604194	0.0489541	0.0520314	0.0563257	0.040425	0.0451851	0.0620271	0.0730323
a4	0.194599	0.165301	0.149139	0.10914	0.0755711	0.0628198	0.0569971	0.0523065	0.0449487	0.028092	0.0143718	0.0151359	0.0157591	0.0158197
a58	0.17765	0.149911	0.171124	0.170057	0.111905	0.0670312	0.0470142	0.0339303	0.0230113	0.014478	0.00630301	0.00906303	0.0093959	0.00912666
a15	0.0683296	0.0677963	0.100894	0.140388	0.156264	0.118713	0.0897043	0.075801	0.0525107	0.0387982	0.0235108	0.0251971	0.021746	0.0203476
a92	0.0604336	0.0852574	0.113465	0.146494	0.123145	0.0856209	0.0686245	0.0727392	0.0593276	0.0454755	0.0300368	0.0372658	0.0344372	0.037678
a37	0.0302933	0.0492336	0.0950277	0.167847	0.17255	0.128192	0.0866655	0.0744309	0.049341	0.0338616	0.0211208	0.0269751	0.0309674	0.0334935
a94	0.0259484	0.0338751	0.0632485	0.135382	0.182934	0.186763	0.133642	0.084664	0.0468152	0.0284567	0.014842	0.0169018	0.0214834	0.0250443
a90	0.0178138	0.0201078	0.0447164	0.110186	0.184351	0.201831	0.14981	0.0926069	0.0516038	0.0334104	0.0181954	0.0189774	0.0252258	0.0311644
a79	0.0164205	0.0211051	0.0487394	0.116064	0.182199	0.187266	0.137877	0.0922736	0.0562584	0.039302	0.0215819	0.0215444	0.0272975	0.0320705
a98	0.0170181	0.0189745	0.0442031	0.0973901	0.160875	0.17382	0.140019	0.0998628	0.0677532	0.053439	0.0315529	0.0267633	0.0329089	0.0354198
a47	0.0225009	0.0259232	0.0625344	0.105092	0.141535	0.124043	0.100325	0.0955929	0.0778788	0.0676784	0.0475855	0.040352	0.0451494	0.0438087
a36	0.011046	0.0126031	0.0331288	0.0610825	0.112836	0.115385	0.102932	0.104289	0.0852795	0.0652608	0.050114	0.0632188	0.0801127	0.102712
a0	0.0107699	0.0169284	0.0313064	0.0431936	0.0696233	0.0693352	0.0663245	0.0881801	0.0855159	0.0662735	0.0658851	0.0911599	0.123974	0.171531
a37	0.00807083	0.0107329	0.0139839	0.0159321	0.0323824	0.0461749	0.0543318	0.0660192	0.0713011	0.0698724	0.0933429	0.122475	0.174371	0.22101
a62	0.00679443	0.00802032	0.0102347	0.0114976	0.0241062	0.0397287	0.0525161	0.0597991	0.0716199	0.0844307	0.126347	0.131306	0.173598	0.200001
a88	0.00431549	0.0041515	0.00583271	0.00781932	0.0208814	0.039359	0.0518521	0.0559041	0.0673037	0.0845831	0.154748	0.152172	0.172421	0.178657
a12	0.00387101	0.00527468	0.00617451	0.00600276	0.0117393	0.0211918	0.031093	0.0364747	0.0519225	0.073802	0.131099	0.161706	0.217738	0.241911
a18	0.00201165	0.00242826	0.00300272	0.00347609	0.00861955	0.017778	0.0276336	0.0342892	0.0502813	0.0735466	0.144528	0.191876	0.227262	0.213267
a27	0.00759443	0.00954143	0.011138	0.0105431	0.0108731	0.0177902	0.0232136	0.0354301	0.0529369	0.0623905	0.0836345	0.128451	0.221859	0.324604
a82	0.0716545	0.0624096	0.0525376	0.0492097	0.0409927	0.0582529	0.0557633	0.0685814	0.078452	0.0677791	0.0638091	0.0791651	0.10323	0.148163
a87	0.157319	0.127761	0.0845032	0.0682245	0.054878	0.0611685	0.0483411	0.056595	0.0594804	0.0560074	0.0548127	0.049382	0.0538699	0.0676567
a23	0.222109	0.242154	0.151732	0.0951462	0.0493263	0.0359262	0.0260811	0.0302096	0.0311948	0.0262994	0.0231399	0.0217732	0.0213819	0.023527
a87	0.156715	0.127287	0.096995	0.0613982	0.0381543	0.0224599	0.0151126	0.0201735	0.0255986	0.0300508	0.056947	0.0951388	0.132823	0.121146
</S>	0.0342935	0.0309832	0.0280526	0.0232656	0.0200733	0.0124795	0.00974368	0.0136453	0.019963	0.0260779	0.0631407	0.15764	0.281294	0.279347
