 	le	père	de	cet	enfant-ci	est	le	chef	du	village	</S>
a66	0.365663	0.146651	0.0852573	0.0800549	0.0707475	0.0700471	0.0558388	0.0512036	0.0336024	0.0230355	0.0178984
a87	0.168587	0.083324	0.0829476	0.0937506	0.0905284	0.0820021	0.0749794	0.0800417	0.0713715	0.0788144	0.0936536
a97	0.165164	0.0836065	0.068894	0.0691098	0.117618	0.131069	0.104663	0.0947227	0.0666034	0.050243	0.0483074
a79	0.182982	0.0960697	0.0777492	0.071311	0.107639	0.123312	0.098659	0.0871031	0.0609813	0.0480013	0.0461931
a98	0.338937	0.121499	0.0671247	0.0539289	0.0815942	0.0852168	0.0651563	0.071823	0.0463439	0.0371313	0.0312446
a47	0.300696	0.174212	0.108162	0.0879776	0.0732173	0.0602072	0.0495261	0.0502187	0.0379976	0.031191	0.0265955
a98	0.18581	0.165135	0.12678	0.101925	0.0839738	0.0678054	0.064044	0.0622461	0.0517588	0.0469421	0.0435788
a92	0.18844	0.172382	0.14522	0.116858	0.0886991	0.0667005	0.0575976	0.0530992	0.0417946	0.0358776	0.0333307
a25	0.175473	0.16841	0.151924	0.114113	0.0828322	0.0629211	0.0598233	0.0509484	0.0440733	0.0425384	0.0469434
a79	0.119308	0.143523	0.145648	0.121661	0.10015	0.0783214	0.0689801	0.0591001	0.0500921	0.0514897	0.0617273
a56	0.0662577	0.0879935	0.103734	0.136754	0.138958	0.104911	0.0880741	0.0684168	0.0577042	0.0648428	0.0823543
a93	0.0448971	0.0591884	0.0880299	0.137838	0.152548	0.132912	0.111354	0.0869021	0.0654615	0.0586251	0.0622446
a4	0.015569	0.0266745	0.056253	0.12001	0.160029	0.148788	0.134711	0.105417	0.0797904	0.0725024	0.0802554
a53	0.0108371	0.0148141	0.0293563	0.0626711	0.138165	0.162491	0.160519	0.133877	0.0990647	0.0915808	0.0966242
a44	0.00811828	0.010243	0.0185511	0.0385005	0.0979126	0.137045	0.151447	0.146218	0.12063	0.126986	0.144349
a75	0.00537864	0.00693802	0.0132534	0.0283911	0.0733651	0.11527	0.14092	0.150485	0.134612	0.154164	0.177223
a79	0.0045883	0.00761717	0.0167766	0.0362744	0.0612937	0.0776277	0.0903999	0.111983	0.135207	0.192141	0.266091
a7	0.00252471	0.0038725	0.00837815	0.0178745	0.0471255	0.0719746	0.095751	0.128197	0.153943	0.216735	0.253625
a4	0.00212213	0.00285596	0.00630495	0.013118	0.0413598	0.0688061	0.0921349	0.122116	0.130116	0.227112	0.293953
a57	0.00360462	0.00513062	0.010967	0.021956	0.0531179	0.0769787	0.101281	0.124895	0.140408	0.216219	0.245443
a9	0.0065348	0.00721663	0.0123653	0.0219961	0.0468791	0.0595724	0.0840863	0.0918163	0.107805	0.213963	0.347766
a3	0.0432261	0.0366663	0.0400031	0.0436634	0.0693945	0.08488	0.10106	0.111089	0.117137	0.156184	0.196697
a99	0.0887635	0.0477298	0.0380903	0.033489	0.0688975	0.0910292	0.118513	0.140615	0.134329	0.124323	0.114221
a97	0.0263096	0.0162533	0.0199627	0.0281104	0.0623812	0.0835162	0.11682	0.150431	0.162979	0.175742	0.157494
a87	0.0242709	0.0168573	0.0194859	0.0283891	0.0765241	0.0998746	0.128315	0.144636	0.154755	0.157965	0.148927
a97	0.0317574	0.0214571	0.0228087	0.0307593	0.0836409	0.108747	0.127771	0.136447	0.146933	0.147114	0.142564
a11	0.0363718	0.0301739	0.0348342	0.0415351	0.0798221	0.0942018	0.113652	0.115995	0.134318	0.149429	0.169668
</S>	0.0419221	0.0294223	0.0300388	0.0283933	0.0574213	0.0737697	0.108019	0.127005	0.153261	0.168135	0.182612
