 	la	cour	de	l'	école	est	humide	à	cause	de	la	pluie	qui	est	tombée	hier	</S>
a66	0.164611	0.156238	0.132455	0.121037	0.115325	0.0935164	0.0648533	0.0301937	0.0242265	0.0185004	0.0159281	0.013033	0.0131645	0.0113333	0.00871694	0.0078793	0.00898837
a87	0.372774	0.245088	0.121962	0.0628239	0.0316751	0.021086	0.0196327	0.0124102	0.012561	0.00967231	0.0102402	0.0106899	0.0125533	0.0144887	0.0133591	0.0123593	0.0166237
a23	0.438597	0.226928	0.110085	0.0579133	0.0284565	0.0212022	0.0156543	0.00886507	0.00879383	0.0074961	0.00680377	0.00827086	0.0100176	0.012177	0.0107329	0.0118855	0.0161206
a97	0.297127	0.153681	0.0577795	0.0313184	0.0175461	0.0211045	0.0312132	0.0290946	0.033491	0.0336284	0.0335474	0.0379459	0.0432942	0.0456516	0.0400639	0.0395663	0.0539467
a38	0.254695	0.157841	0.0842439	0.0596885	0.0395121	0.0456019	0.0427552	0.0296273	0.0311173	0.0313911	0.0317436	0.0347904	0.0370968	0.036013	0.0294619	0.0255573	0.028864
a36	0.156181	0.121683	0.0840422	0.0712717	0.0516904	0.0405345	0.0402192	0.0264036	0.0298395	0.0334125	0.0335424	0.0380096	0.04122	0.0508887	0.0504185	0.0527299	0.0779131
a37	0.165792	0.214866	0.182265	0.122451	0.0620999	0.0319543	0.0304924	0.0139647	0.0122686	0.0123132	0.0109512	0.011602	0.0143733	0.0196331	0.0229178	0.0274917	0.0445639
a36	0.130452	0.187192	0.168411	0.140259	0.0873505	0.0520327	0.0642924	0.0274464	0.0201177	0.0160346	0.0131073	0.0111902	0.012885	0.015164	0.0153632	0.0156184	0.0230838
a21	0.088713	0.10012	0.0969028	0.108029	0.10065	0.0790607	0.119626	0.0699201	0.0478551	0.0349013	0.0268583	0.0211882	0.0219225	0.0224258	0.0195533	0.0177869	0.0244872
a85	0.0608193	0.097959	0.128443	0.142306	0.120631	0.0777899	0.0992977	0.0508243	0.0354187	0.0257864	0.019758	0.0187153	0.0196677	0.0213227	0.0210282	0.0241059	0.0361268
a5	0.0311949	0.0494209	0.0733058	0.0872568	0.0922726	0.0690897	0.105735	0.0840067	0.0662377	0.0484188	0.038249	0.0316544	0.0315609	0.0346866	0.0377614	0.0474188	0.0717304
a23	0.0556788	0.0781584	0.10244	0.116268	0.114801	0.0938826	0.0919953	0.0558833	0.0432237	0.0318474	0.0270398	0.026583	0.0284683	0.0317464	0.0308591	0.0330983	0.0380265
a76	0.0174874	0.028106	0.0535768	0.0821623	0.120354	0.135143	0.123031	0.0774757	0.0590453	0.0423721	0.035871	0.0351489	0.0359463	0.0382399	0.0350125	0.0380872	0.0429398
a25	0.00816018	0.0128453	0.0259598	0.0429003	0.0808585	0.103293	0.108675	0.0815463	0.0708516	0.0567852	0.051586	0.0539013	0.0558959	0.060439	0.0565837	0.0609574	0.0687612
a92	0.00273338	0.00375875	0.00853703	0.0166961	0.0443625	0.0807672	0.122984	0.15582	0.120438	0.0793617	0.0602132	0.0534378	0.0471511	0.0468256	0.0429297	0.0489294	0.0650533
a56	0.00222997	0.00295651	0.00598771	0.0110663	0.0267678	0.0431672	0.062859	0.0944442	0.0984016	0.0902737	0.0864541	0.0920595	0.0876605	0.0811489	0.0681382	0.0704582	0.0759267
a61	0.00476524	0.00573521	0.00905253	0.011979	0.0256501	0.0552725	0.0820957	0.110973	0.125748	0.10873	0.0900811	0.0809189	0.0701523	0.0612902	0.0484134	0.0493519	0.0597908
a88	0.00307563	0.00338698	0.00486691	0.00609481	0.0129412	0.0334879	0.0648742	0.100964	0.134066	0.137699	0.124298	0.101474	0.0853102	0.0637538	0.0434275	0.0378744	0.0424058
a31	0.00247803	0.00278972	0.00456127	0.00586431	0.0102871	0.0275975	0.0671143	0.122024	0.151199	0.151932	0.134567	0.0973524	0.0745467	0.0528785	0.0323988	0.0262181	0.0361913
a24	0.00243096	0.00270672	0.00388295	0.00465779	0.00900765	0.0259401	0.058849	0.0950198	0.124468	0.146213	0.148149	0.117012	0.0962605	0.0688039	0.0417133	0.0272532	0.027632
a61	0.00220449	0.00256177	0.00399796	0.00512364	0.00788575	0.0186598	0.0417719	0.100237	0.128216	0.145856	0.157278	0.126915	0.0932375	0.0661329	0.0389043	0.0265209	0.0344967
a75	0.00134639	0.00139918	0.00201335	0.00272479	0.00556485	0.01769	0.0397734	0.0799754	0.108201	0.136232	0.149255	0.132543	0.104769	0.081655	0.0537934	0.0373867	0.0456778
a92	0.000542022	0.000496659	0.000654571	0.000887275	0.00227527	0.00731472	0.0208906	0.0551853	0.0881584	0.122564	0.139882	0.14624	0.123235	0.0994717	0.0725183	0.0584709	0.0612132
a37	0.0003986	0.000387637	0.000527844	0.000722547	0.00173813	0.00580356	0.0153216	0.0457907	0.0755728	0.112551	0.137246	0.158414	0.132231	0.106365	0.0772879	0.0626182	0.0670238
a90	0.00101906	0.000997709	0.00146838	0.00183427	0.0033971	0.0100384	0.018205	0.0535241	0.0767545	0.101139	0.1162	0.145837	0.115723	0.101012	0.0738282	0.074133	0.10489
a56	0.000436916	0.000414559	0.000593585	0.000748722	0.00154666	0.00504903	0.00910669	0.0296166	0.0503869	0.0804578	0.104481	0.147453	0.128641	0.117748	0.0920167	0.103725	0.127579
a96	0.000426002	0.0003839	0.000564188	0.000729095	0.00148787	0.00430786	0.00939354	0.0326199	0.0540764	0.0788703	0.0975392	0.141316	0.124636	0.11802	0.0994626	0.113319	0.122848
a62	0.00080513	0.000731388	0.00117561	0.00158744	0.00306051	0.00793412	0.014121	0.0431609	0.0619401	0.0790902	0.0890469	0.123062	0.10035	0.09488	0.0803415	0.119064	0.179649
a83	0.00165775	0.00173343	0.00281655	0.00370558	0.00595427	0.0124538	0.0191865	0.0481134	0.0613432	0.0723578	0.0806768	0.105005	0.0838151	0.0756251	0.0696581	0.128557	0.22734
a71	0.00121696	0.00128131	0.00225533	0.00316152	0.0052078	0.0124889	0.0165902	0.0485673	0.0646254	0.0753805	0.0868066	0.112487	0.0838221	0.0749628	0.0707937	0.127135	0.213218
a83	0.00628826	0.00614086	0.00937103	0.0109703	0.0151624	0.0279949	0.0258831	0.0739535	0.101332	0.114548	0.114561	0.120648	0.0795803	0.0574703	0.0478439	0.0829254	0.105328
a93	0.0010723	0.000992714	0.0015468	0.00229966	0.0039563	0.01103	0.0117705	0.038809	0.055978	0.0675354	0.0723296	0.0920165	0.0677754	0.069123	0.0798661	0.172642	0.251257
a94	0.000354997	0.000342607	0.000549803	0.000864006	0.00165413	0.00423494	0.00649397	0.0229833	0.0337065	0.0435634	0.0486878	0.0697827	0.0536925	0.0586578	0.0751792	0.198811	0.380441
a43	0.000343916	0.000319554	0.000505893	0.00079264	0.00151782	0.00405991	0.00631003	0.0233815	0.0344263	0.0438629	0.0461836	0.0642341	0.0481087	0.0543106	0.0739351	0.211487	0.38622
a90	0.00159144	0.00134212	0.00174721	0.00207514	0.00296846	0.00719375	0.00921837	0.0375579	0.0595141	0.0771247	0.0845901	0.103093	0.0718818	0.0655382	0.0727204	0.165426	0.236417
a25	0.000696845	0.000575098	0.00078545	0.00103284	0.00158865	0.00412152	0.00593438	0.0237946	0.0382068	0.051181	0.0587338	0.0813603	0.0576804	0.0596566	0.0748003	0.200948	0.338904
a75	0.00494736	0.00387316	0.00430172	0.00390834	0.00398513	0.00722624	0.00795167	0.0322702	0.0421474	0.047705	0.0494911	0.0675068	0.0495876	0.0558151	0.0787156	0.213523	0.327045
a21	0.000228641	0.000189794	0.000260005	0.000339991	0.00056311	0.00114452	0.00231075	0.00992668	0.0171832	0.0269862	0.0345051	0.0609809	0.053859	0.0662617	0.0891118	0.23777	0.398379
a61	0.000152213	0.000141774	0.000204238	0.000301258	0.000567855	0.0012377	0.00235479	0.0109306	0.0184731	0.0293024	0.0374585	0.0621199	0.0531283	0.0600679	0.0819368	0.228771	0.412852
a75	0.000434693	0.00036014	0.000587999	0.000921871	0.00193228	0.00495873	0.00861226	0.0287164	0.0393469	0.0476992	0.0499532	0.0632699	0.046907	0.0477234	0.0662669	0.19833	0.393979
a5	0.000117368	9.92936e-05	0.00015498	0.000236507	0.000539098	0.00138005	0.002739	0.0165834	0.029933	0.0445066	0.0506793	0.0776133	0.0604018	0.0644782	0.0814618	0.204271	0.364805
a85	0.000363789	0.000293661	0.000453713	0.000693089	0.00139671	0.0034687	0.00587363	0.0196731	0.0289709	0.0383859	0.0420613	0.0598215	0.0470852	0.0510029	0.0709201	0.210454	0.419081
a47	0.00011068	8.14065e-05	0.000116511	0.000151803	0.000335159	0.00114249	0.00248261	0.0157438	0.0268712	0.0419317	0.0506823	0.0797381	0.066603	0.0697693	0.0860102	0.21624	0.34199
a36	0.000126326	9.03828e-05	0.000122049	0.000140278	0.000285191	0.000810254	0.00245046	0.0203444	0.0374177	0.0578881	0.0700065	0.111529	0.0802189	0.0740702	0.080741	0.17589	0.287869
a2	0.00695087	0.00600266	0.00694004	0.00662016	0.00642477	0.0107459	0.0100036	0.0343003	0.0402008	0.044616	0.0458115	0.0677835	0.053402	0.0679294	0.092036	0.202731	0.297502
a44	0.0271487	0.024894	0.0289787	0.0269272	0.0247381	0.0337455	0.0387419	0.0787179	0.0763317	0.0726745	0.0656911	0.0731265	0.0605652	0.0636494	0.073416	0.111096	0.119558
